root,geom,btag,horizon,M,corr_effM_vol,corr_effM_logvol,mean_eff_M,sd_eff_M,vol_p16,vol_p84,vol_ratio_p84_p16,sd_log_rv
ES,GLOBEX,B0,1day,1379,0.14216261627391197,0.31103563113594834,1354.31592421915,47.51731877529311,0.004954731965020014,0.013676152432653368,2.760220437594978,1.0211561295612215
ES,GLOBEX,B1,1day,1379,0.1475283642824963,0.31030426680545314,1354.31592421915,47.51731877529311,0.004884477857654675,0.013527840719195513,2.769557179585829,1.0227183812520597
NQ,GLOBEX,B0,1day,1379,0.2651806529572878,0.42592379484995785,1343.0764887063656,59.550987605892324,0.006019750708671692,0.017174123553507455,2.8529625867674957,1.0372683524468256
NQ,GLOBEX,B1,1day,1379,0.2700190435533135,0.42499144046973103,1343.0764887063656,59.550987605892324,0.005945167218804496,0.01697137897680616,2.854651240612019,1.0395912573701804
ES,RTH,B0,1day,389,-0.3384139482556366,-0.15499817385455242,388.977906365071,0.5557182382299606,0.0036261307353046756,0.010603218929573301,2.924113801617358,1.0442544687027833
ES,RTH,B0,1h,60,-0.14680423446540453,-0.06044294777959815,59.99631772751184,0.22702038609697733,0.0012199512144492985,0.003999242822789398,3.2781989766653967,1.1746306601944365
ES,RTH,B0,30min,30,-0.12777473007534484,-0.04678003760778905,29.99815886375592,0.15125906100672568,0.0008291486813585031,0.0028100400287349725,3.389066511124296,1.2059250570354645
ES,RTH,B1,1day,389,-0.334671034507178,-0.15400710582275362,388.977906365071,0.5557182382299606,0.003592276870589214,0.010568714543724315,2.942065693836903,1.0479034492220758
ES,RTH,B1,1h,60,-0.14754032761358132,-0.060643516016105334,59.99631772751184,0.22702038609697733,0.0012193918634937134,0.003986253440410414,3.269050384664114,1.1721808995431884
ES,RTH,B1,30min,30,-0.12843158787798467,-0.04693106451914819,29.99815886375592,0.15125906100672568,0.000828938762746585,0.002801468721072947,3.379584653262722,1.20329966430317
NQ,RTH,B0,1day,389,-0.28538422688263415,-0.13805092959077425,388.97685428721724,0.5833845220764777,0.004731788492096272,0.013641819983412256,2.883015588333846,1.023144988590575
NQ,RTH,B0,1h,60,-0.11051458144815923,-0.05083412961653492,59.99614238120287,0.23832188921775466,0.0014970799937083037,0.005277342541199374,3.525090551859736,1.2249105318515638
NQ,RTH,B0,30min,30,-0.08731102422899666,-0.03838273446656016,29.998071190601436,0.15971589666658917,0.001020414815461883,0.0036929719902354394,3.6190889570373828,1.2575609608998988
NQ,RTH,B1,1day,389,-0.2782651654538092,-0.13641022481910342,388.97685428721724,0.5833845220764777,0.004691935261838052,0.013526256331897328,2.8828736069556204,1.0263477902994655
NQ,RTH,B1,1h,60,-0.11164193000519954,-0.051122186732226425,59.99614238120287,0.23832188921775466,0.0014967879351376083,0.005249949384861108,3.5074770858427917,1.2201431088354426
NQ,RTH,B1,30min,30,-0.08823619363667158,-0.03858306575846815,29.998071190601436,0.15971589666658917,0.0010200902418304307,0.0036728504712403884,3.6005152491704018,1.25276259149634
