root,geom,btag,horizon,scheme,model,n,ic_pearson_log,ic_spearman,lam_E2,lam_E4,ic_corrected_E2,ic_corrected_E4,r2_oos,r2_corrected_E2,r2_corrected_E4,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean
ES,GLOBEX,B0,1day,S-A,M1_EWMA,1453,0.706805514561046,0.7054630055813567,0.8455309763227498,0.9980157499857758,0.7686615686692684,0.7075077992915602,0.45449482263504126,0.5375259279224265,0.45539844700999854,1.239918536675955,23,63,0.5172176308539945,0.29205902427325614
ES,GLOBEX,B0,1day,S-A,M2_HAR,1453,0.8382523624190857,0.8342060145482041,0.8455309763227498,0.9980157499857758,0.911611981745686,0.839085253253009,0.6813217952074162,0.8057916436965015,0.6826763958556032,4.114699182418259,23,63,0.39944903581267216,0.16273511767904392
ES,GLOBEX,B0,1day,S-A,M3_HARJ,1453,0.7532021967406761,0.8022848016948846,0.8455309763227498,0.9980157499857758,0.8191186544878366,0.7539505813965163,0.555470546021137,0.6569487831621522,0.5565749298335761,3.614354953379316,23,63,0.41391184573002754,0.5550262187426538
ES,GLOBEX,B0,1day,S-A,M4_HARQ,1453,0.747856745723912,0.8061950458972749,0.8455309763227498,0.9980157499857758,0.8133053965559961,0.7485998191186635,0.5492192935790389,0.6495554970293542,0.5503112486820639,3.507124923353638,23,63,0.40082644628099173,0.577422236938575
ES,GLOBEX,B0,1day,S-A,M5_RGARCH,1453,0.8323390414197648,0.8264052845757219,0.8455309763227498,0.9980157499857758,0.9051811567142687,0.8331660567547582,0.6548360075176256,0.7744671997299677,0.6561379492527635,3.767925753686671,23,63,0.40426997245179064,0.16539181443101078
ES,GLOBEX,B0,1day,S-A,M6_PARK,1453,0.7620380344216118,0.7502083096237228,0.8455309763227498,0.9980157499857758,0.8287277601221538,0.7627951984004153,0.31983161904763213,0.3782612677758933,0.3204675067023647,3.259959331913783,23,63,0.5075757575757576,0.5464143507156587
ES,GLOBEX,B0,1day,S-A,M6_GK,1453,0.772324492502007,0.7659663534746507,0.8455309763227498,0.9980157499857758,0.8399144371375952,0.7730918771458903,0.3930615556450948,0.4648694922503446,0.39384303870023785,3.5097838718226724,23,63,0.49242424242424243,0.46873984026456567
ES,GLOBEX,B0,1day,S-B_q0.80,M1_EWMA,291,0.47469482200858004,0.2859356510136402,0.8455309763227498,0.9980157499857758,0.5162377188736266,0.4751664806449134,-0.7526767221643824,-0.890182315304172,-0.7541731903280183,1.8910403698426215,4,63,0.5310344827586206,0.5594526055852151
ES,GLOBEX,B0,1day,S-B_q0.80,M2_HAR,291,0.6975809132978136,0.4867045858514042,0.8455309763227498,0.9980157499857758,0.7586296768245248,0.6982740324283447,-0.01178363945547356,-0.013936378187728983,-0.011807067629585511,2.1301678207996715,4,63,0.4379310344827586,0.3149798642097884
ES,GLOBEX,B0,1day,S-B_q0.80,M3_HARJ,291,0.023293781583876204,0.24781252961538033,0.8455309763227498,0.9980157499857758,0.025332335874064773,0.023316926376588307,-1.466444883955203,-1.7343479127551709,-1.4693604624737668,0.6305932337832019,4,63,0.4379310344827586,2.2606607385894244
ES,GLOBEX,B0,1day,S-B_q0.80,M4_HARQ,291,-0.024881331408207114,0.2199808733022452,0.8455309763227498,0.9980157499857758,-0.027058820052769387,-0.024906053596649144,-1.505729679456011,-1.7808095996724964,-1.5087233638121156,0.47901162714243994,4,63,0.4379310344827586,2.291043030587302
ES,GLOBEX,B0,1day,S-B_q0.80,M5_RGARCH,291,0.6780283857678442,0.5031254108858577,0.8455309763227498,0.9980157499857758,0.7373660106914597,0.6787020774303599,0.19970578728258714,0.2361897941943134,0.20010284134837897,2.267942931095262,4,63,0.46551724137931033,0.23732778554986353
ES,GLOBEX,B0,1day,S-B_q0.80,M6_PARK,291,0.6222904416789566,0.49725156760668354,0.8455309763227498,0.9980157499857758,0.67675016283072,0.622908751901688,-0.6078840191585886,-0.7189376098345942,-0.6090926111809883,2.681004480799743,4,63,0.5379310344827586,0.5811246999012486
ES,GLOBEX,B0,1day,S-B_q0.80,M6_GK,291,0.6044919261525852,0.48720324910274704,0.8455309763227498,0.9980157499857758,0.6573940109860622,0.605092551700505,-0.5549545322492189,-0.6563384994630709,-0.5560578901256101,2.6464949102549027,4,63,0.506896551724138,0.5581116971061211
ES,GLOBEX,B0,1day,S-C_q0.80,M1_EWMA,291,0.5163440342693888,0.3745725569639979,0.8455309763227498,0.9980157499857758,0.5615318601482807,0.5168570757263229,0.10177793492662479,0.12037162182899716,0.10198028931715294,1.949174453682173,4,63,0.5655172413793104,0.40980820804028023
ES,GLOBEX,B0,1day,S-C_q0.80,M2_HAR,291,0.7212179508650285,0.5761781162800891,0.8455309763227498,0.9980157499857758,0.7843353087144986,0.7219345558487626,0.50365273976931,0.5956644450327736,0.504654099673766,2.9501251885964552,4,63,0.43103448275862066,0.18448492636394573
ES,GLOBEX,B0,1day,S-C_q0.80,M3_HARJ,291,0.021194859583631695,0.34417072910255575,0.8455309763227498,0.9980157499857758,0.023049726805537143,0.021215918879214892,-0.36989580489255713,-0.4374716187232427,-0.37063122991578945,0.526856095260096,4,63,0.43448275862068964,2.1322161013664913
ES,GLOBEX,B0,1day,S-C_q0.80,M4_HARQ,291,-0.07862519259663828,0.2746079783796086,0.8455309763227498,0.9980157499857758,-0.08550607293406384,-0.07870331489627631,-0.4947448108646655,-0.5851291374519852,-0.49572846006860793,0.26019398314542097,4,63,0.4517241379310345,2.1955950326899023
ES,GLOBEX,B0,1day,S-C_q0.80,M5_RGARCH,291,0.7303440319837919,0.5879449132939534,0.8455309763227498,0.9980157499857758,0.7942600584285813,0.7310697046775072,0.45182410979954357,0.5343673058136154,0.45272242427635356,2.988389238750048,4,63,0.46206896551724136,0.1761355812096989
ES,GLOBEX,B0,1day,S-C_q0.80,M6_PARK,291,0.6488525524817013,0.5449143342449158,0.8455309763227498,0.9980157499857758,0.7056368556142143,0.6494972549218712,0.27594876185343664,0.32636150487773913,0.2764974018269447,2.743930316856879,4,63,0.5689655172413793,0.315793452853847
ES,GLOBEX,B0,1day,S-C_q0.80,M6_GK,291,0.6199848925642145,0.5150933289180859,0.8455309763227498,0.9980157499857758,0.6742428436846853,0.6206009119843059,0.27023364778372294,0.3196023035832236,0.27077092499549676,2.5047841645683713,4,63,0.5517241379310345,0.29247252631367565
ES,GLOBEX,B0,1day,S-B_q0.90,M1_EWMA,146,0.5018194628581024,0.3246584982599559,0.8455309763227498,0.9980157499857758,0.5457361714966694,0.5023180726439342,-1.425481821667275,-1.6859013585365688,-1.428315957626512,,2,63,0.5655172413793104,0.8519669004646874
ES,GLOBEX,B0,1day,S-B_q0.90,M2_HAR,146,0.7236249829816306,0.4805047574060328,0.8455309763227498,0.9980157499857758,0.786952992142922,0.7243439796019132,-0.35888690253891387,-0.4244515134143616,-0.35960043971653644,,2,63,0.4413793103448276,0.4701006407179665
ES,GLOBEX,B0,1day,S-B_q0.90,M3_HARJ,146,-0.23252092688988568,0.03769651310485946,0.8455309763227498,0.9980157499857758,-0.2528699857733992,-0.23275196059451259,-3.199533995964593,-3.784052962647806,-3.2058952937468117,,2,63,0.42758620689655175,4.35232191126597
ES,GLOBEX,B0,1day,S-B_q0.90,M4_HARQ,146,-0.2836338061889119,0.014848464359098675,0.8455309763227498,0.9980157499857758,-0.308456006498764,-0.28391562585081387,-3.1633841899505732,-3.741298992626226,-3.1696736148659572,,2,63,0.42758620689655175,4.388162669951575
ES,GLOBEX,B0,1day,S-B_q0.90,M5_RGARCH,146,0.6978482667754713,0.49565133564053876,0.8455309763227498,0.9980157499857758,0.7589204277302435,0.698541651549466,0.0023113746366636434,0.002733636852331431,0.002315970100368242,,2,63,0.4482758620689655,0.339216510148646
ES,GLOBEX,B0,1day,S-B_q0.90,M6_PARK,146,0.6524578549682635,0.531084611454407,0.8455309763227498,0.9980157499857758,0.7095576759923196,0.6531061396511196,-0.6633462634156841,-0.7845321839072121,-0.6646651251998162,,2,63,0.5448275862068965,0.6715190808002435
ES,GLOBEX,B0,1day,S-B_q0.90,M6_GK,146,0.6219000228498102,0.5030163978676025,0.8455309763227498,0.9980157499857758,0.6763255765145872,0.6225179451508621,-0.6875980720124113,-0.8132145258625587,-0.6889651511233278,,2,63,0.5241379310344828,0.6783052310266019
ES,GLOBEX,B0,1day,S-C_q0.90,M1_EWMA,146,0.5590337978950669,0.40504564603356696,0.8455309763227498,0.9980157499857758,0.607957616595601,0.5595892560685177,0.1060616387327371,0.12543791026320963,0.10627250996214113,,2,63,0.5517241379310345,0.4776731678841445
ES,GLOBEX,B0,1day,S-C_q0.90,M2_HAR,146,0.7529214537217022,0.5560602701165492,0.8455309763227498,0.9980157499857758,0.8188133422556712,0.7536695594301779,0.5446771626780729,0.6441835697692556,0.5457600871387409,,2,63,0.45517241379310347,0.1666753998928708
ES,GLOBEX,B0,1day,S-C_q0.90,M3_HARJ,146,-0.2670542832851878,0.14809501124485294,0.8455309763227498,0.9980157499857758,-0.2904255273635253,-0.26731962946812765,-1.0471630455523298,-1.2384679862427825,-1.049245009978304,,2,63,0.43448275862068964,4.059406829176648
