root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B0,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1702618649,"{""M5_RGARCH"": 0.0001, ""M4_HARQ"": 0.0835, ""M3_HARJ"": 0.0835, ""M6_PARK"": 0.0835, ""M1_EWMA"": 0.0835, ""M6_GK"": 0.0835, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3586788295,"{""M3_HARJ"": 0.0115, ""M4_HARQ"": 0.0115, ""M1_EWMA"": 0.0115, ""M5_RGARCH"": 0.0115, ""M6_PARK"": 0.0638, ""M6_GK"": 0.0638, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-A,1448,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,3337662334,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.235, ""M3_HARJ"": 0.235, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1967094566,"{""M5_RGARCH"": 0.0, ""M3_HARJ"": 0.0226, ""M4_HARQ"": 0.0226, ""M6_PARK"": 0.0226, ""M6_GK"": 0.0226, ""M1_EWMA"": 0.0226, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2186999783,"{""M3_HARJ"": 0.0015, ""M4_HARQ"": 0.0015, ""M5_RGARCH"": 0.0015, ""M1_EWMA"": 0.0015, ""M6_PARK"": 0.0238, ""M6_GK"": 0.0238, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,979901154,"{""M5_RGARCH"": 0.0, ""M3_HARJ"": 0.0841, ""M4_HARQ"": 0.0841, ""M6_PARK"": 0.0841, ""M1_EWMA"": 0.0841, ""M6_GK"": 0.0841, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M6_PARK,1250553518,"{""M3_HARJ"": 0.0152, ""M4_HARQ"": 0.0152, ""M1_EWMA"": 0.0152, ""M5_RGARCH"": 0.0152, ""M6_GK"": 0.0876, ""M6_PARK"": 0.1342, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-A,1401,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,629663445,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.3628, ""M3_HARJ"": 0.3628, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4238439140,"{""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0308, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3945777218,"{""M4_HARQ"": 0.0833, ""M3_HARJ"": 0.0833, ""M1_EWMA"": 0.0833, ""M6_PARK"": 0.0833, ""M6_GK"": 0.0833, ""M5_RGARCH"": 0.0833, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M6_GK|M6_PARK,2768131305,"{""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.1498, ""M6_PARK"": 0.1498, ""M6_GK"": 0.1498, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3441137014,"{""M4_HARQ"": 0.1976, ""M3_HARJ"": 0.1976, ""M1_EWMA"": 0.1976, ""M5_RGARCH"": 0.1976, ""M6_GK"": 0.1976, ""M6_PARK"": 0.1976, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-A,10906,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,310945355,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0006, ""M3_HARJ"": 0.0196, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,34901983,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0007, ""M3_HARJ"": 0.0007, ""M1_EWMA"": 0.0007, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4016535017,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0158, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2778071878,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0147, ""M3_HARJ"": 0.0147, ""M1_EWMA"": 0.0147, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1734405981,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0001, ""M3_HARJ"": 0.0001, ""M1_EWMA"": 0.0001, ""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-A,22312,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3907597529,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-B_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,832728714,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0669, ""M4_HARQ"": 0.0669, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-C_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,117370820,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M3_HARJ"": 0.034, ""M4_HARQ"": 0.034, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-B_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1615113857,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0308, ""M4_HARQ"": 0.0308, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-C_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2447780851,"{""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-A,1401,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ,2734751929,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0015, ""M3_HARJ"": 0.1124, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-B_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3583050138,"{""M4_HARQ"": 0.0001, ""M3_HARJ"": 0.0001, ""M5_RGARCH"": 0.0001, ""M6_PARK"": 0.0009, ""M6_GK"": 0.001, ""M1_EWMA"": 0.0231, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-C_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3038505791,"{""M4_HARQ"": 0.0201, ""M3_HARJ"": 0.0201, ""M1_EWMA"": 0.0201, ""M6_PARK"": 0.0201, ""M5_RGARCH"": 0.0201, ""M6_GK"": 0.0201, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-B_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M6_GK|M6_PARK,518561450,"{""M4_HARQ"": 0.0001, ""M3_HARJ"": 0.0001, ""M5_RGARCH"": 0.0001, ""M1_EWMA"": 0.1206, ""M6_PARK"": 0.1648, ""M6_GK"": 0.1648, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-C_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,410096495,"{""M4_HARQ"": 0.1879, ""M3_HARJ"": 0.1879, ""M1_EWMA"": 0.1879, ""M5_RGARCH"": 0.1879, ""M6_GK"": 0.1879, ""M6_PARK"": 0.1879, ""M2_HAR"": 1.0}"
ES,RTH,B1,1h,S-A,10906,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1045897580,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0002, ""M3_HARJ"": 0.0179, ""M2_HAR"": 1.0}"
ES,RTH,B1,1h,S-B_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4120385690,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0003, ""M3_HARJ"": 0.0003, ""M1_EWMA"": 0.0003, ""M2_HAR"": 1.0}"
ES,RTH,B1,1h,S-C_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3717700803,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M4_HARQ"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0149, ""M2_HAR"": 1.0}"
ES,RTH,B1,1h,S-B_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,712479768,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0089, ""M3_HARJ"": 0.0089, ""M1_EWMA"": 0.0089, ""M2_HAR"": 1.0}"
ES,RTH,B1,1h,S-C_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3004156811,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M1_EWMA"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 1.0}"
ES,RTH,B1,30min,S-A,22312,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,136732739,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 1.0}"
ES,RTH,B1,30min,S-B_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1437149941,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0697, ""M3_HARJ"": 0.0697, ""M2_HAR"": 1.0}"
ES,RTH,B1,30min,S-C_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2185740070,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M3_HARJ"": 0.0346, ""M4_HARQ"": 0.0346, ""M2_HAR"": 1.0}"
ES,RTH,B1,30min,S-B_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,810538727,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.028, ""M4_HARQ"": 0.028, ""M2_HAR"": 1.0}"
ES,RTH,B1,30min,S-C_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3199048031,"{""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1day,S-A,1401,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,598363660,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0003, ""M4_HARQ"": 0.2265, ""M3_HARJ"": 0.2265, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1day,S-B_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3132774543,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0092, ""M3_HARJ"": 0.0092, ""M6_PARK"": 0.0092, ""M6_GK"": 0.0092, ""M1_EWMA"": 0.0904, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1day,S-C_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4162810140,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0422, ""M3_HARJ"": 0.0422, ""M1_EWMA"": 0.0422, ""M6_PARK"": 0.0422, ""M6_GK"": 0.0422, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1day,S-B_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,1559543155,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.1494, ""M3_HARJ"": 0.1494, ""M1_EWMA"": 0.1494, ""M6_PARK"": 0.1494, ""M6_GK"": 0.1494, ""M2_HAR"": 1.0}"
