root,geom,btag,horizon,M,estimator,lam,var_log_rv,in_unit,n_windows,mean_eff_M,share_full_M
NQ,RTH,B0,1h,4,E2,0.8177201086808326,2.242931446212441,True,11406,4.0,1.0
NQ,RTH,B0,1h,4,E4,0.9989686493873401,2.242931446212441,True,11406,4.0,1.0
NQ,RTH,B0,1h,5,E2,0.7981710636933615,2.078465906115687,True,11406,5.0,1.0
NQ,RTH,B0,1h,5,E4,0.998238421777998,2.078465906115687,True,11406,5.0,1.0
NQ,RTH,B0,1h,6,E2,0.7725015650247079,1.9944671809499017,True,11406,5.99982465369104,0.9998246536910398
NQ,RTH,B0,1h,6,E4,0.8876904096438145,1.9944671809499017,True,11406,5.99982465369104,0.9998246536910398
NQ,RTH,B0,1h,10,E2,0.845644398871153,1.8087541015938593,True,11406,9.9995616342276,0.9997369805365597
NQ,RTH,B0,1h,10,E4,0.9112826379107768,1.8087541015938593,True,11406,9.9995616342276,0.9997369805365597
NQ,RTH,B0,1h,12,E2,0.8621154416628342,1.7589853604612276,True,11406,11.99947396107312,0.9997369805365597
NQ,RTH,B0,1h,12,E4,0.9213834161322517,1.7589853604612276,True,11406,11.99947396107312,0.9997369805365597
NQ,RTH,B0,1h,15,E2,0.8752871887641551,1.6992638646956932,True,11406,14.99929861476416,0.9997369805365597
NQ,RTH,B0,1h,15,E4,0.9317095894907806,1.6992638646956932,True,11406,14.99929861476416,0.9997369805365597
NQ,RTH,B0,1h,20,E2,0.9001151777113335,1.6606307987124385,True,11406,19.99894792214624,0.9997369805365597
NQ,RTH,B0,1h,20,E4,0.9455793622269753,1.6606307987124385,True,11406,19.99894792214624,0.9997369805365597
NQ,RTH,B0,1h,30,E2,0.9174623107386746,1.5953461917322496,True,11406,29.998246536910397,0.9997369805365597
NQ,RTH,B0,1h,30,E4,0.9605853792380309,1.5953461917322496,True,11406,29.998246536910397,0.9997369805365597
NQ,RTH,B0,1h,60,E2,0.9357212155969795,1.5004058110408809,True,11406,59.99614238120287,0.9997369805365597
NQ,RTH,B0,1h,60,E4,0.9781812308341564,1.5004058110408809,True,11406,59.99614238120287,0.9997369805365597
