test,cell,model,result,message
assert_forecasts_positive,NQ_GLOBEX_B1_1day,M3_HARJ,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1day model=M3_HARJ: 0 non-finite, 0 non-positive, 3 at or below the 1e-300 floor, of 1448 forecasts; min=1e-300"
assert_forecasts_positive,NQ_GLOBEX_B1_1day,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1day model=M4_HARQ: 0 non-finite, 0 non-positive, 2 at or below the 1e-300 floor, of 1448 forecasts; min=1e-300"
assert_forecasts_positive,NQ_GLOBEX_B1_1day,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1day,M6_PARK,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1day,M6_GK,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M1_EWMA,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M2_HAR,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M3_HARJ,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1h model=M4_HARQ: 0 non-finite, 0 non-positive, 3 at or below the 1e-300 floor, of 39503 forecasts; min=1e-300"
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M5_RGARCH,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1h model=M5_RGARCH: 0 non-finite, 18495 non-positive, 18537 at or below the 1e-300 floor, of 39503 forecasts; min=0"
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M6_PARK,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1h model=M6_PARK: 0 non-finite, 166 non-positive, 166 at or below the 1e-300 floor, of 39503 forecasts; min=0"
assert_forecasts_positive,NQ_GLOBEX_B1_1h,M6_GK,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_1h model=M6_GK: 0 non-finite, 0 non-positive, 166 at or below the 1e-300 floor, of 39503 forecasts; min=1e-300"
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M1_EWMA,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M2_HAR,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M3_HARJ,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_30min model=M4_HARQ: 0 non-finite, 0 non-positive, 5 at or below the 1e-300 floor, of 83735 forecasts; min=1e-300"
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M6_PARK,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_30min model=M6_PARK: 0 non-finite, 385 non-positive, 385 at or below the 1e-300 floor, of 83735 forecasts; min=0"
assert_forecasts_positive,NQ_GLOBEX_B1_30min,M6_GK,FAIL,"[assert_forecasts_positive] cell=NQ_GLOBEX_B1_30min model=M6_GK: 0 non-finite, 0 non-positive, 385 at or below the 1e-300 floor, of 83735 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B0_1day,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B0_1day,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B0_1day,M3_HARJ,PASS,
assert_forecasts_positive,NQ_RTH_B0_1day,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B0_1day model=M4_HARQ: 0 non-finite, 0 non-positive, 1 at or below the 1e-300 floor, of 1401 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B0_1day,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B0_1day,M6_PARK,PASS,
