test,cell,model,result,message
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2016/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2016/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.260484]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2017/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2017/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.013027]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2017/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2017/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.374679]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2017/t2,E1_a_exp_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2017/t2 estimator=E1_a_exp_L1-5: 1 of 1 outside [0,1]; offending values [-0.013103]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2017/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2017/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.01377]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2017/t2,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2017/t2 estimator=E2: 1 of 1 outside [0,1]; offending values [-1.286513]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.02934]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.29023]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t1,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t1 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-1.677517]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-14.794905]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.749575]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-15.602566]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2018/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2018/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-20.668886]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.013423]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.388717]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.002187]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [19.795781]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [10.570323]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-1.020601]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2019/t3,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2019/t3 estimator=E2: 1 of 1 outside [0,1]; offending values [-0.083046]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.013263]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.240434]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.467527]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.523749]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.518319]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t2,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t2 estimator=E2: 1 of 1 outside [0,1]; offending values [-0.139848]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.089449]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2020/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2020/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.248376]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.509026]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [2.127297]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.464039]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.389066]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.468057]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2021/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2021/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.468691]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2022/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2022/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.650351]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2022/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2022/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.49925]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2022/t2,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2022/t2 estimator=E2: 1 of 1 outside [0,1]; offending values [-1.109483]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2022/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2022/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.224289]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2023/t1,E1_a_exp_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2023/t1 estimator=E1_a_exp_L1-5: 1 of 1 outside [0,1]; offending values [-0.383855]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2023/t1,E1_a_exp_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2023/t1 estimator=E1_a_exp_L1-10: 1 of 1 outside [0,1]; offending values [-0.383623]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2023/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2023/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.010829]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M46/y2023/t3,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M46/y2023/t3 estimator=E2: 1 of 1 outside [0,1]; offending values [-0.000854]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y0/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y0/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.060944]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y0/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y0/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.094569]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2016/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2016/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.090829]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2016/t1,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2016/t1 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.20599]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2016/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2016/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.778186]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2016/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2016/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-2.534118]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2016/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2016/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [2.179622]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2017/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2017/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.131885]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2017/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2017/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.299451]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2017/t2,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2017/t2 estimator=E2: 1 of 1 outside [0,1]; offending values [-0.313637]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.087601]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.391136]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t1,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t1 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [56.843271]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [9.227519]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.080947]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [22.483093]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2018/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2018/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [68.000511]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.128355]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.510953]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.050951]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [2.715588]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t3,E1_a_exp_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t3 estimator=E1_a_exp_L1-5: 1 of 1 outside [0,1]; offending values [1.553403]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-2.502677]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t3,E1_a_exp_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t3 estimator=E1_a_exp_L1-10: 1 of 1 outside [0,1]; offending values [1.601143]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2019/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2019/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-1.183711]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.034043]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.233406]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t1,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t1 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.280434]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.495127]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [3.121344]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-3.429785]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.131712]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2020/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2020/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.261991]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.514003]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [2.17808]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t2,E1_a_exp_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t2 estimator=E1_a_exp_L1-5: 1 of 1 outside [0,1]; offending values [1.198119]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-1.744468]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t2,E1_a_exp_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t2 estimator=E1_a_exp_L1-10: 1 of 1 outside [0,1]; offending values [1.198744]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-1.202317]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-0.523371]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2021/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2021/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.524083]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2022/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2022/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.316645]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2022/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2022/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-0.951608]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2022/t2,E2,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2022/t2 estimator=E2: 1 of 1 outside [0,1]; offending values [-0.844711]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2022/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2022/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.943983]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2023/t1,E1_a_exp_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2023/t1 estimator=E1_a_exp_L1-5: 1 of 1 outside [0,1]; offending values [-0.429755]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M138/y2023/t1,E1_a_exp_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M138/y2023/t1 estimator=E1_a_exp_L1-10: 1 of 1 outside [0,1]; offending values [-0.429854]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y0/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y0/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.054065]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y0/t3,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y0/t3 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.090484]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.027959]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.121498]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t1,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t1 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.81885]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t1,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t1 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [3.425877]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t2,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t2 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [-4.922508]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t2,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t2 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [-1.572857]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2016/t3,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2016/t3 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [3.77083]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2017/t0,E1_d_model_L1-5,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2017/t0 estimator=E1_d_model_L1-5: 1 of 1 outside [0,1]; offending values [1.352611]"
assert_lambda_in_unit,ES/GLOBEX/B1/1day/M345/y2017/t0,E1_d_model_L1-10,FAIL,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M345/y2017/t0 estimator=E1_d_model_L1-10: 1 of 1 outside [0,1]; offending values [1.55479]"
