cell,n_eval
ES/RTH/B0/30min,22312
ES/RTH/B1/30min,22312
NQ/RTH/B0/30min,22312
NQ/RTH/B1/30min,22312
ES/RTH/B0/1h,10906
ES/RTH/B1/1h,10906
NQ/RTH/B0/1h,10906
NQ/RTH/B1/1h,10906
ES/GLOBEX/B0/1day,1453
ES/GLOBEX/B1/1day,1453
NQ/GLOBEX/B0/1day,1448
NQ/GLOBEX/B1/1day,1448
ES/RTH/B0/1day,1401
ES/RTH/B1/1day,1401
NQ/RTH/B0/1day,1401
NQ/RTH/B1/1day,1401
