root,geom,model,mean_old,mean_new,ratio_new_over_old,n_zero_old,n_zero_new,n_windows
ES,GLOBEX,M6_PARK,0.00011008913182121349,0.0001176169370817772,1.0683791863559156,0,0,1953
ES,GLOBEX,M6_GK,0.00010651636634513754,0.00011594621962828422,1.088529618562013,0,0,1953
NQ,GLOBEX,M6_PARK,0.0001686563661035707,0.00017938389784252906,1.0636058512749567,0,0,1948
NQ,GLOBEX,M6_GK,0.0001619206132230777,0.00017595230067581506,1.0866578206037667,0,0,1948
ES,RTH,M6_PARK,6.506679049800958e-05,7.129150950592602e-05,1.0956666059640188,0,0,1901
ES,RTH,M6_GK,6.279887257477141e-05,7.085166924673881e-05,1.1282315484625836,0,0,1901
NQ,RTH,M6_PARK,0.00010626364223595646,0.00011664638112032224,1.0977073500013401,0,0,1901
NQ,RTH,M6_GK,0.00010065871317014166,0.00011365147892776806,1.1290774076921186,0,0,1901
