cell_id,root,geom,btag,horizon,scheme,n_obs,n_distinct_75,modal_75,modal_freq_75,n_distinct_90,modal_90,modal_freq_90,all_75,all_90,elapsed_s,s05_75_in_seed_set,s05_90_in_seed_set,s05_mcs75,s05_mcs90
ES/GLOBEX/B1/1h/S-B_q0.90,ES,GLOBEX,B1,1h,S-B_q0.90,141,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.0,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/GLOBEX/B1/1h/S-C_q0.80,ES,GLOBEX,B1,1h,S-C_q0.80,281,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",2.3,True,True,M6_GK,M6_GK
ES/GLOBEX/B1/1h/S-C_q0.90,ES,GLOBEX,B1,1h,S-C_q0.90,141,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",1.7,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/GLOBEX/B1/30min/S-B_q0.80,ES,GLOBEX,B1,30min,S-B_q0.80,15908,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",15.5,True,True,M6_GK,M6_GK
ES/GLOBEX/B1/30min/S-B_q0.90,ES,GLOBEX,B1,30min,S-B_q0.90,7954,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.9,True,True,M6_GK,M6_GK
ES/GLOBEX/B1/30min/S-C_q0.80,ES,GLOBEX,B1,30min,S-C_q0.80,15908,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",15.0,True,True,M6_GK,M6_GK
ES/GLOBEX/B1/30min/S-C_q0.90,ES,GLOBEX,B1,30min,S-C_q0.90,7954,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.6,True,True,M6_GK,M6_GK
ES/RTH/B0/1day/S-B_q0.80,ES,RTH,B0,1day,S-B_q0.80,280,1,M2_HAR|M4_HARQ,20,1,M2_HAR|M4_HARQ,20,"[""M2_HAR|M4_HARQ""]","[""M2_HAR|M4_HARQ""]",2.2,True,True,M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES/RTH/B0/1day/S-B_q0.90,ES,RTH,B0,1day,S-B_q0.90,140,2,M2_HAR|M4_HARQ,14,2,M2_HAR|M3_HARJ|M4_HARQ,19,"[""M2_HAR|M3_HARJ|M4_HARQ"", ""M2_HAR|M4_HARQ""]","[""M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ"", ""M2_HAR|M3_HARJ|M4_HARQ""]",1.8,True,True,M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/1day/S-C_q0.80,ES,RTH,B0,1day,S-C_q0.80,280,1,M2_HAR|M4_HARQ,20,1,M2_HAR|M4_HARQ,20,"[""M2_HAR|M4_HARQ""]","[""M2_HAR|M4_HARQ""]",1.7,True,True,M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
