geom,H,sigma_w,tag,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
GLOBEX,0.05,1.0099504938362078,H0.05,0,4081163133,-1.1214021015636382,1.0234769440826146,2.455234972150716,0.008933995100322705,89.58953867070898,0,0.00014951190303769124
GLOBEX,0.05,1.0099504938362078,H0.05,1,2132518174,-1.2323905537964452,1.0317734260375042,3.8514790326878505,0.00839638405750827,116.49399876148296,0,0.00014951190303769124
GLOBEX,0.05,1.0099504938362078,H0.05,2,2556909417,-1.0130806667881438,1.0352227779068561,2.929875223718679,0.003313403338459474,71.69513341331547,0,0.00014951190303769124
GLOBEX,0.05,1.0099504938362078,H0.05,3,921526970,-1.0594304349539272,0.9754689205891199,2.6987439978081493,0.00480900570570048,78.46888619541797,0,0.00014951190303769124
GLOBEX,0.05,1.0099504938362078,H0.05,4,3082841560,-1.2731280017234858,1.0023777762268058,3.9690152608964424,0.008964395475536301,127.40127792054528,0,0.00014951190303769124
GLOBEX,0.1,1.0099504938362078,H0.10,0,1793493114,-0.9686890413297458,1.0102844178706412,2.65398609804079,0.007178870267106235,64.74355574295355,0,0.0006160708731073328
GLOBEX,0.1,1.0099504938362078,H0.10,1,2300198314,-0.9845643464023137,0.9818682459017791,2.4117661125685266,0.006403181799949695,66.39364296834337,0,0.0006160708731073328
GLOBEX,0.1,1.0099504938362078,H0.10,2,3780668412,-1.0889534232677662,1.0618184606472145,3.0958657482777343,0.012402079408354836,84.40477772998597,0,0.0006160708731073328
GLOBEX,0.1,1.0099504938362078,H0.10,3,1223363780,-1.1672788595295347,1.0256491285809475,3.5500351773020213,0.015602571571375602,100.76910219519061,0,0.0006160708731073328
GLOBEX,0.1,1.0099504938362078,H0.10,4,4277174587,-1.1031104860941932,0.9869550151595591,3.2650115430112194,0.010865443818806943,87.37536384376301,0,0.0006160708731073328
GLOBEX,0.2,1.0099504938362078,H0.20,0,2381959045,-1.1577579682081773,0.9943444921567466,3.9085119904377366,0.007751408985208803,99.78155104081429,0,0.005230106077750207
GLOBEX,0.2,1.0099504938362078,H0.20,1,1258543823,-0.9542425476923868,0.9792799249625793,2.266844432877122,0.005878704208674277,62.006052482044815,0,0.005230106077750207
GLOBEX,0.2,1.0099504938362078,H0.20,2,1094909958,-1.0412655929554995,0.9987844964037075,2.8596790197160287,0.006977307666563158,75.8233652471547,0,0.005230106077750207
GLOBEX,0.2,1.0099504938362078,H0.20,3,3744405036,-1.0889397609084306,1.0096454148659848,3.2464882036736427,0.01000395887311924,84.78284212764467,0,0.005230106077750207
GLOBEX,0.2,1.0099504938362078,H0.20,4,967435360,-1.0649592534956058,1.0390770062521566,3.1610353112015828,0.005935362385142797,80.44572525235141,0,0.005230106077750207
GLOBEX,0.3,1.0099504938362078,H0.30,0,2534597542,-1.22926115586337,0.9442313980612976,3.4827161836093423,0.005475335560559774,114.94784122085282,0,0.033300563665612515
GLOBEX,0.3,1.0099504938362078,H0.30,1,989428839,-1.1110786077150892,1.0008593653086768,3.096284608125394,0.005614983698067663,88.4549929454908,0,0.033300563665612515
GLOBEX,0.3,1.0099504938362078,H0.30,2,486382148,-0.8853855929984744,1.0647632792642818,2.479945787225112,0.007003958262879554,54.28146561304206,0,0.033300563665612515
GLOBEX,0.3,1.0099504938362078,H0.30,3,1518136031,-1.027613511497211,0.9823941483864534,2.8738371674604637,0.00300059510013638,73.72580304239573,0,0.033300563665612515
GLOBEX,0.3,1.0099504938362078,H0.30,4,2186812735,-1.1389218717197174,1.038884999675619,3.5102350808295477,0.006695849092720754,94.8368591442642,0,0.033300563665612515
GLOBEX,0.45,1.0099504938362078,H0.45,0,1413595372,-1.1630678185183618,1.005616541775285,3.768243470242415,0.004226875759028166,100.46023194162625,0,0.43683516529665667
GLOBEX,0.45,1.0099504938362078,H0.45,1,3407543246,-1.1396027073340902,1.096284375594808,3.5107259975465714,0.006480369308874696,94.97329140183659,0,0.43683516529665667
GLOBEX,0.45,1.0099504938362078,H0.45,2,4099105181,-0.967759016791065,1.046902840905998,2.151858958547881,0.008779851958327393,63.68814300841817,0,0.43683516529665667
GLOBEX,0.45,1.0099504938362078,H0.45,3,1738748678,-1.1036877421415934,1.027728104394074,3.0013440819041954,0.012725330645160647,86.87422271422409,0,0.43683516529665667
GLOBEX,0.45,1.0099504938362078,H0.45,4,3102443189,-1.122872759800518,1.0138891297422086,2.784780108882671,0.0034057635082210273,90.1787737400505,0,0.43683516529665667
GLOBEX,0.5,1.0099504938362078,H0.50,0,2678968057,-1.1615838834572467,1.050779721444162,3.365000495637857,0.008180743138353326,99.12897419558607,0,1.0
GLOBEX,0.5,1.0099504938362078,H0.50,1,4204629254,-1.2490677328856394,1.0192432255502866,3.9762901024274484,0.005115462758406827,121.01360081968147,0,1.0
GLOBEX,0.5,1.0099504938362078,H0.50,2,2880810275,-1.02265180919488,1.0156914105858765,2.7562141020077537,0.013655997161322537,72.68450990418444,0,1.0
GLOBEX,0.5,1.0099504938362078,H0.50,3,3451520304,-1.0778464690829375,1.0313481928467303,3.1780302429463823,0.00933192554600287,82.66970150481,0,1.0
GLOBEX,0.5,1.0099504938362078,H0.50,4,909456077,-1.1196598052241462,1.0288374820863264,3.261383820357169,0.007710760451823703,90.45852687556452,0,1.0
RTH,0.05,1.0099504938362078,H0.05,0,2482709861,-1.1883654958316825,1.0234986869989615,3.3515253958390687,0.012209566272764722,103.66527327951906,0,0.0004677914385424753
