geom,tag,H,sigma_w,b_mean,b_sd,b_min,b_max,rmse_mean,cond_mean,emb_neg_eig,n_seeds
GLOBEX,H0.05,0.05,1.0099504938362078,-1.139886351765128,0.11091085212345163,-1.2731280017234858,-1.0130806667881438,0.006883436735505446,96.72976699229413,0,5
GLOBEX,H0.10,0.1,1.0099504938362078,-1.0625192313247107,0.08396735199887469,-1.1672788595295347,-0.9686890413297458,0.010490429373118662,80.7372884960473,0,5
GLOBEX,H0.20,0.2,1.0099504938362078,-1.06143302465202,0.07406766033921523,-1.1577579682081773,-0.9542425476923868,0.007309348423741655,80.56790723000198,0,5
GLOBEX,H0.30,0.3,1.0099504938362078,-1.0784521479587723,0.12973404702952224,-1.22926115586337,-0.8853855929984744,0.005558144342872826,85.24939239320912,0,5
GLOBEX,H0.45,0.45,1.0099504938362078,-1.0993980089171256,0.07676026383747687,-1.1630678185183618,-0.967759016791065,0.007123638235922386,87.23493256123112,0,5
GLOBEX,H0.50,0.5,1.0099504938362078,-1.12616193996897,0.08580728067741404,-1.2490677328856394,-1.02265180919488,0.008798977811181852,93.1910626599653,0,5
GLOBEX,sens_H0.05_sw0.505,0.05,0.5049752469181039,-1.1578402830287011,0.1269067757680712,-1.3746232635232898,-1.0764238761399405,0.0065960511765098245,101.5806918123726,0,5
GLOBEX,sens_H0.05_sw2.020,0.05,2.0199009876724157,-0.9781977962241513,0.0962486590759789,-1.115121855207867,-0.8604877075419248,0.008592028965264311,67.61268812178317,0,5
GLOBEX,sens_H0.50_sw0.505,0.5,0.5049752469181039,-1.1631660671772028,0.10573673585889572,-1.3368554040192278,-1.0519101392345531,0.00814667092051003,101.75828639503395,0,5
GLOBEX,sens_H0.50_sw2.020,0.5,2.0199009876724157,-1.066063149215358,0.055796058506135046,-1.1362595670932865,-0.9982135331379601,0.01009248009465819,82.25780596537204,0,5
RTH,H0.05,0.05,1.0099504938362078,-1.0832057571990372,0.10304361829522088,-1.1883654958316825,-0.9136035161820167,0.0062316692242263575,84.18781767603699,0,5
RTH,H0.10,0.1,1.0099504938362078,-1.1758341572847115,0.09354738129638333,-1.3080318417741974,-1.066840885003993,0.011661396419000391,103.12215613942632,0,5
RTH,H0.20,0.2,1.0099504938362078,-1.049881145502153,0.08679229290931292,-1.1375425806892403,-0.9376357510845533,0.010903504464265397,78.14362044566442,0,5
RTH,H0.30,0.3,1.0099504938362078,-1.0973617921576253,0.06487914859152848,-1.1789108804694917,-1.0051202924400933,0.007309370140345628,86.06867148728254,0,5
RTH,H0.45,0.45,1.0099504938362078,-1.0588579843465427,0.06601634135069008,-1.1479744328732984,-0.9854985775085258,0.010482334929703166,79.451580494151,0,5
RTH,H0.50,0.5,1.0099504938362078,-1.170456860492024,0.06474694935052752,-1.2576416544950881,-1.1184893512392318,0.009340304924340456,100.99527437743014,0,5
RTH,sens_H0.05_sw0.505,0.05,0.5049752469181039,-1.1245123307827083,0.0549087390079994,-1.1884130604951118,-1.0523652522087785,0.00854675524218047,90.88564076944786,0,5
RTH,sens_H0.05_sw2.020,0.05,2.0199009876724157,-1.0242547274651563,0.07789403035865052,-1.1190957091130662,-0.9557950420579495,0.009893786516980833,74.55600446980439,0,5
RTH,sens_H0.50_sw0.505,0.5,0.5049752469181039,-1.1010803281455495,0.07408143738338432,-1.1761956789104637,-0.978355510366618,0.010082082863152394,86.92379339262105,0,5
RTH,sens_H0.50_sw2.020,0.5,2.0199009876724157,-1.0041908433388613,0.11057023776259446,-1.1025901838240233,-0.8289691214596325,0.010288757563852415,74.11677815216709,0,5
