cell,candidate,n,n_zero,share_zero,r2_floored,r2_repaired,lift,lam_intercept,keep_floored,keep_repaired,keep_floored_corr,keep_repaired_corr,status_changes
ES/RTH/B1/1day,RS_up,1900,0,0.0,0.6465214802204557,0.6465214802204557,0.0,0.8397800078923314,True,True,True,True,False
ES/RTH/B1/1day,RS_down,1900,0,0.0,0.6270485510632597,0.6270485510632597,0.0,0.8397800078923314,True,True,True,True,False
ES/RTH/B1/1day,JumpVar,1900,701,0.36894736842105263,0.0020744135236310823,0.009646359946948365,0.0075719464233172835,0.8397800078923314,False,False,False,False,False
ES/RTH/B1/1day,Parkinson,1900,0,0.0,0.6079181078044927,0.6079181078044927,0.0,0.8397800078923314,True,True,True,True,False
ES/RTH/B1/1day,GarmanKlass,1900,0,0.0,0.6062487257832172,0.6062487257832172,0.0,0.8397800078923314,True,True,True,True,False
ES/RTH/B1/1day,RealizedQuarticity,1900,0,0.0,0.6281802049422092,0.6281802049422092,0.0,0.8397800078923314,True,True,True,True,False
ES/RTH/B1/1h,RS_up,11405,3,0.000263042525208242,0.012817340790727503,0.4336800819259978,0.4208627411352703,0.588054052124918,False,True,True,True,True
ES/RTH/B1/1h,RS_down,11405,4,0.0003507233669443227,0.008919424318136915,0.48644751205371256,0.47752808773557565,0.588054052124918,False,True,False,True,True
ES/RTH/B1/1h,JumpVar,11405,5341,0.4683033757124068,0.0011737495096003235,0.006759095586297076,0.005585346076696752,0.588054052124918,False,False,False,False,False
ES/RTH/B1/1h,Parkinson,11405,0,0.0,0.5568520400141026,0.5568520400141026,0.0,0.588054052124918,True,True,True,True,False
ES/RTH/B1/1h,GarmanKlass,11405,0,0.0,0.5674569453426921,0.5674569453426921,0.0,0.588054052124918,True,True,True,True,False
ES/RTH/B1/1h,RealizedQuarticity,11405,0,0.0,0.5590769758256048,0.5590769758256048,0.0,0.588054052124918,True,True,True,True,False
ES/RTH/B1/30min,RS_up,22811,341,0.014948928148700188,6.310415000582641e-06,0.25419711472995304,0.25419080431495245,0.3958240376050629,False,True,False,True,True
ES/RTH/B1/30min,RS_down,22811,536,0.02349743544781027,0.0036435801684982423,0.3224269631009861,0.31878338293248787,0.3958240376050629,False,True,False,True,True
