cell,par_i,par_j,boot_corr,asym_corr
ES/RTH/B1/1h,b,b,1.0,1.0
ES/RTH/B1/30min,c,c,0.9999999999999998,1.0
ES/RTH/B1/30min,c,A,0.0822875125838871,-0.345479121096353
ES/RTH/B1/30min,c,b,-0.9711330285155678,-0.993466839786863
ES/RTH/B1/30min,A,c,0.08228751258388708,-0.345479121096353
ES/RTH/B1/30min,A,A,1.0,1.0
ES/RTH/B1/30min,A,b,-0.21496303682720566,0.2395561124864365
ES/RTH/B1/30min,b,c,-0.9711330285155677,-0.993466839786863
ES/RTH/B1/30min,b,A,-0.21496303682720566,0.2395561124864365
ES/RTH/B1/30min,b,b,1.0,1.0
NQ/RTH/B0/1day,c,c,1.0,1.0
NQ/RTH/B0/1day,c,A,0.09481044526950654,0.6134926485222042
NQ/RTH/B0/1day,c,b,-0.11777999972608981,-0.7481562588648306
NQ/RTH/B0/1day,A,c,0.09481044526950654,0.6134926485222042
NQ/RTH/B0/1day,A,A,1.0,1.0
NQ/RTH/B0/1day,A,b,-0.9125026239306425,-0.9722641244493343
NQ/RTH/B0/1day,b,c,-0.11777999972608981,-0.7481562588648306
NQ/RTH/B0/1day,b,A,-0.9125026239306425,-0.9722641244493343
NQ/RTH/B0/1day,b,b,0.9999999999999998,1.0
NQ/RTH/B0/1h,c,c,1.0,1.0
NQ/RTH/B0/1h,c,A,0.5031467241237317,0.8101633422792033
NQ/RTH/B0/1h,c,b,-0.5843637387012734,-0.9446267753494074
NQ/RTH/B0/1h,A,c,0.5031467241237317,0.8101633422792033
NQ/RTH/B0/1h,A,A,0.9999999999999998,1.0
NQ/RTH/B0/1h,A,b,-0.9027833336658693,-0.9506433118472467
NQ/RTH/B0/1h,b,c,-0.5843637387012734,-0.9446267753494074
NQ/RTH/B0/1h,b,A,-0.9027833336658693,-0.9506433118472467
NQ/RTH/B0/1h,b,b,0.9999999999999999,1.0
NQ/RTH/B0/30min,c,c,1.0,1.0
NQ/RTH/B0/30min,c,A,0.7439190572568355,0.8957301530182255
NQ/RTH/B0/30min,c,b,-0.8612592809329049,-0.9795591493359699
NQ/RTH/B0/30min,A,c,0.7439190572568355,0.8957301530182255
NQ/RTH/B0/30min,A,A,1.0,1.0
NQ/RTH/B0/30min,A,b,-0.9214190354683386,-0.9646101692562447
NQ/RTH/B0/30min,b,c,-0.8612592809329048,-0.9795591493359699
NQ/RTH/B0/30min,b,A,-0.9214190354683386,-0.9646101692562447
NQ/RTH/B0/30min,b,b,1.0,1.0
NQ/RTH/B1/1day,c,c,1.0,1.0
NQ/RTH/B1/1day,c,A,0.12749654758760917,0.6134926485222042
NQ/RTH/B1/1day,c,b,-0.15745664632071563,-0.7481562588648306
NQ/RTH/B1/1day,A,c,0.1274965475876092,0.6134926485222042
NQ/RTH/B1/1day,A,A,1.0,1.0
NQ/RTH/B1/1day,A,b,-0.9100128288158781,-0.9722641244493343
