geom,df,b_gaussian_signal,b_t_signal,move_from_gaussian,b_gaussian_reference,b_t_reference,reference_move,real_b_mean,real_gap_to_trigamma,share_of_real_gap,in_observed_range
GLOBEX,nu2.95,-1.209101296962224,-1.1420237639432105,0.06707753301901342,-1.1119921361504352,-1.137868733654059,-0.0258765975036237,-0.5656270821103061,0.572047587513564,0.11725865904018506,False
GLOBEX,nu3,-1.209101296962224,-1.2201559917100564,-0.011054694747832494,-1.1119921361504352,-1.1771755873821905,-0.06518345123175528,-0.5656270821103061,0.572047587513564,-0.019324781694967593,False
GLOBEX,nu3.67,-1.209101296962224,-1.098016465870683,0.11108483109154088,-1.1119921361504352,-1.1257724914711607,-0.013780355320725413,-0.5656270821103061,0.572047587513564,0.1941880946904735,False
RTH,nu2.95,-1.1847448602355533,-1.0884515554326373,0.09629330480291598,-1.1186461980474989,-1.1536538493753956,-0.03500765132789674,-0.800922081767399,0.343451167893964,0.2803697113432011,False
RTH,nu3,-1.1847448602355533,-1.157828922022426,0.02691593821312721,-1.1186461980474989,-1.1172298060983135,0.0014163919491854138,-0.800922081767399,0.343451167893964,0.07836903970417462,False
RTH,nu3.67,-1.1847448602355533,-1.2305832728842876,-0.04583841264873434,-1.1186461980474989,-1.167982133941475,-0.049335935893976224,-0.800922081767399,0.343451167893964,-0.13346413386745665,False
