root,geom,model_i,model_j,corr
NQ,GLOBEX,M5_RGARCH,M5_RGARCH,1.0
NQ,GLOBEX,M5_RGARCH,M6_PARK,0.7612597413707711
NQ,GLOBEX,M5_RGARCH,M6_GK,0.7941542165177439
NQ,GLOBEX,M6_PARK,M1_EWMA,0.4723774007241793
NQ,GLOBEX,M6_PARK,M2_HAR,0.7444083493560433
NQ,GLOBEX,M6_PARK,M3_HARJ,0.7186019394461136
NQ,GLOBEX,M6_PARK,M4_HARQ,0.7804383362709689
NQ,GLOBEX,M6_PARK,M5_RGARCH,0.761259741370771
NQ,GLOBEX,M6_PARK,M6_PARK,1.0
NQ,GLOBEX,M6_PARK,M6_GK,0.9549710649521559
NQ,GLOBEX,M6_GK,M1_EWMA,0.46884484881189814
NQ,GLOBEX,M6_GK,M2_HAR,0.7794774302063805
NQ,GLOBEX,M6_GK,M3_HARJ,0.7560620451932096
NQ,GLOBEX,M6_GK,M4_HARQ,0.8201019923942012
NQ,GLOBEX,M6_GK,M5_RGARCH,0.7941542165177439
NQ,GLOBEX,M6_GK,M6_PARK,0.954971064952156
NQ,GLOBEX,M6_GK,M6_GK,1.0
ES,RTH,M1_EWMA,M1_EWMA,1.0
ES,RTH,M1_EWMA,M2_HAR,0.6698433892286095
ES,RTH,M1_EWMA,M3_HARJ,0.6396761626194728
ES,RTH,M1_EWMA,M4_HARQ,0.5322764427304995
ES,RTH,M1_EWMA,M5_RGARCH,0.48020045379657084
ES,RTH,M1_EWMA,M6_PARK,0.4970486091930817
ES,RTH,M1_EWMA,M6_GK,0.4971033259775485
ES,RTH,M2_HAR,M1_EWMA,0.6698433892286096
ES,RTH,M2_HAR,M2_HAR,1.0
ES,RTH,M2_HAR,M3_HARJ,0.9733935351557327
ES,RTH,M2_HAR,M4_HARQ,0.9264522814164456
ES,RTH,M2_HAR,M5_RGARCH,0.8745238763454818
ES,RTH,M2_HAR,M6_PARK,0.782273627578821
ES,RTH,M2_HAR,M6_GK,0.8105393218650779
ES,RTH,M3_HARJ,M1_EWMA,0.6396761626194728
ES,RTH,M3_HARJ,M2_HAR,0.9733935351557328
ES,RTH,M3_HARJ,M3_HARJ,1.0
ES,RTH,M3_HARJ,M4_HARQ,0.9236127576193441
ES,RTH,M3_HARJ,M5_RGARCH,0.8735300242165852
ES,RTH,M3_HARJ,M6_PARK,0.7941929444087291
ES,RTH,M3_HARJ,M6_GK,0.8246357676727158
ES,RTH,M4_HARQ,M1_EWMA,0.5322764427304996
ES,RTH,M4_HARQ,M2_HAR,0.9264522814164456
ES,RTH,M4_HARQ,M3_HARJ,0.9236127576193442
ES,RTH,M4_HARQ,M4_HARQ,0.9999999999999999
ES,RTH,M4_HARQ,M5_RGARCH,0.9045686035779781
ES,RTH,M4_HARQ,M6_PARK,0.8090947418918752
ES,RTH,M4_HARQ,M6_GK,0.8479271052085912
ES,RTH,M5_RGARCH,M1_EWMA,0.48020045379657084
ES,RTH,M5_RGARCH,M2_HAR,0.8745238763454817
ES,RTH,M5_RGARCH,M3_HARJ,0.8735300242165853
ES,RTH,M5_RGARCH,M4_HARQ,0.9045686035779782
ES,RTH,M5_RGARCH,M5_RGARCH,1.0
ES,RTH,M5_RGARCH,M6_PARK,0.7719062660917086
ES,RTH,M5_RGARCH,M6_GK,0.8098899061331477
ES,RTH,M6_PARK,M1_EWMA,0.4970486091930818
ES,RTH,M6_PARK,M2_HAR,0.7822736275788209
ES,RTH,M6_PARK,M3_HARJ,0.7941929444087291
ES,RTH,M6_PARK,M4_HARQ,0.8090947418918754
ES,RTH,M6_PARK,M5_RGARCH,0.7719062660917086
ES,RTH,M6_PARK,M6_PARK,1.0
ES,RTH,M6_PARK,M6_GK,0.9586623481980112
ES,RTH,M6_GK,M1_EWMA,0.49710332597754847
ES,RTH,M6_GK,M2_HAR,0.810539321865078
ES,RTH,M6_GK,M3_HARJ,0.824635767672716
ES,RTH,M6_GK,M4_HARQ,0.8479271052085912
ES,RTH,M6_GK,M5_RGARCH,0.8098899061331477
ES,RTH,M6_GK,M6_PARK,0.9586623481980112
ES,RTH,M6_GK,M6_GK,0.9999999999999999
NQ,RTH,M1_EWMA,M1_EWMA,1.0
NQ,RTH,M1_EWMA,M2_HAR,0.6778289499440249
NQ,RTH,M1_EWMA,M3_HARJ,0.6669339492064262
NQ,RTH,M1_EWMA,M4_HARQ,0.5990210395387032
NQ,RTH,M1_EWMA,M5_RGARCH,0.43842270624622015
NQ,RTH,M1_EWMA,M6_PARK,0.4805936118746034
