root,geom,btag,horizon,M,c,c_lo,c_hi,sd_log_iv,sd_log_iv_lo,sd_log_iv_hi,vol_ratio_1sd,var_log_rv_naive,sd_log_iv_naive,overstatement_var,overstatement_sd,is_five_min
ES,GLOBEX,B0,1day,276,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.249852873673113,1.11796818992005,0.20886086101545764,0.09948208762828759,True
ES,GLOBEX,B1,1day,276,1.033909620188399,0.9338853599795304,1.119937727143011,1.0168134638115287,0.9663774417791064,1.0582711028573968,1.6626400521687954,1.249852873673113,1.11796818992005,0.20886086101545764,0.09948208762828759,True
NQ,GLOBEX,B0,1day,276,1.0853359132503864,1.0150992478502532,1.1579095735563536,1.041794563841829,1.007521338657526,1.076062067706298,1.683537580014721,1.1546778485307942,1.0745593741300636,0.06388983763813849,0.03145035636143856,True
NQ,GLOBEX,B1,1day,276,1.0853359132503864,1.0141537337297502,1.155019656130149,1.041794563841829,1.007052001502281,1.0747184078306973,1.683537580014721,1.1546778485307942,1.0745593741300636,0.06388983763813849,0.03145035636143856,True
ES,RTH,B0,1day,78,1.0809384800522852,0.99701777526825,1.1610578419327755,1.0396819129196608,0.9985077742653033,1.077523940306096,1.681760155339004,1.2871686279157708,1.134534542407489,0.1907880528533965,0.0912323551166343,True
ES,RTH,B0,1h,12,1.051936782682572,0.94692268588903,1.1327760576027854,1.0256396943774027,0.973099525171516,1.0643195279627191,1.6699936886811888,1.7888437170876814,1.337476623006055,0.7005239730527373,0.30404140005321056,True
ES,RTH,B0,30min,6,0.8153215401312074,0.6376069294255036,0.947611338521586,0.9029515713100051,0.7985029301295666,0.9734533057736184,1.5706283868040378,2.059807974863609,1.4352031127556855,1.5263750231989826,0.5894574619029547,True
ES,RTH,B1,1day,78,1.0809384800522852,0.9963368170651992,1.162383452682612,1.0396819129196608,0.9981667280896509,1.07813888376341,1.681760155339004,1.2871686279157708,1.134534542407489,0.1907880528533965,0.0912323551166343,True
ES,RTH,B1,1h,12,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.7888437170876814,1.337476623006055,0.7005239730527373,0.30404140005321056,True
ES,RTH,B1,30min,6,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,2.059807974863609,1.4352031127556855,1.5263750231989826,0.5894574619029547,True
NQ,RTH,B0,1day,78,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.13474711756856,1.0652450974158765,0.07378586930500552,0.036236396439058405,True
NQ,RTH,B0,1h,12,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.7587520585567455,1.3261794971106835,0.23430159320494925,0.1109912660345036,True
NQ,RTH,B0,30min,6,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,2.0227156240960893,1.4222220727073847,0.4781225415856907,0.21578063053566154,True
NQ,RTH,B1,1day,78,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.13474711756856,1.0652450974158765,0.07378586930500552,0.036236396439058405,True
NQ,RTH,B1,1h,12,1.424896531154938,1.3794630242511596,1.4694619829807138,1.193690299514467,1.1745054381530806,1.2122136705138717,1.8163793467695082,1.7587520585567455,1.3261794971106835,0.23430159320494925,0.1109912660345036,True
NQ,RTH,B1,30min,6,1.3684356791732393,1.307830017802652,1.419214872553802,1.1698015554670969,1.143603960207664,1.1913080510740293,1.794812891401648,2.0227156240960893,1.4222220727073847,0.4781225415856907,0.21578063053566154,True
