root,btag,target_horizon,b_1day_full,b_1day_truncated,b_actual_target,horizon_effect,span_effect,share_from_span,residual_after_span
ES,B0,1h,-0.6274444407456055,-0.9294530881781075,-0.4658063300928055,-0.16163811065279998,0.302008647432502,-1.8684247558499314,-0.463646758085302
ES,B0,30min,-0.6274444407456055,-0.9294530881781075,-0.4111082270680417,-0.21633621367756378,0.302008647432502,-1.3960152223179234,-0.5183448611100658
ES,B1,1h,-0.6274444407456055,-0.9294530881781075,-0.4658063300928055,-0.16163811065279998,0.302008647432502,-1.8684247558499314,-0.463646758085302
ES,B1,30min,-0.6274444407456055,-0.9294530881781075,-0.4111082270680417,-0.21633621367756378,0.302008647432502,-1.3960152223179234,-0.5183448611100658
NQ,B0,1h,-0.9743997227891924,-1.013077562823615,-0.8032152282589848,-0.17118449453020756,0.03867784003442265,-0.22594242627271058,-0.20986233456463022
NQ,B0,30min,-0.9743997227891924,-1.013077562823615,-0.7009504660809367,-0.2734492567082557,0.03867784003442265,-0.14144430487769882,-0.31212709674267836
NQ,B1,1h,-0.9743997227891924,-1.013077562823615,-0.8032152282589848,-0.17118449453020756,0.03867784003442265,-0.22594242627271058,-0.20986233456463022
NQ,B1,30min,-0.9743997227891924,-1.013077562823615,-0.7009504660809367,-0.2734492567082557,0.03867784003442265,-0.14144430487769882,-0.31212709674267836
