root,geom,model,available,mse,mse_corrected,noise_var,w_naive,w_corrected,excluded_corrected,abs_change
ES,GLOBEX,M1_EWMA,True,0.6377839143215058,0.4667753195817935,0.17100859473971228,0.16087007937949055,0.1381819899048758,False,0.02268808947461476
ES,GLOBEX,M2_HAR,True,0.4095111973108157,0.23850260257110342,0.17100859473971228,0.25054345179721665,0.270437059398828,False,0.01989360760161135
ES,GLOBEX,M3_HARJ,True,1280.858195218869,1280.6871866241293,0.17100859473971228,8.010281646074866e-05,5.0363541676650466e-05,False,2.9739274784098193e-05
ES,GLOBEX,M4_HARQ,True,4465.091145911529,4464.920137316789,0.17100859473971228,2.29783324843904e-05,1.4445934196945805e-05,False,8.532398287444596e-06
ES,GLOBEX,M5_RGARCH,True,0.3665283316694823,0.19551973692977,0.17100859473971228,0.27992474267005074,0.32988967513527656,False,0.04996493246522582
ES,GLOBEX,M6_PARK,True,0.7000329131785185,0.5290243184388062,0.17100859473971228,0.146565035718111,0.12192245280640623,False,0.024642582911704763
ES,GLOBEX,M6_GK,True,0.6333604725270607,0.46235187778734843,0.17100859473971228,0.16199360928618603,0.13950401327873985,False,0.022489596007446183
NQ,GLOBEX,M1_EWMA,True,0.6145244986272806,0.5605895574869272,0.05393494114035343,0.18071039248588472,0.1775911703325986,False,0.003119222153286111
NQ,GLOBEX,M2_HAR,True,0.37558287248192335,0.32164793134156994,0.05393494114035343,0.2956763246558115,0.3095177860311341,False,0.013841461375322606
NQ,GLOBEX,M3_HARJ,True,643.1725582262716,643.1186232851312,0.05393494114035343,0.0001726612274089889,0.0001548015435811726,False,1.7859683827816292e-05
NQ,GLOBEX,M4_HARQ,True,645.4651886650471,645.4112537239067,0.05393494114035343,0.00017204795129045354,0.00015425165739815997,False,1.7796293892293575e-05
NQ,GLOBEX,M5_RGARCH,True,0.6274229525597393,0.5734880114193859,0.05393494114035343,0.17699537909167234,0.17359692549445965,False,0.0033984535972126917
NQ,GLOBEX,M6_PARK,True,0.6684300399272542,0.6144950987869008,0.05393494114035343,0.16613700268649384,0.16201228583738736,False,0.00412471684910648
NQ,GLOBEX,M6_GK,True,0.6164833516625527,0.5625484105221993,0.05393494114035343,0.1801361919014382,0.1769727791034409,False,0.0031634127979973115
ES,RTH,M1_EWMA,True,0.7021607013921286,0.5508823707601334,0.15127833063199528,0.13425282315675233,0.12288158861424653,False,0.011371234542505798
ES,RTH,M2_HAR,True,0.44736493607752065,0.29608660544552534,0.15127833063199528,0.2107162382866854,0.22862669102078614,False,0.017910452734100746
ES,RTH,M3_HARJ,True,0.4413157673300862,0.2900374366980909,0.15127833063199528,0.21360455132143674,0.23339504592661128,False,0.01979049460517454
ES,RTH,M4_HARQ,True,666.5335945001578,666.3823161695259,0.15127833063199528,0.00014142881506566928,0.00010158327917178184,False,3.984553589388745e-05
ES,RTH,M5_RGARCH,True,0.6180565324904992,0.46677820185850394,0.15127833063199528,0.15252173792543436,0.14502241233430097,False,0.007499325591133393
ES,RTH,M6_PARK,True,0.6708670085696208,0.5195886779376255,0.15127833063199528,0.14051526646482249,0.13028247868540707,False,0.010232787779415414
ES,RTH,M6_GK,True,0.6358742492504661,0.48459591861847084,0.15127833063199528,0.14824795402980304,0.13969020013947625,False,0.008557753890326786
NQ,RTH,M1_EWMA,True,0.6241050590849688,0.5726526887852508,0.051452370299718074,0.1430025907219325,0.13902862780909933,False,0.003973962912833168
NQ,RTH,M2_HAR,True,0.3761203567223929,0.32466798642267486,0.051452370299718074,0.23728744997891188,0.24522010442186393,False,0.007932654442952047
NQ,RTH,M3_HARJ,True,0.3771096325412171,0.32565726224149905,0.051452370299718074,0.23666497121910735,0.24447517916540154,False,0.007810207946294195
NQ,RTH,M4_HARQ,True,333.006188171367,332.9547358010673,0.051452370299718074,0.0002680089544939249,0.00023911693984906348,False,2.889201464486142e-05
NQ,RTH,M5_RGARCH,True,1.1574833063759766,1.1060309360762586,0.051452370299718074,0.0771057689041308,0.07198272212479537,False,0.005123046779335436
NQ,RTH,M6_PARK,True,0.6025110938818885,0.5510587235821705,0.051452370299718074,0.14812779588305952,0.14447664854203676,False,0.003651147341022759
NQ,RTH,M6_GK,True,0.5665018795398925,0.5150495092401745,0.051452370299718074,0.15754341433836408,0.15457760099695395,False,0.002965813341410134
