root,geom,combination,te,turnover,n,n_models,cost_0.5t_bps,cost_1.0t_bps,cost_2.0t_bps,cost_4.0t_bps
ES,GLOBEX,naive,0.3470973456629155,0.10903265925167378,641,7,0.044231149177523126,0.08846229835504625,0.1769245967100925,0.353849193420185
ES,GLOBEX,corrected,0.34535400783161685,0.10384041162266136,641,7,0.0421248162583619,0.0842496325167238,0.1684992650334476,0.3369985300668952
NQ,GLOBEX,naive,0.33118042613406473,0.09292727343098148,641,7,0.010358835908428265,0.02071767181685653,0.04143534363371306,0.08287068726742612
NQ,GLOBEX,corrected,0.33094882046140406,0.09158314128587838,641,7,0.010209002131795316,0.020418004263590632,0.040836008527181264,0.08167201705436253
ES,RTH,naive,0.34063855121125985,0.12317763381237173,621,7,0.04995875966264763,0.09991751932529526,0.19983503865059052,0.39967007730118104
ES,RTH,corrected,0.34111861533749804,0.11979675359174533,621,7,0.04858753197168748,0.09717506394337495,0.1943501278867499,0.3887002557734998
NQ,RTH,naive,0.31981354283428326,0.09725473259383201,621,7,0.010840652739494588,0.021681305478989176,0.04336261095797835,0.0867252219159567
NQ,RTH,corrected,0.3199549210487929,0.09603086698352148,621,7,0.010704232621652142,0.021408465243304284,0.04281693048660857,0.08563386097321714
