root,geom,btag,horizon,M,factor_c_hi,factor_c_lo,factor_corrected,factor_naive,s2_c_hi,s2_c_lo,s2_corrected,s2_naive,overstatement_prop,adj_vol_points_corrected,adj_vol_points_naive,diff_vol_points,adj_vol_points_c_lo,adj_vol_points_c_hi
ES,GLOBEX,B0,1day,276,0.2566875384951027,0.19214918503703604,0.22650479668608148,0.31122868423716693,1.116288574536073,0.9310585411291388,1.033909620188399,1.249852873673113,0.37404897728725084,4.53009593372163,6.224573684743339,1.6944777510217088,3.842983700740721,5.133750769902054
ES,GLOBEX,B1,1day,276,0.2580829190009997,0.19304697668100929,0.22650479668608148,0.31122868423716693,1.119937727143011,0.9338853599795304,1.033909620188399,1.249852873673113,0.37404897728725084,4.53009593372163,6.224573684743339,1.6944777510217088,3.8609395336201864,5.161658380019995
ES,RTH,B0,1day,78,0.27416368834284255,0.21377342211228445,0.24343054640574247,0.32781441662491534,1.1610578419327755,0.99701777526825,1.0809384800522852,1.2871686279157708,0.3466445418009474,4.86861092811485,6.5562883324983074,1.6876774043834573,4.275468442245689,5.483273766856851
ES,RTH,B0,1h,12,0.2630327700331252,0.19722060613779235,0.23289889130371166,0.6228163709023575,1.1327760576027854,0.94692268588903,1.051936782682572,1.7888437170876814,1.6741920814477997,4.657977826074234,12.45632741804715,7.798349591972917,3.944412122755847,5.260655400662504
ES,RTH,B0,30min,6,0.19744258062935943,0.11149348659490466,0.15748777559877725,0.8555579164426287,0.947611338521586,0.6376069294255036,0.8153215401312074,2.059807974863609,4.432535402762215,3.1497555119755454,17.111158328852575,13.96140281687703,2.229869731898093,3.948851612587189
ES,RTH,B1,1day,78,0.2746931748880459,0.2135428100990039,0.24343054640574247,0.32781441662491534,1.162383452682612,0.9963368170651992,1.0809384800522852,1.2871686279157708,0.3466445418009474,4.86861092811485,6.5562883324983074,1.6876774043834573,4.270856201980077,5.493863497760918
ES,RTH,B1,1h,12,0.2608308677082322,0.20060034666120286,0.23289889130371166,0.6228163709023575,1.1270853695805287,0.9573569615098012,1.051936782682572,1.7888437170876814,1.6741920814477997,4.657977826074234,12.45632741804715,7.798349591972917,4.0120069332240575,5.216617354164645
ES,RTH,B1,30min,6,0.1949736699127138,0.11170163751802142,0.15748777559877725,0.8555579164426287,0.9399249735833916,0.6384866973095559,0.8153215401312074,2.059807974863609,4.432535402762215,3.1497555119755454,17.111158328852575,13.96140281687703,2.2340327503604285,3.8994733982542766
NQ,GLOBEX,B0,1day,276,0.2729089900256719,0.219954658981505,0.2450542625969041,0.2716251332381538,1.1579095735563536,1.0150992478502532,1.0853359132503864,1.1546778485307942,0.1084285184826872,4.901085251938082,5.432502664763076,0.531417412824994,4.399093179630101,5.458179800513439
NQ,GLOBEX,B1,1day,276,0.27176072589476974,0.21962865362612544,0.2450542625969041,0.2716251332381538,1.155019656130149,1.0141537337297502,1.0853359132503864,1.1546778485307942,0.1084285184826872,4.901085251938082,5.432502664763076,0.531417412824994,4.392573072522509,5.435214517895395
NQ,RTH,B0,1day,78,0.2591851398419854,0.2101065856198131,0.2346336934263587,0.26379836015570174,1.122810834100859,0.9861349099479804,1.0567722578646066,1.13474711756856,0.12429871559984007,4.692673868527175,5.2759672031140346,0.5832933345868598,4.2021317123962625,5.183702796839708
NQ,RTH,B0,1h,12,0.418273904498351,0.3708989296240308,0.39467845703286486,0.6006485421290164,1.4692998836242692,1.3780583977392191,1.424896531154938,1.7587520585567455,0.5218680711498789,7.893569140657297,12.012970842580328,4.119401701923032,7.417978592480616,8.365478089967022
NQ,RTH,B0,30min,6,0.3913007835802288,0.33733237143050293,0.36614991962559873,0.8198530014741818,1.418375772266111,1.3079703138026089,1.3684356791732393,2.0227156240960893,1.2391183434165725,7.322998392511974,16.397060029483637,9.074061636971663,6.746647428610059,7.826015671604576
NQ,RTH,B1,1day,78,0.25820110712747596,0.21151766187390703,0.2346336934263587,0.26379836015570174,1.12024619795379,0.9903368974003532,1.0567722578646066,1.13474711756856,0.12429871559984007,4.692673868527175,5.2759672031140346,0.5832933345868598,4.23035323747814,5.16402214254952
NQ,RTH,B1,1h,12,0.4183619759866163,0.3715959718352046,0.39467845703286486,0.6006485421290164,1.4694619829807138,1.3794630242511596,1.424896531154938,1.7587520585567455,0.5218680711498789,7.893569140657297,12.012970842580328,4.119401701923032,7.431919436704091,8.367239519732326
NQ,RTH,B1,30min,6,0.39173419352804206,0.33726751259796445,0.36614991962559873,0.8198530014741818,1.419214872553802,1.307830017802652,1.3684356791732393,2.0227156240960893,1.2391183434165725,7.322998392511974,16.397060029483637,9.074061636971663,6.745350251959289,7.834683870560842
