cell,RK,RV,TSRV,RK_minus_RV,TSRV_minus_RV
ES/GLOBEX/B0/1day,-0.6014107452234206,-0.44267230886995196,-0.4745622028435823,-0.15873843635346868,-0.031889893973630346
ES/GLOBEX/B1/1day,-0.6014107452234206,-0.44267230886995196,-0.4745622028435823,-0.15873843635346868,-0.031889893973630346
ES/RTH/B0/1day,-0.7134874950207222,-0.6274444402914557,-0.454950455977496,-0.08604305472926643,0.17249398431395974
ES/RTH/B0/1h,-0.49799361032390793,-0.4658063390118118,-0.47652002399628496,-0.032187271312096144,-0.01071368498447317
ES/RTH/B0/30min,-0.08846826085811572,-0.4111082142208998,-0.32718874059562714,0.3226399533627841,0.08391947362527269
ES/RTH/B1/1day,-0.7134874950207222,-0.6274444402914557,-0.454950455977496,-0.08604305472926643,0.17249398431395974
ES/RTH/B1/1h,-0.49799361032390793,-0.4658063390118118,-0.47652002399628496,-0.032187271312096144,-0.01071368498447317
ES/RTH/B1/30min,-0.08846826085811572,-0.4111082142208998,-0.32718874059562714,0.3226399533627841,0.08391947362527269
NQ/GLOBEX/B0/1day,-0.5267025788269469,-0.6885818703023351,-0.5811628557191942,0.16187929147538815,0.10741901458314085
NQ/GLOBEX/B1/1day,-0.5267025788269469,-0.6885818703023351,-0.5811628557191942,0.16187929147538815,0.10741901458314085
NQ/RTH/B0/1day,-0.728950125755739,-0.9743997456786048,-0.5856995260449798,0.24544961992286574,0.388700219633625
NQ/RTH/B0/1h,-0.49050978031621784,-0.8032152189778061,-0.5695622959841593,0.3127054386615883,0.23365292299364682
NQ/RTH/B0/30min,-0.4067252183424619,-0.7009504764461806,-0.4386371459867476,0.2942252581037187,0.262313330459433
NQ/RTH/B1/1day,-0.728950125755739,-0.9743997456786048,-0.5856995260449798,0.24544961992286574,0.388700219633625
NQ/RTH/B1/1h,-0.49050978031621784,-0.8032152189778061,-0.5695622959841593,0.3127054386615883,0.23365292299364682
NQ/RTH/B1/30min,-0.4067252183424619,-0.7009504764461806,-0.4386371459867476,0.2942252581037187,0.262313330459433
SPY/ARCX/TICK,-0.6057452274371904,-0.5332573378046044,-0.5639538872096846,-0.07248788963258601,-0.030696549405080265
SPY/XNAS/TICK,-0.6705908529950825,-0.5985384739875643,-0.5343435345397104,-0.07205237900751815,0.06419493944785393
