root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
ES,GLOBEX,B0,1day,insample,RS_up,1952,0,0.0,0,0.8159040052640353,0.665699345805895,0.8272250642225776,0.9930149647327526,True,0.8047378816205433,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,RS_down,1952,0,0.0,0,0.8344949506987096,0.6963818227416417,0.8272250642225776,0.9930149647327526,True,0.8418287269814513,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,JumpVar,1534,418,0.21413934426229508,0,0.5633401998242468,0.3173521807380223,0.8272250642225776,0.9930149647327526,True,0.38363462915170304,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,Parkinson,1952,0,0.0,0,0.7796684780908717,0.6078829357285361,0.8272250642225776,0.9930149647327526,True,0.7348458865905155,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,GarmanKlass,1952,0,0.0,0,0.789388123758867,0.6231336099315443,0.8272250642225776,0.9930149647327526,True,0.7532818296761384,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,VolumeSurprise,1952,0,0.0,0,0.18397142532025257,0.033845485334365266,0.8272250642225776,0.9930149647327526,True,0.04091448240410015,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,CrossLeadLag,1947,5,0.0025614754098360654,0,0.6935650461527905,0.4810324732449224,0.8272250642225776,0.9930149647327526,True,0.581501327812153,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,RealizedQuarticity,1952,0,0.0,0,0.7929267112039016,0.6287327693406355,0.8272250642225776,0.9930149647327526,True,0.7600504343174318,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B0,1day,insample,SignatureSlope,1952,0,0.0,0,0.06210075546382388,0.0038565038291776517,0.8272250642225776,0.9930149647327526,True,0.004661976523646532,False,False,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,RS_up,1952,0,0.0,0,0.8178731633033722,0.6689165112518646,0.8272250642225776,0.9930149647327526,True,0.8086269869984045,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,RS_down,1952,0,0.0,0,0.8344302506041761,0.6962738431233481,0.8272250642225776,0.9930149647327526,True,0.8416981946475511,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,JumpVar,1525,427,0.21875,0,0.5716302953810564,0.32676119459743375,0.8272250642225776,0.9930149647327526,True,0.3950088177085428,True,True,0.016544501284451552,0.02,False
