root,geom,btag,horizon,M,c,c_lo,c_hi,sd_log_iv,sd_log_iv_lo,sd_log_iv_hi,vol_ratio_1sd,var_log_rv_naive,sd_log_iv_naive,overstatement_var,overstatement_sd,is_five_min
ES,GLOBEX,B0,1day,5,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,2.023840431381669,1.4226174578507285,0.9574635846921364,0.39909384413345794,False
ES,GLOBEX,B0,1day,6,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,2.051730717372776,1.4323863715397378,0.9844391398533554,0.4087012244806758,False
ES,GLOBEX,B0,1day,10,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.7088961161574752,1.3072475343856935,0.6528486463314656,0.2856316137725712,False
ES,GLOBEX,B0,1day,12,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.6982411184229056,1.303165806190028,0.6425431055699551,0.2816173787718217,False
ES,GLOBEX,B0,1day,23,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.5157340588452282,1.2311515174198617,0.46602181588080316,0.2107938783627885,False
ES,GLOBEX,B0,1day,46,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.4222382308026833,1.192576299782401,0.3755924144931768,0.17285651914169664,False
ES,GLOBEX,B0,1day,138,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.3109660533866352,1.144974258831453,0.26796968302485746,0.12604159915380464,False
ES,GLOBEX,B0,1day,276,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.249852873673113,1.11796818992005,0.20886086101545764,0.09948208762828759,True
ES,GLOBEX,B0,1day,345,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.2194569006340703,1.1042902248204818,0.17946179900314774,0.08603029377782456,False
ES,GLOBEX,B0,1day,1379,1.033909620188399,0.9310585411291388,1.116288574536073,1.0168134638115287,0.9649137480257698,1.0565455856403325,1.6626400521687954,1.0409288255129356,1.020259195260173,0.0067889931455107355,0.0033887547433999465,False
