root,geom,corrected,naive,rel_te_diff_pct
ES,GLOBEX,0.34535400783161685,0.3470973456629155,0.5022619311504904
ES,RTH,0.34111861533749804,0.34063855121125985,0.14093065054767068
NQ,GLOBEX,0.33094882046140406,0.33118042613406473,0.06993338204321199
NQ,RTH,0.3199549210487929,0.31981354283428326,0.0442064501886698
