root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2
ES,RTH,B0,30min,insample,JumpVar,11765,11046,0.4842400596203586,0,0.5473858266886854,0.2996312432596555
ES,RTH,B0,30min,insample,Parkinson,22811,0,0.0,0,0.7429104412797616,0.5519159237624901
ES,RTH,B0,30min,insample,GarmanKlass,22811,0,0.0,0,0.7507360356669387,0.563604595248911
ES,RTH,B0,30min,insample,VolumeSurprise,22811,0,0.0,0,0.1860585241183467,0.0346177743970974
ES,RTH,B0,30min,insample,CrossLeadLag,22811,0,0.0,0,0.6789148206995099,0.4609253337654477
ES,RTH,B0,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.7180951670803382,0.5156606689841388
ES,RTH,B0,30min,insample,SignatureSlope,22811,0,0.0,0,0.0029391365985172208,8.638523944743378e-06
ES,RTH,B1,1day,insample,RS_up,1900,0,0.0,0,0.8040655944762565,0.6465214802204557
ES,RTH,B1,1day,insample,RS_down,1900,0,0.0,0,0.791863972575631,0.6270485510632597
ES,RTH,B1,1day,insample,JumpVar,1199,701,0.36894736842105263,0,0.5371861081168225,0.28856891475369856
ES,RTH,B1,1day,insample,Parkinson,1900,0,0.0,0,0.7796910335539923,0.6079181078044927
ES,RTH,B1,1day,insample,GarmanKlass,1900,0,0.0,0,0.7786197568667373,0.6062487257832172
ES,RTH,B1,1day,insample,VolumeSurprise,1900,0,0.0,0,0.2851398063235403,0.08130470915022607
ES,RTH,B1,1day,insample,CrossLeadLag,1900,0,0.0,0,0.7807875601570515,0.6096292140960013
ES,RTH,B1,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.7925782011525482,0.6281802049422092
ES,RTH,B1,1day,insample,SignatureSlope,1900,0,0.0,0,0.13530987038579903,0.018308761023821733
ES,RTH,B1,1h,insample,RS_up,11402,3,0.000263042525208242,0,0.6584709558026167,0.4335839996356116
ES,RTH,B1,1h,insample,RS_down,11401,4,0.0003507233669443227,0,0.6988090098972599,0.4883340323135887
ES,RTH,B1,1h,insample,JumpVar,6064,5341,0.4683033757124068,0,0.5746551198623349,0.33022850678399446
ES,RTH,B1,1h,insample,Parkinson,11405,0,0.0,0,0.7462251939020168,0.5568520400141026
ES,RTH,B1,1h,insample,GarmanKlass,11405,0,0.0,0,0.7532973817442167,0.5674569453426921
ES,RTH,B1,1h,insample,VolumeSurprise,11405,0,0.0,0,0.2553378834940459,0.06519743474721897
ES,RTH,B1,1h,insample,CrossLeadLag,11405,0,0.0,0,0.6943117568646117,0.4820688157204236
ES,RTH,B1,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.747714501548288,0.5590769758256048
ES,RTH,B1,1h,insample,SignatureSlope,11405,0,0.0,0,0.025461730376496787,0.0006482997137654192
ES,RTH,B1,30min,insample,RS_up,22470,341,0.014948928148700188,0,0.5543563493423991,0.307310962056232
ES,RTH,B1,30min,insample,RS_down,22275,536,0.02349743544781027,0,0.6095338165002054,0.37153147345730614
ES,RTH,B1,30min,insample,JumpVar,11731,11080,0.48573056858533165,0,0.5465785145090225,0.2987480725228897
ES,RTH,B1,30min,insample,Parkinson,22811,0,0.0,0,0.7452657106826341,0.5554209795192917
ES,RTH,B1,30min,insample,GarmanKlass,22811,0,0.0,0,0.7530766080430022,0.5671243775815537
ES,RTH,B1,30min,insample,VolumeSurprise,22811,0,0.0,0,0.18675533199600153,0.034877554028936754
ES,RTH,B1,30min,insample,CrossLeadLag,22811,0,0.0,0,0.681405824730633,0.4643138979768342
ES,RTH,B1,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.7204377783423415,0.5190305924628488
ES,RTH,B1,30min,insample,SignatureSlope,22811,0,0.0,0,0.005729599575876555,3.28283112998848e-05
NQ,RTH,B0,1day,insample,RS_up,1900,0,0.0,0,0.7812863447089541,0.6104083524286786
