root,geom,horizon,M,sub_bar_minutes,first_ratio,last_ratio,first_share,last_share,uniform_share,n_windows,first_over_uniform,last_over_uniform,is_5min
ES,GLOBEX,1day,5,275.8,0.5998930173166439,1.6727194702947483,0.12118410787363947,0.2793931828216337,0.2,1953,0.6059205393681973,1.3969659141081685,False
ES,GLOBEX,1day,6,229.83333333333334,0.5140851172312784,1.7987179565954163,0.10308085429247157,0.24093485093608732,0.16666666666666666,1953,0.6184851257548295,1.4456091056165241,False
ES,GLOBEX,1day,10,137.9,0.42844081922038774,2.0067210434146956,0.05639420376780435,0.15232742261994098,0.1,1953,0.5639420376780435,1.5232742261994097,False
ES,GLOBEX,1day,12,114.91666666666667,0.5061204400822557,1.8371505973580313,0.043612244339464035,0.12630579297148511,0.08333333333333333,1953,0.5233469320735684,1.5156695156578215,False
ES,GLOBEX,1day,23,59.95652173913044,0.5254304756579706,0.5706051129658541,0.02403773500209216,0.02991790932044329,0.043478260869565216,1953,0.5528679050481197,0.6881119143701957,False
ES,GLOBEX,1day,46,29.97826086956522,0.7321214802960617,0.4497807192667525,0.01590980722468288,0.010435010789257751,0.021739130434782608,1953,0.7318511323354125,0.48001049630585657,False
ES,GLOBEX,1day,138,9.992753623188406,1.2202532245630342,0.3254969784898335,0.008078302652891362,0.0029060111126809336,0.007246376811594203,1953,1.1148057660990078,0.40102953354996884,False
ES,GLOBEX,1day,276,4.996376811594203,1.4464002691662268,0.319549213685544,0.004517974809363797,0.0015454799857741474,0.0036231884057971015,1953,1.246961047384408,0.4265524760736647,True
ES,GLOBEX,1day,345,3.9971014492753625,1.5927490715493664,0.37473369665702,0.00387179399152585,0.0013689840985056248,0.002898550724637681,1953,1.3357689270764181,0.4722995139844406,False
ES,GLOBEX,1day,1379,1.0,2.8522981663720706,0.6707385298999411,0.0016825537497929903,0.0005715794718125275,0.0007251631617113851,1953,2.320241620964534,0.7882080916294755,False
NQ,GLOBEX,1day,5,275.8,0.5069842178504089,1.6077190932263785,0.11013772663607181,0.27745897061941016,0.2,1948,0.550688633180359,1.3872948530970508,False
NQ,GLOBEX,1day,6,229.83333333333334,0.4498336173227301,1.6995272665004597,0.09373837109268315,0.23659686780273267,0.16666666666666666,1948,0.562430226556099,1.4195812068163962,False
NQ,GLOBEX,1day,10,137.9,0.39427924503425693,1.831301276355644,0.05010440184016804,0.14439951701640272,0.1,1948,0.5010440184016803,1.443995170164027,False
NQ,GLOBEX,1day,12,114.91666666666667,0.4234656641958919,1.674637249837197,0.03866646157373521,0.118262653654937,0.08333333333333333,1948,0.46399753888482254,1.419151843859244,False
NQ,GLOBEX,1day,23,59.95652173913044,0.4702148010269981,0.7787302843368245,0.02182613911702904,0.035878299757222065,0.043478260869565216,1948,0.5020011996916679,0.8252008944161076,False
NQ,GLOBEX,1day,46,29.97826086956522,0.6880084335207864,0.4819220445404321,0.014706768249939318,0.011685982072498966,0.021739130434782608,1948,0.6765113394972087,0.5375551753349525,False
NQ,GLOBEX,1day,138,9.992753623188406,1.0616329781485419,0.28160688498337155,0.007248328622909736,0.0024959045479620253,0.007246376811594203,1948,1.0002693499615436,0.3444348276187595,False
NQ,GLOBEX,1day,276,4.996376811594203,1.1493069763127375,0.2922098726750799,0.0040555707594004935,0.0013603032586793089,0.0036231884057971015,1948,1.1193375295945363,0.3754436993954892,True
NQ,GLOBEX,1day,345,3.9971014492753625,1.2568316778272073,0.32086609758316104,0.003436841107380159,0.001135799513516865,0.002898550724637681,1948,1.1857101820461549,0.3918508321633184,False
NQ,GLOBEX,1day,1379,1.0,2.748829101867944,0.5838467237091627,0.0016528845578898687,0.0005036943327495366,0.0007251631617113851,1948,2.2793278053301287,0.694594484861611,False
ES,RTH,1day,5,77.8,1.324938122267703,1.4295458054294472,0.29604800920746493,0.21583341362398886,0.2,1901,1.4802400460373246,1.0791670681199443,False
ES,RTH,1day,6,64.83333333333333,1.4824736977326507,1.3969987453322554,0.2638634131648498,0.18498878512321473,0.16666666666666666,1901,1.5831804789890989,1.1099327107392885,False
ES,RTH,1day,10,38.9,1.6420746738832912,1.549215649854688,0.17853910319855154,0.1270938060241745,0.1,1901,1.7853910319855153,1.2709380602417448,False
ES,RTH,1day,13,29.923076923076923,1.6219393279611976,1.8352135316743285,0.14218018191345494,0.10904004868051596,0.07692307692307693,1901,1.8483423648749142,1.4175206328467074,False
ES,RTH,1day,26,14.961538461538462,1.8908388275538697,2.2726834949197956,0.08176529638837546,0.07022545470584955,0.038461538461538464,1901,2.1258977060977617,1.8258618223520882,False
