root,geom,btag,horizon,M,minutes_per_sub_bar,s2_intercept,s2_intercept_lo,s2_intercept_hi,s2_naive,adj_exact_intercept_vp,adj_exact_intercept_vp_lo,adj_exact_intercept_vp_hi,adj_exact_naive_vp,bias_vp,overstatement_prop,overstatement_lo,overstatement_hi,adj_BL_naive_vp,below_5pct,is_5min
ES,GLOBEX,B0,1day,5,276.0,1.033909620188399,0.9310585411291388,1.116288574536073,2.023840431381669,2.4247164543727417,2.1973031203747917,2.6047670248900046,4.470332610668373,2.045616156295631,0.8436516989879621,0.7162120711571693,1.0344633242526289,16.41832753896335,False,False
ES,GLOBEX,B0,1day,6,230.0,1.033909620188399,0.9310585411291388,1.116288574536073,2.051730717372776,2.4247164543727417,2.1973031203747917,2.6047670248900046,4.524379203099267,2.099662748726525,0.8659415598636229,0.7369611792019384,1.0590601092522673,16.953391970835106,False,False
ES,GLOBEX,B0,1day,10,138.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.7088961161574752,2.4247164543727417,2.1973031203747917,2.6047670248900046,3.8467662950466908,1.422049840673949,0.5864808803146526,0.4768177953301347,0.7506762082013299,11.3071537845702,False,False
ES,GLOBEX,B0,1day,12,115.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.6982411184229056,2.4247164543727417,2.1973031203747917,2.6047670248900046,3.825237878085457,1.400521423712715,0.5776021444433266,0.46855278861148464,0.7408785536303202,11.160819572054672,False,False
ES,GLOBEX,B0,1day,23,60.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.5157340588452282,2.4247164543727417,2.1973031203747917,2.6047670248900046,3.4519955717683026,1.0272791173955609,0.4236697926237776,0.3252607771760605,0.5710147315403162,8.881904739187291,False,False
ES,GLOBEX,B0,1day,46,30.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.4222382308026833,2.4247164543727417,2.1973031203747917,2.6047670248900046,3.25746487584583,0.8327484214730885,0.34344156817647975,0.2505782070791487,0.4824831611262663,7.865976603024452,False,False
ES,GLOBEX,B0,1day,138,10.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.3109660533866352,2.4247164543727417,2.1973031203747917,2.6047670248900046,3.0229655357694107,0.598249081396669,0.2467295012238584,0.1605512150926689,0.3757617270637592,6.774389509609073,False,False
ES,GLOBEX,B0,1day,276,5.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.249852873673113,2.4247164543727417,2.1973031203747917,2.6047670248900046,2.8927788414180045,0.4680623870452627,0.19303798850424658,0.11057104676767104,0.3165133269935858,6.224573684743339,False,True
ES,GLOBEX,B0,1day,345,4.0,1.033909620188399,0.9310585411291388,1.116288574536073,1.2194569006340703,2.4247164543727417,2.1973031203747917,2.6047670248900046,2.827656374325489,0.40293991995274725,0.1661802225270852,0.085569783134404,0.2868758743869524,5.963371633894331,False,False
ES,GLOBEX,B0,1day,1379,1.0007251631617113,1.033909620188399,0.9310585411291388,1.116288574536073,1.0409288255129356,2.4247164543727417,2.1973031203747917,2.6047670248900046,2.4401302568241023,0.015413802451360592,0.006356950489432744,-0.06320594759251241,0.11051144204805574,4.579615210201572,True,False
ES,GLOBEX,B1,1day,5,276.0,1.033909620188399,0.9338853599795304,1.119937727143011,2.023840431381669,2.4247164543727417,2.2035926339930123,2.6126999479444546,4.470332610668373,2.045616156295631,0.8436516989879621,0.711001148136208,1.0286565410086355,16.41832753896335,False,False
ES,GLOBEX,B1,1day,6,230.0,1.033909620188399,0.9338853599795304,1.119937727143011,2.051730717372776,2.4247164543727417,2.2035926339930123,2.6126999479444546,4.524379203099267,2.099662748726525,0.8659415598636229,0.7316872558055618,1.0531831216466183,16.953391970835106,False,False
ES,GLOBEX,B1,1day,10,138.0,1.033909620188399,0.9338853599795304,1.119937727143011,1.7088961161574752,2.4247164543727417,2.2035926339930123,2.6126999479444546,3.8467662950466908,1.422049840673949,0.5864808803146526,0.4723337435181332,0.7456794126581243,11.3071537845702,False,False
ES,GLOBEX,B1,1day,12,115.0,1.033909620188399,0.9338853599795304,1.119937727143011,1.6982411184229056,2.4247164543727417,2.2035926339930123,2.6126999479444546,3.825237878085457,1.400521423712715,0.5776021444433266,0.4640938317830825,0.7359097226395914,11.160819572054672,False,False
ES,GLOBEX,B1,1day,23,60.0,1.033909620188399,0.9338853599795304,1.119937727143011,1.5157340588452282,2.4247164543727417,2.2035926339930123,2.6126999479444546,3.4519955717683026,1.0272791173955609,0.4236697926237776,0.3212368969058865,0.5665307273754705,8.881904739187291,False,False
ES,GLOBEX,B1,1day,46,30.0,1.033909620188399,0.9338853599795304,1.119937727143011,1.4222382308026833,2.4247164543727417,2.2035926339930123,2.6126999479444546,3.25746487584583,0.8327484214730885,0.34344156817647975,0.24678108498782847,0.4782518445540238,7.865976603024452,False,False
