tau,rss,delta
2018,2.194884674074346,-0.18302656881550028
2019,1.9350085766004228,-0.21005726142846928
2020,2.008777412017638,-0.19171788531022738
2021,2.0509129923255895,-0.19078021918030139
2022,1.796784476233603,-0.2582125895054377
