root,geom,btag,horizon,n_grid,n_below_5pct,finest_M_below_5pct,coarsest_M_below_5pct,minutes_per_sub_bar_required,best_M,best_overstatement,worst_M,worst_overstatement,at_5min_overstatement
ES,GLOBEX,B0,1day,10,1,1379.0,1379.0,1.0007251631617113,1379,0.006356950489432744,6,0.8659415598636229,0.19303798850424658
ES,GLOBEX,B1,1day,10,1,1379.0,1379.0,1.0007251631617113,1379,0.006356950489432744,6,0.8659415598636229,0.19303798850424658
ES,RTH,B0,1day,8,1,389.0,389.0,1.0025706940874035,389,0.007547976606718354,5,0.7125219659186917,0.17591170822289248
ES,RTH,B0,1h,9,0,,,,60,0.28524519903199086,4,1.0219267708936894,0.6261932609074736
ES,RTH,B0,30min,5,0,,,,30,0.7149992101299816,5,1.4303237938273048,1.3427678095394455
ES,RTH,B1,1day,8,1,389.0,389.0,1.0025706940874035,389,0.007547976606718354,5,0.7125219659186917,0.17591170822289248
ES,RTH,B1,1h,9,0,,,,60,0.28524519903199086,4,1.0219267708936894,0.6261932609074736
ES,RTH,B1,30min,5,0,,,,30,0.7149992101299816,5,1.4303237938273048,1.3427678095394455
NQ,GLOBEX,B0,1day,10,2,1379.0,345.0,1.0007251631617113,1379,0.009062172853209094,6,0.6739882506506014,0.059396143417984604
NQ,GLOBEX,B1,1day,10,2,1379.0,345.0,1.0007251631617113,1379,0.009062172853209094,6,0.6739882506506014,0.059396143417984604
NQ,RTH,B0,1day,8,2,389.0,195.0,1.0025706940874035,389,0.009020702123188173,5,0.6422802035813953,0.0686844307856771
NQ,RTH,B0,1h,9,1,60.0,60.0,1.0,60,0.04808056170278596,4,0.49859805946376756,0.20964973826497713
NQ,RTH,B0,30min,5,0,,,,30,0.14075366430932568,5,0.48584540746099236,0.4209470972622591
NQ,RTH,B1,1day,8,2,389.0,195.0,1.0025706940874035,389,0.009020702123188173,5,0.6422802035813953,0.0686844307856771
NQ,RTH,B1,1h,9,1,60.0,60.0,1.0,60,0.04808056170278596,4,0.49859805946376756,0.20964973826497713
NQ,RTH,B1,30min,5,0,,,,30,0.14075366430932568,5,0.48584540746099236,0.4209470972622591
