arm,root,geom,position,H,b_mean,b_sd,b_min,b_max,rmse_mean,cond_mean,corr_cb_mean,corr_Ab_mean,kappa,sigma_w,n_seeds,in_observed_range
A7,ES,GLOBEX,end,,-1.0803535071511778,0.1062179615718178,-1.1991610384053402,-0.9512261736224228,0.008610057984407254,84.1674305757952,-0.6564417771288624,-0.9759736665582531,5.20248287031427,0.0,5,False
A7,ES,GLOBEX,mid,,-1.1388948440979614,0.157467417484641,-1.3354651515947866,-0.91619529149127,0.008331920277882373,98.89158240895499,-0.6425935099242973,-0.9776436541506961,5.20248287031427,0.0,5,False
A7,ES,GLOBEX,quarter,,-1.1526701536283261,0.0726877586840521,-1.2487531692355807,-1.0647333598293645,0.009975626612538101,97.91406327666313,-0.6348553312466192,-0.9786256935081431,5.20248287031427,0.0,5,False
A7,ES,GLOBEX,start,,-1.074339829538883,0.032292110794110256,-1.110270478391784,-1.0377370760469637,0.009167007572982727,81.17035360596442,-0.65594209496116,-0.9760658651790033,5.20248287031427,0.0,5,False
A7,ES,RTH,end,,-1.1797660303493054,0.08482976598879728,-1.2765180984069808,-1.0886764069825547,0.010384938034633655,102.74023323797762,-0.6894386395417573,-0.9796493136705461,7.245331012178212,0.0,5,False
A7,ES,RTH,mid,,-1.18035955265966,0.16847243148442947,-1.4199199478510756,-0.9734740697939558,0.007723229486713286,107.93191673307915,-0.6928719979674531,-0.9792030992607051,7.245331012178212,0.0,5,False
A7,ES,RTH,quarter,,-1.1307945345483348,0.10657992830426058,-1.28919439546477,-1.034614174291836,0.007376490923549683,93.56320293685658,-0.7027180707071967,-0.9780060794656047,7.245331012178212,0.0,5,False
A7,ES,RTH,start,,-1.0862194024495981,0.09559655483326322,-1.2507213161646906,-1.0176981176144422,0.009405711574202813,84.73023905589278,-0.7146903576866743,-0.976521309916594,7.245331012178212,0.0,5,False
A7,NQ,GLOBEX,end,,-1.1033636873706913,0.10443786535307624,-1.228484558155998,-0.9819858613323438,0.008512506431351822,88.57750887620227,-0.6495930901992499,-0.9768186115944406,3.139910523314029,0.0,5,False
A7,NQ,GLOBEX,mid,,-1.1632154647890105,0.1344241653375648,-1.322233297134265,-0.9725154100442346,0.006581731191025317,102.58261542617461,-0.6347489479695856,-0.9786323985482005,3.139910523314029,0.0,5,False
A7,NQ,GLOBEX,quarter,,-1.0657380337967157,0.09999046167837639,-1.2388881230795252,-0.9919123663227166,0.008304912980983214,81.55258116726547,-0.660509664569796,-0.9754968676525555,3.139910523314029,0.0,5,False
A7,NQ,GLOBEX,start,,-1.1203421598183192,0.13561812350043942,-1.2963698224574425,-0.9657456681065297,0.009928803736083625,93.57752596377058,-0.6463403968085328,-0.9772110113771891,3.139910523314029,0.0,5,False
A7,NQ,RTH,end,,-1.113988127286495,0.051063255682329306,-1.1681732568284542,-1.0298816776206867,0.009643976346480137,88.2921068460075,-0.705684465941438,-0.9776506391070383,9.80202523758635,0.0,5,False
A7,NQ,RTH,mid,,-1.1335522546348462,0.0475715402041338,-1.1848252378859996,-1.0888584620313018,0.010769808690048021,92.30270487517703,-0.7003352668534031,-0.9783144397629542,9.80202523758635,0.0,5,False
A7,NQ,RTH,quarter,,-1.0076842695254018,0.1027935795732939,-1.1373102476409356,-0.8613575792629786,0.009348821375126808,71.19064715141657,-0.7390444786840343,-0.9732921404362813,9.80202523758635,0.0,5,False
A7,NQ,RTH,start,,-1.1751996113321677,0.09467536686106316,-1.317882103252777,-1.0734612685347127,0.010775528729005742,102.76391794164878,-0.6908412834321342,-0.97947918614535,9.80202523758635,0.0,5,False
A8,ES,GLOBEX,start,0.05,-0.8811722043139604,0.0813736994230809,-0.9932626609316018,-0.8031338347124157,0.009346817642393517,54.62236570954218,-0.7265675889837664,-0.9667503825845684,5.20248287031427,2.3032048768699176,5,True
A8,ES,GLOBEX,start,0.1,-0.8959851532844143,0.048188324707124225,-0.9721597423119429,-0.8491256044946666,0.012594009401598319,56.13764708910092,-0.7194970777967834,-0.9678982166371142,5.20248287031427,2.2799829635322095,5,True
A8,ES,GLOBEX,start,0.2,-0.8567833778342816,0.053414921755737144,-0.9113237844860009,-0.7780691418976053,0.012231887968095007,53.54058393215306,-0.7359943868205305,-0.9654810831787681,5.20248287031427,2.6065675798952577,5,True
A8,ES,GLOBEX,start,0.3,-0.8243808593891411,0.03271202901261465,-0.856121575918186,-0.7850360061679921,0.009075753964899447,50.67721064475369,-0.7498213511370502,-0.9634688369378196,5.20248287031427,2.9202926112115386,5,True
A8,ES,GLOBEX,start,0.45,-0.8590827213273039,0.04423103619084934,-0.915544472063844,-0.7972132039804034,0.013179421485979965,57.31206589932763,-0.7348249802382794,-0.9657034917189868,5.20248287031427,3.602184229880572,5,True
A8,ES,GLOBEX,start,0.5,-0.8837562746471491,0.07491197066524256,-1.0047526863777507,-0.809410678567259,0.0124052280901535,62.332562240257026,-0.7252871342623071,-0.9669904750395333,5.20248287031427,3.980572263628244,5,True
A8,ES,RTH,start,0.05,-1.104255666454836,0.15817415522254652,-1.32342756749037,-0.8941854168225959,0.01200497454777601,91.43327894850043,-0.712493290483585,-0.9766809707095154,7.245331012178212,1.650273784607649,5,False
A8,ES,RTH,start,0.1,-1.0655642309904192,0.10937490561363776,-1.226950965366184,-0.9711251099811112,0.009033121001535619,81.91715338225048,-0.721305137582554,-0.9756579995152471,7.245331012178212,1.495183198481798,5,False
A8,ES,RTH,start,0.2,-0.947702008920092,0.048804803634916794,-1.0079904078078359,-0.8937685351644771,0.009314182057417155,62.852198891068305,-0.7578749045301675,-0.9708916127719842,7.245331012178212,1.6030905067622665,5,True
A8,ES,RTH,start,0.3,-0.9579623226831775,0.10595129683326462,-1.0747724803698366,-0.8099087691419249,0.011122429747402506,66.03227773557171,-0.7558212950164627,-0.9709254339284727,7.245331012178212,1.696414750963449,5,True
A8,ES,RTH,start,0.45,-0.9276023396633948,0.08695189464004714,-1.0774062946182432,-0.8598762217853371,0.008927102637540664,62.143315100994414,-0.766026551139862,-0.9696467881861969,7.245331012178212,1.881388389617205,5,True
A8,ES,RTH,start,0.5,-1.0672006096787774,0.11805766782257945,-1.189672584298006,-0.9084651461255416,0.012614576330831396,84.03254780615741,-0.7212123581409645,-0.9756093622391224,7.245331012178212,1.9641432735025883,5,False
A8,NQ,GLOBEX,start,0.05,-0.9343404203714222,0.0706823857921075,-1.0219214610272498,-0.8492859727858898,0.00858051346343039,60.88775833683485,-0.7049268630857063,-0.9698124400423405,3.139910523314029,2.5903979854285715,5,True
A8,NQ,GLOBEX,start,0.1,-0.8194132238634442,0.026608335075208156,-0.8523750089996921,-0.7832891689810584,0.014439298325646919,48.16866723158245,-0.7519759761605551,-0.9631517750087205,3.139910523314029,2.5517459287941455,5,True
A8,NQ,GLOBEX,start,0.2,-0.791020265391616,0.035879305822086406,-0.8285715551895438,-0.732993780087177,0.012038153737570938,47.84249539696113,-0.7649899836768898,-0.9609572439835855,3.139910523314029,2.88187941017747,5,True
A8,NQ,GLOBEX,start,0.3,-0.8628819792432729,0.13063940107471742,-1.0243158602843452,-0.6849767844030664,0.0127320517834315,58.34411340957922,-0.7362713853349876,-0.9646691513358142,3.139910523314029,3.3582282758057116,5,True
A8,NQ,GLOBEX,start,0.45,-0.7932253619147105,0.026059343147491074,-0.8197899157795656,-0.7590755685235008,0.01604874139839912,52.543364458537425,-0.7638828187572159,-0.9612065215322787,3.139910523314029,4.465884292930365,5,True
A8,NQ,GLOBEX,start,0.5,-0.8171850483516007,0.045640625068346194,-0.8530600724326887,-0.7435890001471807,0.018952814493110638,56.965794279848964,-0.7532133947589974,-0.9628449050494196,3.139910523314029,4.804715622335673,5,True
A8,NQ,RTH,start,0.05,-0.9997301385899924,0.06469149788336144,-1.0560961604531822,-0.8902593104563495,0.012738188487939029,70.41376056053764,-0.7404396082366868,-0.9732005612106999,9.80202523758635,1.753066794008017,5,False
A8,NQ,RTH,start,0.1,-1.0509443339799656,0.09735610828690913,-1.1761656485819676,-0.931473557618701,0.01022340040046094,79.12184425790187,-0.7252466923436172,-0.9751486274196672,9.80202523758635,1.6399422071874143,5,False
A8,NQ,RTH,start,0.2,-1.0262620093321955,0.044965811153370616,-1.1033655484919858,-0.9920763622546608,0.009369213266192979,74.92218425623267,-0.7314790664854574,-0.9744185555056953,9.80202523758635,1.6402818970382214,5,False
A8,NQ,RTH,start,0.3,-0.9523789670197415,0.0804655754052113,-1.0511003919348962,-0.8481938655470003,0.010458708155728474,65.22722683288512,-0.7569597201368431,-0.9709147721236986,9.80202523758635,1.8008003694117072,5,True
A8,NQ,RTH,start,0.45,-0.9974085602355691,0.12143334661931031,-1.1293874731364095,-0.856595253575741,0.00899522721119361,74.62650992016327,-0.7431860165863726,-0.9726560400376929,9.80202523758635,2.17533488997817,5,False
A8,NQ,RTH,start,0.5,-0.9349753921579641,0.10257599357456838,-1.0541120026256943,-0.7927460810621388,0.010004903702337257,63.81385934743953,-0.763762969677755,-0.969781916549578,9.80202523758635,2.245863799780608,5,True
