cell,b_2021,b_2022,b_2023,reverts_2023,is_2022_min
ES/GLOBEX/B0/1day,-0.6831757521349725,-1.131404135502728,-0.7362944699274766,True,True
ES/RTH/B0/1day,-0.6517373114243409,-1.4793008201988131,-1.2076717629611526,True,True
ES/RTH/B0/1h,-0.5785686346356195,-1.1794090178334444,-0.670155247784134,True,True
ES/RTH/B0/30min,-0.625400949913049,-0.8996197068860083,-0.5644683926204483,True,True
NQ/GLOBEX/B0/1day,-0.782878487457888,-1.1001375165136398,-0.8234715505429612,True,True
NQ/RTH/B0/1day,-1.1366006896376455,-1.4110732896641764,-1.0916884202303403,True,False
NQ/RTH/B0/1h,-0.9496198231995576,-1.1049831871377451,-0.8734384001003813,True,True
NQ/RTH/B0/30min,-0.8776180409799512,-1.049394018320976,-0.8209360893283377,True,False
