arm,root,geom,position,H,sigma_w,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab
A7,ES,GLOBEX,start,,0.0,5.20248287031427,0,2467629128,-1.049529074120198,1.0339240868108175,2.7844090085154405,0.007399403079577703,76.98960972962995,-0.6633623173942992,-0.9751644761133196
A7,ES,GLOBEX,start,,0.0,5.20248287031427,1,958118639,-1.0377370760469637,1.049212321127198,2.510312352360876,0.006783027694453807,74.58967784914121,-0.6671289192207471,-0.9747032294821247
A7,ES,GLOBEX,start,,0.0,5.20248287031427,2,1597803335,-1.069759496880733,1.0690057641146495,2.436782932436758,0.011063373023605811,79.89802473625262,-0.6570907650783432,-0.9759290690671412
A7,ES,GLOBEX,start,,0.0,5.20248287031427,3,1624001766,-1.110270478391784,1.0328957434146926,2.8842490815006387,0.014904393423594307,87.8919021411855,-0.6452341129048621,-0.9773667446230418
A7,ES,GLOBEX,start,,0.0,5.20248287031427,4,399015865,-1.104403022254737,1.0740691270266889,2.684712407558422,0.005684840643682008,86.48255357361285,-0.6468943602075483,-0.9771658066093895
A7,ES,GLOBEX,quarter,,0.0,5.20248287031427,0,2381802024,-1.2487531692355807,0.9501100760310253,3.6056630361874995,0.010534242359856349,120.14965643975056,-0.611130665842381,-0.9815101106593902
A7,ES,GLOBEX,quarter,,0.0,5.20248287031427,1,3139381014,-1.1104945780771085,1.0150314023484888,2.969940531985244,0.006047172045063331,88.08862175162297,-0.6451706032619299,-0.9773744176216445
A7,ES,GLOBEX,quarter,,0.0,5.20248287031427,2,683532264,-1.1997799947879426,1.0630247277476501,3.481857798287316,0.012074963846205244,107.84604437678381,-0.6221351959018253,-0.9801649296636825
A7,ES,GLOBEX,quarter,,0.0,5.20248287031427,3,3798612746,-1.0647333598293645,1.0518054630932627,2.4866203893060024,0.013792590110118956,79.07083107152056,-0.6586266990842378,-0.9757421518232331
A7,ES,GLOBEX,quarter,,0.0,5.20248287031427,4,1792661497,-1.1395896662116354,1.0293129290659702,3.2845150089066393,0.007429164701446622,94.41516274363774,-0.6372134921427223,-0.978336857772765
A7,ES,GLOBEX,mid,,0.0,5.20248287031427,0,859627667,-1.2262148565346493,0.9891464556724698,3.247551267130617,0.014693542202567923,113.80709169337527,-0.6160642220382487,-0.9809054173144859
