distinct,2016,2017,2018,2019,2020,2021,2022,2023
ES/GLOBEX/B0/1day,-0.6328344548429586,-0.7040246392610003,-0.4863843966765523,-0.544303370300692,-0.5399308701617366,-0.6831757521349725,-1.131404135502728,-0.7362944699274766
ES/RTH/B0/1day,-0.4605800597127307,-0.6311589297185278,-0.5094605341026045,-0.955602069673436,-1.1730525781141343,-0.6517373114243409,-1.4793008201988131,-1.2076717629611526
ES/RTH/B0/1h,-0.4832086592357564,-0.5638411334843415,-0.6624663141919006,-0.6710487259449076,-0.5940920656470665,-0.5785686346356195,-1.1794090178334444,-0.670155247784134
ES/RTH/B0/30min,-0.5942360773642839,-0.5568444571523194,-0.3903759620342944,-0.6289521009427976,-0.5113889602156253,-0.625400949913049,-0.8996197068860083,-0.5644683926204483
NQ/GLOBEX/B0/1day,-0.7436293563259394,-0.7253513105064264,-0.913313371503419,-0.7921756239476009,-0.6464897837694021,-0.782878487457888,-1.1001375165136398,-0.8234715505429612
NQ/RTH/B0/1day,-0.8684905647193712,-0.8996221486835724,-0.7451000269756826,-1.0120173149335214,-1.461906309935615,-1.1366006896376455,-1.4110732896641764,-1.0916884202303403
NQ/RTH/B0/1h,-0.7547480897306522,-0.6823777483639757,-1.07808703133533,-0.9036406358369432,-0.9118838303811192,-0.9496198231995576,-1.1049831871377451,-0.8734384001003813
NQ/RTH/B0/30min,-0.8656721672178834,-0.6819563293817682,-0.7827197432829364,-1.0980803906272574,-0.8894859547781749,-0.8776180409799512,-1.049394018320976,-0.8209360893283377
