root,geom,M,target_first_ratio,kappa,achieved,bracketed,seed,amplitude_multiple_on_one_minute
ES,GLOBEX,276,1.4464002691662268,5.20248287031427,1.446400308175905,True,3080938715,5.20248287031427
NQ,GLOBEX,276,1.1493069763127375,3.139910523314029,1.1493071252441278,True,3761112615,3.139910523314029
ES,RTH,78,1.9212686227229219,7.245331012178212,1.9212686319098935,True,3579325300,7.245331012178212
NQ,RTH,78,2.7325334768064025,9.80202523758635,2.732533246962574,True,402720561,9.80202523758635
