cell,year_first,gap_first,year_last,gap_last,gap_closed,b_first,b_last,b_ref
ES/GLOBEX/B0/1day,2016,0.5048402147809113,2023,0.4013801996963934,0.10346001508451796,-0.6328344548429586,-0.7362944699274766,-1.13767466962387
ES/RTH/B0/1day,2016,0.6837931899486323,2023,-0.06329851329978964,0.7470917032484219,-0.4605800597127307,-1.2076717629611526,-1.144373249661363
ES/RTH/B0/1h,2016,0.7265041193970335,2023,0.5395575308486559,0.18694658854837765,-0.4832086592357564,-0.670155247784134,-1.20971277863279
ES/RTH/B0/30min,2016,0.6028645144044578,2023,0.6326321991482933,-0.02976768474383551,-0.5942360773642839,-0.5644683926204483,-1.1971005917687416
NQ/GLOBEX/B0/1day,2016,0.3940453132979306,2023,0.3142031190809088,0.07984219421702177,-0.7436293563259394,-0.8234715505429612,-1.13767466962387
NQ/RTH/B0/1day,2016,0.27588268494199175,2023,0.052684829431022706,0.22319785551096905,-0.8684905647193712,-1.0916884202303403,-1.144373249661363
NQ/RTH/B0/1h,2016,0.4549646889021377,2023,0.3362743785324086,0.1186903103697291,-0.7547480897306522,-0.8734384001003813,-1.20971277863279
NQ/RTH/B0/30min,2016,0.3314284245508582,2023,0.3761645024404039,-0.0447360778895457,-0.8656721672178834,-0.8209360893283377,-1.1971005917687416
