ticks,weighting,turnover_per_rebalance,annual_cost_bps
0.5,naive,0.018112611735492647,0.14716497035087775
0.5,corrected,0.018114125648161995,0.1471772708913162
1.0,naive,0.018112611735492647,0.2943299407017555
1.0,corrected,0.018114125648161995,0.2943545417826324
2.0,naive,0.018112611735492647,0.588659881403511
2.0,corrected,0.018114125648161995,0.5887090835652647
4.0,naive,0.018112611735492647,1.177319762807022
4.0,corrected,0.018114125648161995,1.1774181671305295
