root,geom,btag,M,variant,year,n,median,iqr,p95,p99,share_gt10x_med,ref_2overM,med_over_ref,acf1,acf5,acf10,acf_full
ES,GLOBEX,B0,23,RQ_RV,2016,245,0.11114307555395414,0.06089874354482004,0.2269975980794996,0.2985235939482254,0.0,0.08695652173913043,1.2781453688704727,-0.040834742603911275,-0.005114728739481597,-0.0604401039663577,"[-0.041, 0.095, 0.073, -0.002, -0.005, 0.018, 0.021, 0.087, 0.08, -0.06]"
ES,GLOBEX,B0,23,RQ_RV,2017,243,0.12174537950432238,0.06155418076572346,0.23341864277469676,0.2745662705261999,0.0,0.08695652173913043,1.4000718642997074,-0.034718633602613694,-0.04204348039595686,-0.029786901894539797,"[-0.035, 0.031, -0.129, 0.017, -0.042, 0.041, -0.047, 0.03, -0.03, -0.03]"
ES,GLOBEX,B0,23,RQ_RV,2018,243,0.11917152977550408,0.06984893115825805,0.26010659144261766,0.3452515499997848,0.0,0.08695652173913043,1.370472592418297,-2.455208388632607e-06,0.013322780723971046,0.01636294708855362,"[-0.0, 0.032, 0.007, -0.004, 0.013, -0.051, -0.019, 0.136, -0.067, 0.016]"
ES,GLOBEX,B0,23,RQ_RV,2019,243,0.11450416318266723,0.06630450805879594,0.2926678939462795,0.45874712432708553,0.0,0.08695652173913043,1.3167978766006732,-0.023747231256290982,0.07595877701657029,0.0034153947413053023,"[-0.024, -0.035, 0.046, 0.009, 0.076, -0.106, 0.001, 0.027, 0.085, 0.003]"
ES,GLOBEX,B0,23,RQ_RV,2020,244,0.10533135666425984,0.060604658534406275,0.23747220198505725,0.33790819619018697,0.0,0.08695652173913043,1.2113106016389883,-0.07253457774767957,0.005043381083896218,0.027137505101678172,"[-0.073, 0.077, 0.044, -0.001, 0.005, 0.021, -0.099, 0.054, 0.008, 0.027]"
ES,GLOBEX,B0,23,RQ_RV,2021,246,0.11619609042917757,0.06346074042905384,0.26305999779853284,0.3859015480767969,0.0,0.08695652173913043,1.3362550399355422,0.11081681507945873,0.09169055878876296,-0.05693389817442122,"[0.111, -0.011, -0.063, -0.141, 0.092, 0.154, 0.106, -0.062, -0.044, -0.057]"
ES,GLOBEX,B0,23,RQ_RV,2022,245,0.12019053411455313,0.08440440233180867,0.2854725022188772,0.3907976338681642,0.0,0.08695652173913043,1.382191142317361,-0.1713785645530959,0.03321375110024045,0.03481522241690592,"[-0.171, 0.057, 0.033, -0.054, 0.033, -0.042, 0.02, 0.031, -0.005, 0.035]"
ES,GLOBEX,B0,23,RQ_RV,2023,244,0.12591170504656968,0.07010726799723187,0.2813186142458197,0.44228186460091784,0.0,0.08695652173913043,1.4479846080355514,0.02642566771459586,-0.06078807195846572,-0.049218933883328084,"[0.026, -0.104, 0.117, -0.112, -0.061, 0.006, 0.002, -0.077, -0.055, -0.049]"
ES,GLOBEX,B0,23,RQ_RV,0,1953,0.11642451296283125,0.06571123099325961,0.2636889516364084,0.38778637927408316,0.0,0.08695652173913043,1.3388818990725595,-0.011271510323611058,0.03327961211192286,0.0035866941047342123,"[-0.011, 0.032, 0.038, -0.013, 0.033, 0.015, 0.008, 0.048, 0.017, 0.004]"
ES,GLOBEX,B0,23,TQ_BV,2016,245,0.09137019444431875,0.04214563293514109,0.16684147208691702,0.2119735161150445,0.0,0.08695652173913043,1.0507572361096658,0.00578387793209989,-0.024195015769959288,0.028000933234411808,"[0.006, -0.176, 0.078, 0.051, -0.024, -0.046, 0.054, -0.009, -0.116, 0.028]"
ES,GLOBEX,B0,23,TQ_BV,2017,243,0.09887268751143391,0.05157430406867608,0.17778290811127645,0.20143678720753486,0.0,0.08695652173913043,1.13703590638149,-0.05821363984180377,0.027060655269530175,-0.07691007380648761,"[-0.058, 0.099, 0.035, -0.044, 0.027, -0.061, -0.085, -0.063, -0.104, -0.077]"
