root,geom,btag,horizon,scheme,model,n,lam_hat,ic_pearson_log,ic_corrected,ic_spearman,r2_oos,r2_corrected,ic_ir,hit_rate,qlike_mean,m5_nonconv
ES,GLOBEX,B0,1day,S-A,M1_EWMA,1453,0.9980542805021174,0.706805514561046,0.7074941422668554,0.7054630055813567,0.45449482263504126,0.4553808660651068,1.239918536675955,0.5172176308539945,0.29205902427325614,0
ES,GLOBEX,B0,1day,S-A,M2_HAR,1453,0.9980542805021174,0.8382523624190857,0.8390690563884026,0.8342060145482041,0.6813217952074162,0.6826500407018401,4.114699182418259,0.39944903581267216,0.16273511767904392,0
ES,GLOBEX,B0,1day,S-A,M3_HARJ,1453,0.9980542805021174,0.8317445496353013,0.8325549031614625,0.8279869521238767,0.6707131112432023,0.6720206749734784,4.073018493878822,0.41391184573002754,0.16422509364733845,0
ES,GLOBEX,B0,1day,S-A,M4_HARQ,1453,0.9980542805021174,-0.06579120405194341,-0.0658553032206332,0.8221532509463084,-632.6939604799728,-633.9274053928879,1.9504260939998344,0.40289256198347106,1.7044657266356403e+294,0
ES,GLOBEX,B0,1day,S-A,M5_RGARCH,1453,0.9980542805021174,0.8323390414197648,0.8331499741484155,0.8264052845757219,0.6548360075176256,0.6561126186325057,3.767925753686671,0.40426997245179064,0.16539181443101078,0
ES,GLOBEX,B0,1day,S-A,M6_PARK,1453,0.9980542805021174,0.755029850252749,0.7557654620481946,0.743898708649033,0.23617720442612455,0.23663763488625555,3.238886291063376,0.5144628099173554,0.6647704086355933,0
ES,GLOBEX,B0,1day,S-A,M6_GK,1453,0.9980542805021174,0.7661320101369848,0.7668784385640682,0.7603757176006009,0.3028414316545549,0.3034318248724874,3.518848520826347,0.49449035812672176,0.5920260194196574,0
ES,GLOBEX,B0,1day,S-B_q0.80,M1_EWMA,291,0.9980542805021174,0.47469482200858004,0.4751573085052259,0.2859356510136402,-0.7526767221643824,-0.7541440749953134,1.8910403698426215,0.5310344827586206,0.5594526055852151,0
ES,GLOBEX,B0,1day,S-B_q0.80,M2_HAR,291,0.9980542805021174,0.6975809132978136,0.6982605536430633,0.4867045858514042,-0.01178363945547356,-0.011806611810276747,2.1301678207996715,0.4379310344827586,0.3149798642097884,0
ES,GLOBEX,B0,1day,S-B_q0.80,M3_HARJ,291,0.9980542805021174,0.7098862169771955,0.7105778461551119,0.49627512186570183,0.014986373971048517,0.015015590097473384,2.2180069847935933,0.44482758620689655,0.303040090292793,0
ES,GLOBEX,B0,1day,S-B_q0.80,M4_HARQ,291,0.9980542805021174,-0.13277338536546032,-0.13290274405023733,0.44199855392509596,-7756.299072807064,-7771.4200763759045,0.2121642671031081,0.4482758620689655,8.510614092101667e+294,0
ES,GLOBEX,B0,1day,S-B_q0.80,M5_RGARCH,291,0.9980542805021174,0.6780283857678442,0.6786889764425715,0.5031254108858577,0.19970578728258714,0.20009511625170917,2.267942931095262,0.46551724137931033,0.23732778554986353,0
ES,GLOBEX,B0,1day,S-B_q0.80,M6_PARK,291,0.9980542805021174,0.6154622887121762,0.6160619223810664,0.4927971404779181,-0.7665056902101641,-0.7680000027899664,2.6558442448057424,0.5379310344827586,0.6689413263089993,0
ES,GLOBEX,B0,1day,S-B_q0.80,M6_GK,291,0.9980542805021174,0.5989767164615488,0.5995602885384393,0.4882166458078686,-0.7396336346147641,-0.7410755597808338,2.7015061587800404,0.5103448275862069,0.6688321960333149,0
ES,GLOBEX,B0,1day,S-C_q0.80,M1_EWMA,291,0.9980542805021174,0.5163440342693888,0.5168470988329811,0.3745725569639979,0.10177793492662479,0.1019763523036249,1.949174453682173,0.5655172413793104,0.40980820804028023,0
ES,GLOBEX,B0,1day,S-C_q0.80,M2_HAR,291,0.9980542805021174,0.7212179508650285,0.7219206203443422,0.5761781162800891,0.50365273976931,0.5046346171832701,2.9501251885964552,0.43103448275862066,0.18448492636394573,0
ES,GLOBEX,B0,1day,S-C_q0.80,M3_HARJ,291,0.9980542805021174,0.7109132223382117,0.7116058521086972,0.5771009354805722,0.4854899736040895,0.48643644247469314,3.1371261115617037,0.43448275862068964,0.18090989986694542,0
ES,GLOBEX,B0,1day,S-C_q0.80,M4_HARQ,291,0.9980542805021174,-0.12791728287952725,-0.12804191035232987,0.5000531412440737,-4700.802345743943,-4709.966619630133,1.0843741247659404,0.46206896551724136,8.510614092101667e+294,0
ES,GLOBEX,B0,1day,S-C_q0.80,M5_RGARCH,291,0.9980542805021174,0.7303440319837919,0.7310555928372876,0.5879449132939534,0.45182410979954357,0.45270494664101085,2.988389238750048,0.46206896551724136,0.1761355812096989,0
ES,GLOBEX,B0,1day,S-C_q0.80,M6_PARK,291,0.9980542805021174,0.642708763408487,0.6433349428201239,0.5435011302101743,0.2520853959786631,0.2525768396603037,2.796969376452893,0.5758620689655173,0.34976882751128396,0
ES,GLOBEX,B0,1day,S-C_q0.80,M6_GK,291,0.9980542805021174,0.6161804875575053,0.6167808209544153,0.515498492809802,0.2623227084529731,0.2628341099053245,2.588882392411431,0.5482758620689655,0.3202820232816814,0
ES,GLOBEX,B0,1day,S-B_q0.90,M1_EWMA,146,0.9980542805021174,0.5018194628581024,0.5023083763970029,0.3246584982599559,-1.425481821667275,-1.4282608165861685,,0.5655172413793104,0.8519669004646874,0
ES,GLOBEX,B0,1day,S-B_q0.90,M2_HAR,146,0.9980542805021174,0.7236249829816306,0.7243299975883805,0.4805047574060328,-0.35888690253891387,-0.35958655711426757,,0.4413793103448276,0.4701006407179665,0
ES,GLOBEX,B0,1day,S-B_q0.90,M3_HARJ,146,0.9980542805021174,0.734160871108317,0.7348761506384721,0.49330685509914884,-0.32869794784391027,-0.329338748668603,,0.4413793103448276,0.45048667045506663,0
ES,GLOBEX,B0,1day,S-B_q0.90,M4_HARQ,146,0.9980542805021174,-0.11173609209420957,-0.11184495452831596,0.4123898975158304,-15030.98666065305,-15060.289760083006,,0.4482758620689655,1.6962936306860172e+295,0
ES,GLOBEX,B0,1day,S-B_q0.90,M5_RGARCH,146,0.9980542805021174,0.6978482667754713,0.698528167598332,0.49565133564053876,0.0023113746366636434,0.0023158806908786557,,0.4482758620689655,0.339216510148646,0
ES,GLOBEX,B0,1day,S-B_q0.90,M6_PARK,146,0.9980542805021174,0.6464407792860105,0.6470705947325662,0.5328892445027138,-0.8230464619086444,-0.8246510014410967,,0.5310344827586206,0.7715055469273675,0
ES,GLOBEX,B0,1day,S-B_q0.90,M6_GK,146,0.9980542805021174,0.6127026458601069,0.6132995908593603,0.4992760259512403,-0.9071275526714095,-0.9088960093583658,,0.5379310344827586,0.8236187748034377,0
ES,GLOBEX,B0,1day,S-C_q0.90,M1_EWMA,146,0.9980542805021174,0.5590337978950669,0.5595784543157988,0.40504564603356696,0.1060616387327371,0.10626840724472209,,0.5517241379310345,0.4776731678841445,0
ES,GLOBEX,B0,1day,S-C_q0.90,M2_HAR,146,0.9980542805021174,0.7529214537217022,0.7536550113449091,0.5560602701165492,0.5446771626780729,0.5457390177256168,,0.45517241379310347,0.1666753998928708,0
ES,GLOBEX,B0,1day,S-C_q0.90,M3_HARJ,146,0.9980542805021174,0.7341065716454708,0.7348217982726508,0.576231286090251,0.5111193522508732,0.5121157859207126,,0.43448275862068964,0.17015770412647896,0
ES,GLOBEX,B0,1day,S-C_q0.90,M4_HARQ,146,0.9980542805021174,-0.031096187795310235,-0.031126484243229433,0.4507206000019281,-4274.625945612242,-4282.959383192759,,0.4827586206896552,4.111370668546791e+294,0
ES,GLOBEX,B0,1day,S-C_q0.90,M5_RGARCH,146,0.9980542805021174,0.7790883739702326,0.7798474255460016,0.5913315916824927,0.5217496577638692,0.5227668153493403,,0.4482758620689655,0.15755067470127354,0
ES,GLOBEX,B0,1day,S-C_q0.90,M6_PARK,146,0.9980542805021174,0.683392428972529,0.6840582457365976,0.5845449374837324,0.35334348582425523,0.35403233343830703,,0.5793103448275863,0.35193222881148983,0
ES,GLOBEX,B0,1day,S-C_q0.90,M6_GK,146,0.9980542805021174,0.6551593435395956,0.6557976533240932,0.5696142982464597,0.35134562949391046,0.35203058226166795,,0.5724137931034483,0.3278388720108191,0
ES,GLOBEX,B0,1h,S-A,M1_EWMA,40996,0.999987620119632,,,0.6327210478126486,,,0.579484064719251,0.45556775216489814,inf,0
ES,GLOBEX,B0,1h,S-A,M2_HAR,40996,0.999987620119632,,,0.7767042136847367,,,5.99500865546115,0.4669105988535187,inf,0
ES,GLOBEX,B0,1h,S-A,M3_HARJ,40996,0.999987620119632,,,0.7760339906052981,,,5.920260057268133,0.47022807659470667,inf,0
ES,GLOBEX,B0,1h,S-A,M4_HARQ,40996,0.999987620119632,,,0.8032133567837733,,,5.417608319272303,0.4677643615075009,inf,0
ES,GLOBEX,B0,1h,S-A,M5_RGARCH,40996,0.999987620119632,,,0.18937532792266434,,,6.6943462809663075,0.46820343944383463,,0
ES,GLOBEX,B0,1h,S-A,M6_PARK,40996,0.999987620119632,,,0.7780390258716778,,,5.594359127737229,0.47893645566532506,,0
ES,GLOBEX,B0,1h,S-A,M6_GK,40996,0.999987620119632,,,0.779397417681209,,,5.583427834817167,0.48344920112208806,inf,0
ES,GLOBEX,B0,1h,S-B_q0.80,M1_EWMA,8199,0.999987620119632,0.5358200306649882,0.5358233473897229,0.4545106199301404,-0.8883123359539475,-0.8883233332905417,0.7844860110995184,0.47450597706757747,1.1650770478516332,0
ES,GLOBEX,B0,1h,S-B_q0.80,M2_HAR,8199,0.999987620119632,0.6661842915917195,0.666188415270924,0.5815715258015633,0.0021981981541135953,0.0021982253678806715,2.4221317452874547,0.4943888753354477,0.5546400914500719,0
ES,GLOBEX,B0,1h,S-B_q0.80,M3_HARJ,8199,0.999987620119632,0.6650208632806318,0.6650249797582177,0.5810408425542167,0.0016804447322892324,0.0016804655362515338,2.3442799302131982,0.49597462795803854,0.5627246240157066,0
ES,GLOBEX,B0,1h,S-B_q0.80,M4_HARQ,8199,0.999987620119632,-0.004398438965199567,-0.004398466191526459,0.5873100674317822,-286.6424355041242,-286.6459841471159,1.9591356512984532,0.49560868504513295,5.296694595028119e+292,0
ES,GLOBEX,B0,1h,S-B_q0.80,M5_RGARCH,8199,0.999987620119632,0.02259756291191414,0.022597702790775633,0.015191568322004703,-428630.777366975,-428636.08383041417,1.3731066894625161,0.4974383996096609,1.3155201054573072e+16,0
ES,GLOBEX,B0,1h,S-B_q0.80,M6_PARK,8199,0.999987620119632,,,0.5180004302809081,-inf,-inf,1.9489572948553384,0.5115881922420102,,0
