nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,390,195,338961480,E1_a_L1-10,0.987595034511924,0.020225176616439935
3.0,1e-05,390,195,338961480,E1_d_L1-5,1.048079163574184,0.026618536249903284
3.0,1e-05,390,195,338961480,E1_d_L1-10,1.12289924942677,0.044623156599672975
3.0,1e-05,390,195,338961480,E2,0.986747779884303,0.01789575979769208
3.0,1e-05,390,195,338961480,E4,1.1137072715790053,0.04140635294800412
3.0,1e-05,390,390,338961480,E1_a_L1-5,0.9740951812506944,0.0190830449996978
3.0,1e-05,390,390,338961480,E1_a_L1-10,0.9739967730052949,0.019892431818080078
3.0,1e-05,390,390,338961480,E1_d_L1-5,1.033462391230577,0.026630348216858876
3.0,1e-05,390,390,338961480,E1_d_L1-10,1.1064115521759248,0.043233444700320874
3.0,1e-05,390,390,338961480,E2,0.9724940047758395,0.017088578221395024
3.0,1e-05,390,390,338961480,E4,1.0970016126041038,0.040697275062929736
3.0,1e-05,390,13,1861959406,E1_a_L1-5,1.0003719889826947,0.03494682698084098
3.0,1e-05,390,13,1861959406,E1_a_L1-10,1.000734769752926,0.03486254933910654
3.0,1e-05,390,13,1861959406,E1_d_L1-5,1.0624253718692427,0.044790761208193065
3.0,1e-05,390,13,1861959406,E1_d_L1-10,1.1318299543130756,0.056847614482883266
3.0,1e-05,390,13,1861959406,E2,0.9975715642087718,0.03797684864103789
3.0,1e-05,390,13,1861959406,E4,1.2275991981963572,0.06430496507624991
3.0,1e-05,390,26,1861959406,E1_a_L1-5,0.9968614581136142,0.028842254067476387
3.0,1e-05,390,26,1861959406,E1_a_L1-10,0.9978364655983001,0.02858281838069699
3.0,1e-05,390,26,1861959406,E1_d_L1-5,1.0575059781359146,0.03625662446766644
3.0,1e-05,390,26,1861959406,E1_d_L1-10,1.1287274403773089,0.04807783154377537
3.0,1e-05,390,26,1861959406,E2,0.9968067156686833,0.026670511743898825
3.0,1e-05,390,26,1861959406,E4,1.1576778045992782,0.04613932621720282
3.0,1e-05,390,78,1861959406,E1_a_L1-5,0.9939186900100606,0.023724050274456124
3.0,1e-05,390,78,1861959406,E1_a_L1-10,0.9942862188099668,0.02412740730130631
