root,geom,btag,horizon,M,year,tercile,n,estimator,lam
ES,GLOBEX,B0,1day,23,2019,2,99,E1_d_model_L1-5,2.8560289757150272
ES,GLOBEX,B0,1day,23,2019,2,99,E1_a_exp_L1-10,0.424793744668469
ES,GLOBEX,B0,1day,23,2019,2,99,E1_d_model_L1-10,-1.1260174136844487
ES,GLOBEX,B0,1day,23,2019,2,99,E2,-0.47947814217161344
ES,GLOBEX,B0,1day,23,2019,2,99,E4,0.552747717784448
ES,GLOBEX,B0,1day,23,2019,3,54,E1_a_exp_L1-5,0.17486994499553585
ES,GLOBEX,B0,1day,23,2019,3,54,E1_d_model_L1-5,0.28204800654319284
ES,GLOBEX,B0,1day,23,2019,3,54,E1_a_exp_L1-10,0.3260434811021051
ES,GLOBEX,B0,1day,23,2019,3,54,E1_d_model_L1-10,-1.3863793752680738
ES,GLOBEX,B0,1day,23,2019,3,54,E2,-0.6461517809188615
ES,GLOBEX,B0,1day,23,2019,3,54,E4,0.7491620270090497
ES,GLOBEX,B0,1day,23,2019,0,243,E1_a_exp_L1-5,0.67436841847081
ES,GLOBEX,B0,1day,23,2019,0,243,E1_d_model_L1-5,0.9577454948627951
ES,GLOBEX,B0,1day,23,2019,0,243,E1_a_exp_L1-10,0.689802214979217
ES,GLOBEX,B0,1day,23,2019,0,243,E1_d_model_L1-10,1.3406535222025286
ES,GLOBEX,B0,1day,23,2019,0,243,E2,0.644633096120592
ES,GLOBEX,B0,1day,23,2019,0,243,E4,0.8936536000852104
ES,GLOBEX,B0,1day,23,2020,1,30,E1_a_exp_L1-5,0.5192308993224795
ES,GLOBEX,B0,1day,23,2020,1,30,E1_d_model_L1-5,-0.4308194202726148
ES,GLOBEX,B0,1day,23,2020,1,30,E1_a_exp_L1-10,0.5193306294574136
ES,GLOBEX,B0,1day,23,2020,1,30,E1_d_model_L1-10,-0.43062249907197786
ES,GLOBEX,B0,1day,23,2020,1,30,E2,0.4360741462344473
ES,GLOBEX,B0,1day,23,2020,1,30,E4,0.7705453639310168
ES,GLOBEX,B0,1day,23,2020,2,71,E1_a_exp_L1-5,0.5780801017983251
ES,GLOBEX,B0,1day,23,2020,2,71,E1_d_model_L1-5,-0.7531617660287959
ES,GLOBEX,B0,1day,23,2020,2,71,E1_a_exp_L1-10,0.5444941951452265
ES,GLOBEX,B0,1day,23,2020,2,71,E1_d_model_L1-10,-1.1167322533218018
ES,GLOBEX,B0,1day,23,2020,2,71,E2,-1.3939707035959854
ES,GLOBEX,B0,1day,23,2020,2,71,E4,0.57588724365644
ES,GLOBEX,B0,1day,23,2020,3,143,E1_a_exp_L1-5,0.8016679700898969
ES,GLOBEX,B0,1day,23,2020,3,143,E1_d_model_L1-5,0.9878177063947073
ES,GLOBEX,B0,1day,23,2020,3,143,E1_a_exp_L1-10,0.7784316469603829
ES,GLOBEX,B0,1day,23,2020,3,143,E1_d_model_L1-10,1.153148861683737
