nu,nsr,n,M,estimator,recovery,between_seed_sd
3.4,3e-05,390,390,E1_d_L1-5,0.9832635557080349,0.002054789893957305
3.4,3e-05,390,390,E2,0.9252431551389362,0.0017042677592425319
3.4,3e-05,390,390,E4,0.991143104441558,0.0016151993182836866
3.4,3e-05,1380,23,E1_a_L1-10,0.9963053959341082,0.0021715154292112557
3.4,3e-05,1380,23,E1_a_L1-5,0.9955442776319574,0.0022751458892086504
3.4,3e-05,1380,23,E1_d_L1-10,1.1295722696270438,0.005296091970215265
3.4,3e-05,1380,23,E1_d_L1-5,1.0558793497997452,0.002283703596166235
3.4,3e-05,1380,23,E2,0.9933303130656984,0.002372695200153861
3.4,3e-05,1380,23,E4,1.0947244931913989,0.0028894809752492688
3.4,3e-05,1380,46,E1_a_L1-10,0.9920488112206296,0.001130489391345917
3.4,3e-05,1380,46,E1_a_L1-5,0.9915890253975916,0.0009778647194165666
3.4,3e-05,1380,46,E1_d_L1-10,1.1243438139814896,0.004366141869176412
3.4,3e-05,1380,46,E1_d_L1-5,1.0506037193063515,0.0018556973261050402
3.4,3e-05,1380,46,E2,0.9886921059167637,0.0008709059090091935
3.4,3e-05,1380,46,E4,1.0530748124293716,0.0021669112337095947
3.4,3e-05,1380,138,E1_a_L1-10,0.9739289114748747,0.0010599578739812817
3.4,3e-05,1380,138,E1_a_L1-5,0.9734300370559964,0.0012930222266892386
3.4,3e-05,1380,138,E1_d_L1-10,1.1035534701249172,0.003541021072875474
3.4,3e-05,1380,138,E1_d_L1-5,1.0309388985062196,0.002099510208563916
3.4,3e-05,1380,138,E2,0.9661542754415177,0.0010861164547297914
3.4,3e-05,1380,138,E4,1.015724877462043,0.0019331112043416364
3.4,3e-05,1380,345,E1_a_L1-10,0.9370690150575879,0.0013009192015736367
3.4,3e-05,1380,345,E1_a_L1-5,0.9363671240487067,0.0009278016072416323
3.4,3e-05,1380,345,E1_d_L1-10,1.0614809594486825,0.003655146059796993
3.4,3e-05,1380,345,E1_d_L1-5,0.9913411347450053,0.0024132717899780927
3.4,3e-05,1380,345,E2,0.9202343129031754,0.0013508065426104058
3.4,3e-05,1380,345,E4,0.9739829308208341,0.0021688283983697433
3.4,3e-05,1380,1380,E1_a_L1-10,0.7877201618185073,0.002659743089071863
3.4,3e-05,1380,1380,E1_a_L1-5,0.7871621180937588,0.0026280150790973064
3.4,3e-05,1380,1380,E1_d_L1-10,0.8925261883794452,0.00455031149862775
3.4,3e-05,1380,1380,E1_d_L1-5,0.83367620382732,0.003644341779674394
3.4,3e-05,1380,1380,E2,0.7463882628620193,0.00311325226763899
3.4,3e-05,1380,1380,E4,0.8189710086025268,0.0034461905277047233
3.4,0.0001,390,13,E1_a_L1-10,0.9919562358052533,0.002190108339859206
