root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
ES,RTH,B1,1h,S-B_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0001, ""M3_HARJ"": 0.0237, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B1,1h,S-C_q0.80,2181,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.5708, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1h,S-B_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.007, ""M3_HARJ"": 0.1189, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1h,S-C_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.9227, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,30min,S-A,22312,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.9499, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,30min,S-B_q0.80,4463,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.1179, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,30min,S-C_q0.80,4463,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.6921, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,30min,S-B_q0.90,2232,"{""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.1117, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,30min,S-C_q0.90,2232,"{""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.6541, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,1day,S-A,1401,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0086, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B0,1day,S-B_q0.80,280,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0005, ""M6_PARK"": 0.005, ""M1_EWMA"": 0.1766, ""M3_HARJ"": 0.4772, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,1day,S-C_q0.80,280,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0156, ""M1_EWMA"": 0.057, ""M6_PARK"": 0.057, ""M3_HARJ"": 0.2642, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,1day,S-B_q0.90,140,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0251, ""M1_EWMA"": 0.0905, ""M6_PARK"": 0.0905, ""M3_HARJ"": 0.5286, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,1day,S-C_q0.90,140,"{""M5_RGARCH"": 0.0022, ""M1_EWMA"": 0.0492, ""M6_GK"": 0.0492, ""M6_PARK"": 0.1407, ""M3_HARJ"": 0.4669, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK
NQ,RTH,B0,1h,S-A,10906,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B0,1h,S-B_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M3_HARJ"": 0.0012, ""M1_EWMA"": 0.1959, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M1_EWMA|M2_HAR|M4_HARQ
NQ,RTH,B0,1h,S-C_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0707, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B0,1h,S-B_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0311, ""M3_HARJ"": 0.0311, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B0,1h,S-C_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.7828, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,30min,S-A,22312,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.7395, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,30min,S-B_q0.80,4463,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.4845, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,30min,S-C_q0.80,4463,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.3688, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,30min,S-B_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0005, ""M2_HAR"": 0.8029, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B0,30min,S-C_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.9595, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,1day,S-A,1401,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,1day,S-B_q0.80,280,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0003, ""M6_PARK"": 0.0042, ""M1_EWMA"": 0.1322, ""M3_HARJ"": 0.1839, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,1day,S-C_q0.80,280,"{""M5_RGARCH"": 0.0002, ""M6_GK"": 0.0157, ""M1_EWMA"": 0.063, ""M6_PARK"": 0.063, ""M3_HARJ"": 0.1138, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,1day,S-B_q0.90,140,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0102, ""M1_EWMA"": 0.0813, ""M6_PARK"": 0.0813, ""M3_HARJ"": 0.2865, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,1day,S-C_q0.90,140,"{""M5_RGARCH"": 0.0022, ""M1_EWMA"": 0.0417, ""M6_GK"": 0.0417, ""M6_PARK"": 0.1395, ""M3_HARJ"": 0.4499, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK
NQ,RTH,B1,1h,S-A,10906,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B1,1h,S-B_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0018, ""M3_HARJ"": 0.0018, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B1,1h,S-C_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0535, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B1,1h,S-B_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0408, ""M3_HARJ"": 0.0408, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,RTH,B1,1h,S-C_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.9072, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,30min,S-A,22312,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.2107, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,30min,S-B_q0.80,4463,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.98, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,30min,S-C_q0.80,4463,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.3302, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,30min,S-B_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0003, ""M2_HAR"": 0.8948, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,RTH,B1,30min,S-C_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.9008, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
