root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
ES,GLOBEX,B1,1day,S-B_q0.90,146,"{""M1_EWMA"": 0.0002, ""M6_GK"": 0.0002, ""M6_PARK"": 0.0002, ""M2_HAR"": 0.0002, ""M3_HARJ"": 0.0002, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH
ES,GLOBEX,B1,1day,S-C_q0.90,146,"{""M1_EWMA"": 0.0053, ""M6_PARK"": 0.2077, ""M6_GK"": 0.2077, ""M2_HAR"": 0.5966, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK
ES,GLOBEX,B1,1h,S-A,1403,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B1,1h,S-B_q0.80,281,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.2362, ""M3_HARJ"": 0.3429, ""M2_HAR"": 1.0}",M2_HAR|M3_HARJ,M2_HAR|M3_HARJ|M4_HARQ
ES,GLOBEX,B1,1h,S-C_q0.80,281,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B1,1h,S-B_q0.90,141,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0025, ""M1_EWMA"": 0.0025, ""M6_PARK"": 0.0191, ""M4_HARQ"": 0.3922, ""M3_HARJ"": 0.7228, ""M2_HAR"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,GLOBEX,B1,1h,S-C_q0.90,141,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0197, ""M1_EWMA"": 0.0292, ""M2_HAR"": 0.6707, ""M4_HARQ"": 0.7098, ""M3_HARJ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,GLOBEX,B1,30min,S-A,79538,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B1,30min,S-B_q0.80,15908,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B1,30min,S-C_q0.80,15908,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
