grid,n_points,M_min,M_max,free_c,free_A,free_b,free_rmse,loglog_b,loglog_r2,with_intercept_c,with_intercept_A,with_intercept_b,with_intercept_rmse
RTH_1day,8,5,389,0.0036874572469108883,3.057392799573713,-1.144373249661363,0.0017694365302516125,-1.041925938923132,0.9995764455706945,1.0236874569112184,3.0573927926034856,-1.1443732478660709,0.0017694365302517014
RTH_1h,9,4,60,0.013514241543735431,3.3614020930450845,-1.2097127786327901,0.002377886242447065,-1.087023614072941,0.9990665607422037,1.0335142446820482,3.3614021542411274,-1.2097127944316495,0.002377886242446828
RTH_30min,5,5,30,0.01385294967478126,3.2661866277942924,-1.1971005917687416,0.0008901771358731192,-1.094633658984063,0.9995279403698306,1.033852950170601,3.266186639671084,-1.1971005945922204,0.0008901771358731461
GLOBEX_1day,9,5,1379,0.0029226952348754475,3.031982768908225,-1.1385774213013307,0.0019698456832375495,-1.032548619810821,0.99959562134686,1.0229226946107917,3.031982751629555,-1.1385774171734016,0.0019698456832377797
