arm,grid,seed_index,M,lam_true,var_log_rv,trv_over_rv,estimator,lam
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E1_a_exp_L1-5,-0.022178803581655998
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E1_a_exp_L1-10,-0.012093993933468305
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E1_d_model_L1-5,-0.03535416332033757
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E1_d_model_L1-10,-0.012046707397748768
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E2,0.7275322045186221
A0,RTH_1day,0,5,0.6705066440747842,1.5803649744941464,0.951383292501882,E4,0.8468299184193782
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E1_a_exp_L1-5,-0.029702827260372128
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E1_a_exp_L1-10,-0.010739607597617565
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E1_d_model_L1-5,0.0749900984760052
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E1_d_model_L1-10,-0.0146010089588242
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E2,0.7322269942087872
A0,RTH_1day,0,6,0.7093814704666541,1.4937593658378658,0.9522945891652743,E4,0.8547799321567506
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E1_a_exp_L1-5,0.003407686533631761
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E1_a_exp_L1-10,-0.0065322930121095015
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E1_d_model_L1-5,-0.036597218078138635
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E1_d_model_L1-10,-0.007225499724469827
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E2,0.8308179211776149
A0,RTH_1day,0,10,0.8158061094364291,1.298893454222132,0.9635380444856785,E4,0.8813821238350756
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E1_a_exp_L1-5,0.0019205913284605
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E1_a_exp_L1-10,-0.008722680828639013
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E1_d_model_L1-5,-0.008743725673614096
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E1_d_model_L1-10,-0.009646299123902387
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E2,0.873549897387743
