arm,grid,seed_index,estimator,ratio_max_min,elasticity,mean_abs_error_vs_true,mean_lam,mean_lam_true
A0,GLOBEX_1day,0,E1_a_exp_L1-10,,,0.8954537583816919,-0.011771780757023743,0.883681977624668
A0,GLOBEX_1day,0,E1_a_exp_L1-5,2.7411576350733995,0.09480396894158825,0.8985389135546844,-0.014856935930016434,0.883681977624668
A0,GLOBEX_1day,0,E1_d_model_L1-10,1.0,,0.8619401373513591,0.021741840273308874,0.883681977624668
A0,GLOBEX_1day,0,E1_d_model_L1-5,70.9371986108528,-3.443044173235286,0.8324518218342912,0.05123015579037687,0.883681977624668
A0,GLOBEX_1day,0,E2,1.009736863738641,-1.03122236980053,0.0025601384324643378,0.8835540318957213,0.883681977624668
A0,GLOBEX_1day,0,E4,1.2488909848888987,-0.8971808905762952,0.04557982485275078,0.9281484128637219,0.883681977624668
A0,GLOBEX_1day,1,E1_a_exp_L1-10,,,0.8878027066736826,-0.006264642106273604,0.881538064567409
A0,GLOBEX_1day,1,E1_a_exp_L1-5,2.136335589480209,0.18457324039359738,0.8777538661847201,0.0037841983826889117,0.881538064567409
A0,GLOBEX_1day,1,E1_d_model_L1-10,,,0.8883973435794531,-0.006859279012044071,0.881538064567409
A0,GLOBEX_1day,1,E1_d_model_L1-5,,,0.8913305219454188,-0.009792457378009815,0.881538064567409
A0,GLOBEX_1day,1,E2,1.0449571647732514,-1.0297349191294396,0.006914422084901191,0.8770293033624874,0.881538064567409
A0,GLOBEX_1day,1,E4,1.2690289384606817,-0.8987243604337648,0.04367462183654558,0.9247783440314693,0.881538064567409
A0,GLOBEX_1day,2,E1_a_exp_L1-10,2.225421408460951,-0.08397252434188086,0.8630238499594437,0.013150009537460941,0.8761738594969046
A0,GLOBEX_1day,2,E1_a_exp_L1-5,1.9598205629404044,-0.09274010303271948,0.8650884403982122,0.011085419098692357,0.8761738594969046
A0,GLOBEX_1day,2,E1_d_model_L1-10,3.2323697435948597,-0.022861307032185512,0.8606672857352123,0.015506573761692174,0.8761738594969046
A0,GLOBEX_1day,2,E1_d_model_L1-5,2.6981489019870093,-0.10205308442638311,0.859997117849194,0.01617674164771056,0.8761738594969046
A0,GLOBEX_1day,2,E2,1.0378464095498514,-1.0310141350638917,0.008832688185537237,0.8820801487497646,0.8761738594969046
A0,GLOBEX_1day,2,E4,1.2910463791207003,-0.8915783583862917,0.053157662871742,0.9283144057804369,0.8761738594969046
A0,GLOBEX_1day,3,E1_a_exp_L1-10,1.2849778187855132,-0.022926418455047747,0.8625274386861054,0.023998458391733892,0.8865258970778391
A0,GLOBEX_1day,3,E1_a_exp_L1-5,1.1021145104815357,0.002372773258996172,0.8753028646436549,0.011223032434184274,0.8865258970778391
A0,GLOBEX_1day,3,E1_d_model_L1-10,1.0,,0.9379125237694311,-0.051386626691591844,0.8865258970778391
A0,GLOBEX_1day,3,E1_d_model_L1-5,,,0.9063921221725858,-0.019866225094746615,0.8865258970778391
A0,GLOBEX_1day,3,E2,1.0231543784129191,-1.0268091544059943,0.00369549267504326,0.8854966710419412,0.8865258970778391
A0,GLOBEX_1day,3,E4,1.2380981082579299,-0.8970075475158912,0.042558398819126805,0.927461724508934,0.8865258970778391
A0,GLOBEX_1day,4,E1_a_exp_L1-10,21.26746497889717,0.9083268659247101,0.8865380545492377,0.0008763634131411153,0.8874144179623789
A0,GLOBEX_1day,4,E1_a_exp_L1-5,3.1306185629535777,1.5513655260737083,0.8831980081168502,0.004216409845528588,0.8874144179623789
A0,GLOBEX_1day,4,E1_d_model_L1-10,1.2403117671355965,,0.9003955262060729,-0.012981108243693994,0.8874144179623789
A0,GLOBEX_1day,4,E1_d_model_L1-5,1.0,,0.9001084399660308,-0.012694022003651982,0.8874144179623789
A0,GLOBEX_1day,4,E2,1.0451424764696158,-1.0313849288940629,0.007613559043050216,0.8861234568308295,0.8874144179623789
A0,GLOBEX_1day,4,E4,1.2474392424253666,-0.9009372308985265,0.04071749308405169,0.9274259988909994,0.8874144179623789
A0,RTH_1day,0,E1_a_exp_L1-10,,,0.8815271349092888,-0.007773878629032959,0.8737532562802559
A0,RTH_1day,0,E1_a_exp_L1-5,2.5250861060894345,-0.05453417375527152,0.8775409991452316,-0.0037877428649756885,0.8737532562802559
A0,RTH_1day,0,E1_d_model_L1-10,,,0.8825067064277381,-0.008753450147482154,0.8737532562802559
