root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,GLOBEX,B1,30min,S-B_q0.80,15874,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,827925247,"{""M1_EWMA"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0093, ""M3_HARJ"": 0.0093, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,30min,S-C_q0.80,15874,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
ES,GLOBEX,B1,30min,S-B_q0.90,7937,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,2717987684,"{""M1_EWMA"": 0.0, ""M6_PARK"": 0.0002, ""M6_GK"": 0.0004, ""M4_HARQ"": 0.0148, ""M3_HARJ"": 0.0148, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,30min,S-C_q0.90,7937,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,1day,S-A,1448,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3536224341,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0544, ""M3_HARJ"": 0.0544, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-B_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,778805554,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0119, ""M6_GK"": 0.0119, ""M4_HARQ"": 0.0289, ""M1_EWMA"": 0.0289, ""M3_HARJ"": 0.7943, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-C_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,346491313,"{""M5_RGARCH"": 0.0003, ""M1_EWMA"": 0.0045, ""M4_HARQ"": 0.0359, ""M6_PARK"": 0.0359, ""M6_GK"": 0.0359, ""M3_HARJ"": 0.9565, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ|M6_GK|M6_PARK,1702618649,"{""M5_RGARCH"": 0.0001, ""M4_HARQ"": 0.0571, ""M1_EWMA"": 0.0571, ""M6_PARK"": 0.1343, ""M6_GK"": 0.1343, ""M3_HARJ"": 0.2909, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M6_PARK,M2_HAR|M3_HARJ|M6_GK|M6_PARK,3586788295,"{""M4_HARQ"": 0.0045, ""M5_RGARCH"": 0.0045, ""M1_EWMA"": 0.0166, ""M6_GK"": 0.1056, ""M6_PARK"": 0.2528, ""M2_HAR"": 0.5703, ""M3_HARJ"": 1.0}"
NQ,GLOBEX,B0,1h,S-A,22134,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
