model,filtered_in_S07,qlike_S07,qlike_S08,ic_S08,n_replaced_S07,n_replaced_S08
M1_EWMA,no,,0.2934477716219317,0.7045304150663971,0,0
M2_HAR,no,,0.1620360316909317,0.8385490478795845,0,0
M3_HARJ,yes,0.5550262187426538,0.2137159286814528,0.8112814622302527,14,3
M4_HARQ,yes,0.577422236938575,0.890886288201179,0.7838842495314428,14,10
M5_RGARCH,no,,0.1642178442038731,0.8327314570230117,0,0
M6_PARK,no,,0.5459487006020989,0.762120401203652,0,0
M6_GK,no,,0.468315943654783,0.7723841906226847,0,0
