venue,convention,b,intercept_c,trigamma_ref,futures_intercept_range
ARCX,traded-tick (PRIMARY),-0.5332573287789749,1.034294237766469,-1.124766100301548,0.815 to 1.425
ARCX,calendar-time forward fill (sensitivity),-0.8410030054294009,1.5572763092570523,-1.124766100301548,0.815 to 1.425
XNAS,traded-tick (PRIMARY),-0.5985384739875643,1.0438873159534647,-1.124766100301548,0.815 to 1.425
XNAS,calendar-time forward fill (sensitivity),-0.839369443632266,1.4936106911850446,-1.124766100301548,0.815 to 1.425
