root,geom,horizon,lam,max_abs_zscore_difference,identical_to_machine_precision
ES,GLOBEX,1day,0.8272250642225776,4.6629367034256575e-15,True
NQ,GLOBEX,1day,0.9399469453085768,2.220446049250313e-15,True
ES,RTH,1day,0.8397800078923314,3.9968028886505635e-15,True
NQ,RTH,1day,0.9312843759268288,1.7763568394002505e-15,True
ES,RTH,1h,0.588054052124918,3.3306690738754696e-15,True
NQ,RTH,1h,0.8101747602302579,2.220446049250313e-15,True
ES,RTH,30min,0.3958240376050629,6.328271240363392e-15,True
NQ,RTH,30min,0.6765338975574761,2.886579864025407e-15,True
