root,geom,horizon,mis_A1,mis_A2,mis_A3,reduction_vs_A1_pp,reduction_vs_A2_pp,below_1pp_vs_both
ES,GLOBEX,1day,0.0124804992199688,0.11856474258970359,0.0124804992199688,0.0,10.60842433697348,False
NQ,GLOBEX,1day,0.0327613104524181,0.15132605304212168,0.0327613104524181,0.0,11.856474258970358,False
ES,RTH,1day,0.02254428341384863,0.11594202898550725,0.02254428341384863,0.0,9.339774557165862,False
NQ,RTH,1day,0.05636070853462158,0.12399355877616747,0.05636070853462158,0.0,6.763285024154589,False
ES,RTH,1h,0.14009661835748793,0.14492753623188406,0.14009661835748793,0.0,0.4830917874396129,True
NQ,RTH,1h,0.143317230273752,0.3333333333333333,0.143317230273752,0.0,19.00161030595813,False
ES,RTH,30min,0.5314009661835749,0.5297906602254429,0.5314009661835749,0.0,-0.16103059581320522,True
NQ,RTH,30min,0.4943639291465378,0.47342995169082125,0.4943639291465378,0.0,-2.093397745571657,True
