root,geom,arm,ticks,n,ann_return,ann_vol,sharpe,sharpe_gross,max_drawdown,turnover,annual_cost_bps,share_invested
ES,GLOBEX,A1_raw,0.5,640,-0.0003122752729829457,0.07812546687161002,-0.00399709960768789,0.008565031802498315,-0.13389597897434868,61.44177767102821,9.81422381323314,0.64375
ES,GLOBEX,A1_raw,1.0,640,-0.00129369765430626,0.07812546687161002,-0.016559231017874095,0.008565031802498315,-0.13389597897434868,61.44177767102821,19.62844762646628,0.64375
ES,GLOBEX,A1_raw,2.0,640,-0.003256542416952888,0.07812546687161002,-0.0416834938382465,0.008565031802498315,-0.13389597897434868,61.44177767102821,39.25689525293256,0.64375
ES,GLOBEX,A1_raw,4.0,640,-0.007182231942246144,0.07812546687161002,-0.09193201947899132,0.008565031802498315,-0.13389597897434868,61.44177767102821,78.51379050586512,0.64375
ES,GLOBEX,A2_ma5,0.5,640,-0.0007314794029469438,0.07574953065584539,-0.009656553599919862,0.0006047939546647123,-0.12749111923188272,48.66224696341246,7.772922611562884,0.59375
ES,GLOBEX,A2_ma5,1.0,640,-0.0015087716641032322,0.07574953065584539,-0.01991790115450444,0.0006047939546647123,-0.12749111923188272,48.66224696341246,15.545845223125768,0.59375
ES,GLOBEX,A2_ma5,2.0,640,-0.0030633561864158087,0.07574953065584539,-0.040440596263673585,0.0006047939546647123,-0.12749111923188272,48.66224696341246,31.091690446251537,0.59375
ES,GLOBEX,A2_ma5,4.0,640,-0.006172525231040961,0.07574953065584539,-0.08148598648201187,0.0006047939546647123,-0.12749111923188272,48.66224696341246,62.183380892503074,0.59375
ES,GLOBEX,A3_shrunk,0.5,640,-0.0003122752729829457,0.07812546687161002,-0.00399709960768789,0.008565031802498315,-0.13389597897434868,61.44177767102821,9.81422381323314,0.64375
ES,GLOBEX,A3_shrunk,1.0,640,-0.00129369765430626,0.07812546687161002,-0.016559231017874095,0.008565031802498315,-0.13389597897434868,61.44177767102821,19.62844762646628,0.64375
ES,GLOBEX,A3_shrunk,2.0,640,-0.003256542416952888,0.07812546687161002,-0.0416834938382465,0.008565031802498315,-0.13389597897434868,61.44177767102821,39.25689525293256,0.64375
ES,GLOBEX,A3_shrunk,4.0,640,-0.007182231942246144,0.07812546687161002,-0.09193201947899132,0.008565031802498315,-0.13389597897434868,61.44177767102821,78.51379050586512,0.64375
ES,GLOBEX,reference_kernel,0.5,640,0.008012703845945712,0.07902425946646387,0.10139549424498087,0.11466278049457203,-0.13503672898566477,65.63724571729846,10.484374710035393,0.65
ES,GLOBEX,reference_kernel,1.0,640,0.006964266374942173,0.07902425946646387,0.08812820799538973,0.11466278049457203,-0.13503672898566477,65.63724571729846,20.968749420070786,0.65
ES,GLOBEX,reference_kernel,2.0,640,0.0048673914329350945,0.07902425946646387,0.06159363549620742,0.11466278049457203,-0.13503672898566477,65.63724571729846,41.93749884014157,0.65
ES,GLOBEX,reference_kernel,4.0,640,0.0006736415489209379,0.07902425946646387,0.008524490497842834,0.11466278049457203,-0.13503672898566477,65.63724571729846,83.87499768028314,0.65
ES,GLOBEX,always_invested,0.5,640,0.06952236766825014,0.09978729780684152,0.6967055847411033,0.7032746115258915,-0.12960602036108115,41.03780368793254,6.55505432074772,1.0
ES,GLOBEX,always_invested,1.0,640,0.06886686223617537,0.09978729780684152,0.6901365579563152,0.7032746115258915,-0.12960602036108115,41.03780368793254,13.11010864149544,1.0
ES,GLOBEX,always_invested,2.0,640,0.06755585137202583,0.09978729780684152,0.6769985043867389,0.7032746115258915,-0.12960602036108115,41.03780368793254,26.22021728299088,1.0
ES,GLOBEX,always_invested,4.0,640,0.06493382964372674,0.09978729780684152,0.6507223972475864,0.7032746115258915,-0.12960602036108115,41.03780368793254,52.44043456598176,1.0
