root,geom,horizon,n,mis_A1,mis_A2,mis_A3,reduction_vs_A1_pp,reduction_vs_A2_pp,below_1pp_vs_both
ES,GLOBEX,1day,641,0.0124804992199688,0.1185647425897035,0.0124804992199688,0.0,10.608424336973469,False
NQ,GLOBEX,1day,641,0.0327613104524181,0.1513260530421216,0.0327613104524181,0.0,11.856474258970351,False
ES,RTH,1day,621,0.0225442834138486,0.1159420289855072,0.0225442834138486,0.0,9.339774557165862,False
NQ,RTH,1day,621,0.0563607085346215,0.1239935587761674,0.0563607085346215,0.0,6.763285024154589,False
ES,RTH,1h,3726,0.0515297906602254,0.1476113794954374,0.0515297906602254,0.0,9.6081588835212,False
NQ,RTH,1h,3726,0.0794417606011809,0.4602791196994095,0.0794417606011809,0.0,38.083735909822856,False
ES,RTH,30min,7452,0.4700751476113795,0.4810789049919485,0.4700751476113795,0.0,1.1003757380569024,False
NQ,RTH,30min,7452,0.2652979066022544,0.3314546430488459,0.2652979066022544,0.0,6.615673644659154,False
