geom,H,sigma_w,M,implied_rq_rv2,sd_log_within_window_var,seed
GLOBEX,0.05,0.10000000000000002,276,1.0005535525795952,0.06581123737895034,1739877788
GLOBEX,0.05,0.11770378179487162,276,1.00139117151741,0.07746231524102468,1739877788
GLOBEX,0.05,0.1385418024881474,276,1.0025558493754638,0.0911760745045512,1739877788
GLOBEX,0.05,0.163068940895331,276,1.0041753801319253,0.1073176877839665,1739877788
GLOBEX,0.05,0.19193831036664843,276,1.0064280305897189,0.12631697705654144,1739877788
GLOBEX,0.05,0.22591865001472328,276,1.0095630536251021,0.14867985904450953,1739877788
GLOBEX,0.05,0.26591479484724945,276,1.0139300870849643,0.1750018168626721,1739877788
GLOBEX,0.05,0.3129917698872869,276,1.0200217906529725,0.20598375665710036,1739877788
GLOBEX,0.05,0.36840314986403866,276,1.0285366493536363,0.24245067146855262,1739877788
GLOBEX,0.05,0.43362443964140174,276,1.0404733389611125,0.2853736093055461,1739877788
GLOBEX,0.05,0.51039236424475,276,1.057276063858473,0.3358955303971492,1739877788
GLOBEX,0.05,0.6007511147083267,276,1.081065140222723,0.39536174215738706,1739877788
GLOBEX,0.05,0.7071067811865475,276,1.1150154663338079,0.4653557222893337,1739877788
GLOBEX,0.05,0.8322914227845536,276,1.1640008792032557,0.5477412839333857,1739877788
GLOBEX,0.05,0.9796384801717631,276,1.2357314639809542,0.6447122056413803,1739877788
GLOBEX,0.05,1.153071539079968,276,1.342823176388014,0.7588506477330337,1739877788
GLOBEX,0.05,1.357208808297453,276,1.5066329797869253,0.8931959105566597,1739877788
GLOBEX,0.05,1.597486094219211,276,1.7643542152005802,1.0513253655623271,1739877788
GLOBEX,0.05,1.880301546543196,276,2.1817926490161677,1.237449714235617,1739877788
GLOBEX,0.05,2.2131860294287993,276,2.87441971243799,1.4565251114651525,1739877788
GLOBEX,0.05,2.6050036547934554,276,4.028460517535045,1.7143851389864528,1739877788
GLOBEX,0.05,3.0661878175865187,276,5.875192425213279,2.01789614311632,1739877788
GLOBEX,0.05,3.6090190182329693,276,8.619347869046273,2.375140073140762,1739877788
GLOBEX,0.05,4.247951870156351,276,12.424697496651117,2.7956296890121557,1739877788
GLOBEX,0.05,4.999999999999999,276,17.39839198858975,3.290561868947516,1739877788
GLOBEX,0.1,0.10000000000000002,276,1.0009307135376457,0.06138462694336341,1739877788
GLOBEX,0.1,0.11770378179487162,276,1.0019319800557522,0.07225202735301242,1739877788
GLOBEX,0.1,0.1385418024881474,276,1.0033268057348101,0.08504336861796064,1739877788
GLOBEX,0.1,0.163068940895331,276,1.0052693531258285,0.10009926102909268,1739877788
GLOBEX,0.1,0.19193831036664843,276,1.007974644056494,0.11782061577996213,1739877788
GLOBEX,0.1,0.22591865001472328,276,1.0117431821397762,0.1386793205070207,1739877788
GLOBEX,0.1,0.26591479484724945,276,1.0169961098083495,0.16323080480419422,1739877788
