s2,kappa,adj_exact,adj_BL,BL_over_exact,k_vol_factor_exact,k_vol_factor_BL
0.05,0.05127109637602412,0.006230509376605298,0.006408887047003015,1.0286297090038097,0.9937694906233947,0.993591112952997
0.1,0.10517091807564771,0.012422199506118559,0.013146364759455964,1.0582960572305022,0.9875778004938814,0.986853635240544
0.2,0.22140275816016985,0.024690087971667385,0.027675344770021232,1.1209091195535439,0.9753099120283326,0.9723246552299788
0.3,0.3498588075760032,0.036805582279178184,0.0437323509470004,1.1881988611206094,0.9631944177208218,0.9562676490529995
0.4,0.49182469764127035,0.048770575499285984,0.06147808720515879,1.2605569357297999,0.951229424500714,0.9385219127948412
0.5,0.6487212707001282,0.06058693718652419,0.08109015883751602,1.338409937902459,0.9394130628134758,0.918909841162484
0.75,1.1170000166126748,0.08948963861996584,0.13962500207658435,1.5602365170958787,0.9105103613800342,0.8603749979234157
1.0,1.718281828459045,0.11750309741540454,0.21478522855738064,1.8279112064429928,0.8824969025845955,0.7852147714426194
1.5,3.4816890703380645,0.17097088181959963,0.43521113379225806,2.5455278066090354,0.8290291181804004,0.5647888662077419
2.0,6.38905609893065,0.22119921692859512,0.7986320123663313,3.6104649168994847,0.7788007830714049,0.2013679876336687
2.5,11.182493960703473,0.2683843710533582,1.3978117450879342,5.208245694791339,0.7316156289466418,-0.39781174508793415
