root,geom,limit,n_decision_points,n_bound,max_leverage,p99_leverage,p95_leverage,median_leverage,cap_that_would_first_bind,headroom_ratio,status
ES,GLOBEX,leverage_cap_2.0x,641,0,1.1657867180280266,1.0983931078905005,1.0093569593754297,0.7965842511354547,1.1657867180280266,1.7155796760003215,UNTESTED at a 10 percent target with daily rebalancing
NQ,GLOBEX,leverage_cap_2.0x,641,0,0.9160631772077612,0.8516193716013251,0.8032121166328149,0.5906454706981076,0.9160631772077612,2.1832555327637673,UNTESTED at a 10 percent target with daily rebalancing
ES,RTH,leverage_cap_2.0x,621,0,1.4340665802401198,1.3775646291914398,1.265081117139475,1.0051000663319347,1.4340665802401198,1.3946353869184516,UNTESTED at a 10 percent target with daily rebalancing
NQ,RTH,leverage_cap_2.0x,621,0,1.072525960609594,1.0288975991800353,0.963413907858086,0.7423569384636636,1.072525960609594,1.864756727066313,UNTESTED at a 10 percent target with daily rebalancing
