root,geom,limit,n_decision_points,both,spurious,missed,neither,spurious_rate,missed_rate,missed_minus_spurious,n_spurious_episodes,mean_spurious_duration,max_spurious_duration
ES,GLOBEX,stop_out_1.5x,641,20,2,13,606,0.0031201248049922,0.0202808112324493,0.0171606864274571,2,1.0,1
NQ,GLOBEX,stop_out_1.5x,641,21,1,6,613,0.0015600624024961,0.0093603744149766,0.0078003120124804995,1,1.0,1
ES,RTH,stop_out_1.5x,621,20,4,14,583,0.00644122383252818,0.02254428341384863,0.01610305958132045,4,1.0,1
NQ,RTH,stop_out_1.5x,621,21,6,5,589,0.00966183574879227,0.008051529790660225,-0.001610305958132045,6,1.0,1
