root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
NQ,RTH,0.1,5,1.6399422071874143,0.7491054426641293,0.784826611801029,1.0,-0.03572116913689971,-0.0455147272018801,1.0036417377167353,False
NQ,RTH,0.1,6,1.6399422071874143,0.8101385399644263,0.8378405731299368,1.0,-0.027702033165510453,-0.03306360906111705,1.0036417377167353,False
NQ,RTH,0.1,10,1.6399422071874143,0.9163794312885412,0.9818129752257356,1.0,-0.06543354393719447,-0.06664562965482324,1.0036417377167353,False
NQ,RTH,0.1,13,1.6399422071874143,1.0189722905304766,1.0701824929625985,1.0,-0.05121020243212193,-0.04785184094196504,1.0036417377167353,False
NQ,RTH,0.1,26,1.6399422071874143,1.246749683610564,1.2879560975565012,1.0,-0.04120641394593716,-0.031993647938864944,1.0036417377167353,False
NQ,RTH,0.1,78,1.6399422071874143,1.5856516956435645,1.5856516357311756,1.0,5.99123888278541e-08,3.778408030896685e-08,1.0036417377167353,True
NQ,RTH,0.1,195,1.6399422071874143,1.977845911844914,1.8484377522067843,1.0,0.1294081596381298,0.07000947664244261,1.0036417377167353,False
NQ,RTH,0.1,389,1.6399422071874143,2.4237827452319083,2.0743921922205244,1.0,0.3493905530113839,0.16843032591507212,1.0036417377167353,False
NQ,RTH,0.2,5,1.6402818970382214,0.7915389865931514,0.784826611801029,1.0,0.006712374792122389,0.008552685002256366,0.8885763799609953,False
NQ,RTH,0.2,6,1.6402818970382214,0.8527169582389809,0.8378405731299368,1.0,0.014876385109044099,0.017755627485871228,0.8885763799609953,False
NQ,RTH,0.2,10,1.6402818970382214,0.9851021688426335,0.9818129752257356,1.0,0.003289193616897834,0.0033501223755385556,0.8885763799609953,False
NQ,RTH,0.2,13,1.6402818970382214,1.0708215461959065,1.0701824929625985,1.0,0.0006390532333080401,0.0005971441670091782,0.8885763799609953,False
NQ,RTH,0.2,26,1.6402818970382214,1.2773443304490362,1.2879560975565012,1.0,-0.010611767107465031,-0.008239230457930624,0.8885763799609953,False
NQ,RTH,0.2,78,1.6402818970382214,1.5856516796571714,1.5856516357311756,1.0,4.39259957296656e-08,2.770217277792142e-08,0.8885763799609953,True
NQ,RTH,0.2,195,1.6402818970382214,1.7864754903156814,1.8484377522067843,1.0,-0.06196226189110288,-0.03352142197762853,0.8885763799609953,False
NQ,RTH,0.2,389,1.6402818970382214,1.8841682297792721,2.0743921922205244,1.0,-0.19022396244125228,-0.09170105978736254,0.8885763799609953,False
NQ,RTH,0.3,5,1.8008003694117072,0.7948791423429685,0.784826611801029,1.0,0.010052530541939553,0.012808600512246748,0.8411028031477792,False
NQ,RTH,0.3,6,1.8008003694117072,0.8558870328848829,0.8378405731299368,1.0,0.01804645975494612,0.021539252614049875,0.8411028031477792,False
NQ,RTH,0.3,10,1.8008003694117072,1.016238589693292,0.9818129752257356,1.0,0.03442561446755632,0.03506331178770705,0.8411028031477792,False
NQ,RTH,0.3,13,1.8008003694117072,1.0903573926532564,1.0701824929625985,1.0,0.020174899690657888,0.01885183118143474,0.8411028031477792,False
NQ,RTH,0.3,26,1.8008003694117072,1.290341114321244,1.2879560975565012,1.0,0.0023850167647427867,0.0018517842100889137,0.8411028031477792,False
NQ,RTH,0.3,78,1.8008003694117072,1.5856515259204291,1.5856516357311756,1.0,-1.098107464958531e-07,-6.92527564183365e-08,0.8411028031477792,True
NQ,RTH,0.3,195,1.8008003694117072,1.7526590264978743,1.8484377522067843,1.0,-0.09577872570891,-0.05181604065084866,0.8411028031477792,False
NQ,RTH,0.3,389,1.8008003694117072,1.7585373211915611,2.0743921922205244,1.0,-0.31585487102896326,-0.15226381598113214,0.8411028031477792,False
NQ,RTH,0.45,5,2.17533488997817,0.810719112561438,0.784826611801029,1.0,0.025892500760409054,0.032991364425055236,0.8511055151008793,False
NQ,RTH,0.45,6,2.17533488997817,0.866758610861919,0.8378405731299368,1.0,0.028918037731982205,0.03451496461188608,0.8511055151008793,False
NQ,RTH,0.45,10,2.17533488997817,1.0011276467291645,0.9818129752257356,1.0,0.019314671503428915,0.019672454928585603,0.8511055151008793,False
NQ,RTH,0.45,13,2.17533488997817,1.0921439979228784,1.0701824929625985,1.0,0.02196150496027993,0.020521271002559294,0.8511055151008793,False
NQ,RTH,0.45,26,2.17533488997817,1.3070882430473325,1.2879560975565012,1.0,0.01913214549083131,0.01485465655788154,0.8511055151008793,False
NQ,RTH,0.45,78,2.17533488997817,1.5856515503319952,1.5856516357311756,1.0,-8.539918039396355e-08,-5.3857466819628996e-08,0.8511055151008793,True
NQ,RTH,0.45,195,2.17533488997817,1.740676731109134,1.8484377522067843,1.0,-0.10776102109765029,-0.05829843118546907,0.8511055151008793,False
NQ,RTH,0.45,389,2.17533488997817,1.8194344663697266,2.0743921922205244,1.0,-0.2549577258507978,-0.12290719508439696,0.8511055151008793,False
NQ,RTH,0.5,5,2.245863799780608,0.8303558302443657,0.784826611801029,1.0,0.04552921844333668,0.05801181784452458,0.8688416840341802,False
NQ,RTH,0.5,6,2.245863799780608,0.8406308724390493,0.8378405731299368,1.0,0.002790299309112565,0.003330346367315107,0.8688416840341802,False
NQ,RTH,0.5,10,2.245863799780608,1.0450868820792423,0.9818129752257356,1.0,0.06327390685350665,0.06444598762708242,0.8688416840341802,False
NQ,RTH,0.5,13,2.245863799780608,1.1093224653190057,1.0701824929625985,1.0,0.039139972356407204,0.036573175709551764,0.8688416840341802,False
NQ,RTH,0.5,26,2.245863799780608,1.4031667926931677,1.2879560975565012,1.0,0.11521069513666649,0.08945234651650247,0.8688416840341802,False
NQ,RTH,0.5,78,2.245863799780608,1.5856516008662822,1.5856516357311756,1.0,-3.486489341675281e-08,-2.1987738407780455e-08,0.8688416840341802,True
NQ,RTH,0.5,195,2.245863799780608,1.6997144485250681,1.8484377522067843,1.0,-0.14872330368171616,-0.08045891916249859,0.8688416840341802,False
NQ,RTH,0.5,389,2.245863799780608,1.7852269335409578,2.0743921922205244,1.0,-0.28916525867956655,-0.1393975834290192,0.8688416840341802,False
