distinct,year,b,b_pooled,dev,c,A,A_over_c,decaying_over_c,cond,log_cond,rmse,n_windows
ES/GLOBEX/B0/1day,2016,-0.6328344548429586,-0.4426723058533993,-0.19016214898955935,0.7748078341229409,2.328960604018627,3.005855776684215,0.030984443341356027,34.48151304456674,1.537586314359436,0.0594495038784236,245
ES/GLOBEX/B0/1day,2017,-0.7040246392610003,-0.4426723058533993,-0.26135233340760106,0.245868110104921,2.9143095389335594,11.853141660746145,0.07303026472353825,41.88825776977512,1.6220922974176082,0.0360527996036201,243
ES/GLOBEX/B0/1day,2018,-0.4863843966765523,-0.4426723058533993,-0.04371209082315303,0.974518867528632,1.8731554858417487,1.9221336274299627,0.05711477960327368,25.41660571529128,1.4051175518220043,0.0672993063899146,243
ES/GLOBEX/B0/1day,2019,-0.544303370300692,-0.4426723058533993,-0.1016310644472927,0.5655085891455915,1.9103916291473828,3.3781832244736214,0.0660401102468444,27.985239528291647,1.4469290284258873,0.0221921777711228,243
ES/GLOBEX/B0/1day,2020,-0.5399308701617366,-0.4426723058533993,-0.09725856430833729,1.4318018436065931,1.6231773744993403,1.1336606261175692,0.022873646075658637,26.430207868361336,1.4221005787854102,0.0299605896940006,244
ES/GLOBEX/B0/1day,2021,-0.6831757521349725,-0.4426723058533993,-0.24050344628157322,0.7176890731609783,2.583406764329272,3.599618359731961,0.025785899123292114,38.66325415364118,1.5872984043095362,0.0520081939549704,246
ES/GLOBEX/B0/1day,2022,-1.131404135502728,-0.4426723058533993,-0.6887318296493288,0.4908239584001852,4.705259671953378,9.586450684457057,0.0026886969098649438,97.74800753203078,1.9901079136212185,0.0130306685171671,245
ES/GLOBEX/B0/1day,2023,-0.7362944699274766,-0.4426723058533993,-0.2936221640740773,0.44785617594287,3.0101252814177917,6.721187388072935,0.03279458931476653,44.4078423543713,1.6474596726027593,0.0112536099070055,244
NQ/GLOBEX/B0/1day,2016,-0.7436293563259394,-0.6885818583672129,-0.05504749795872654,0.7553709683365891,2.9707139421134148,3.932788082463981,0.01819819820258275,44.62388514167544,1.649567379084023,0.0282908223541299,241
NQ/GLOBEX/B0/1day,2017,-0.7253513105064264,-0.6885818583672129,-0.036769452139213565,0.3511002644236474,2.9615370976158326,8.435018134997355,0.044545000254691956,43.43382207706241,1.6378280479655323,0.0565025720532679,242
NQ/GLOBEX/B0/1day,2018,-0.913313371503419,-0.6885818583672129,-0.2247315131362061,0.950686286670614,3.745645853551864,3.9399388694975728,0.0053466709671841,62.88150333720815,1.7985229160346816,0.0548602506201918,243
NQ/GLOBEX/B0/1day,2019,-0.7921756239476009,-0.6885818583672129,-0.10359376558038802,0.5997312407253295,2.6324402480112616,4.389366551636571,0.01429932603094287,46.23853300793422,1.665004046937869,0.025643273737125,243
NQ/GLOBEX/B0/1day,2020,-0.6464897837694021,-0.6885818583672129,0.042092074597810725,1.1816933633776991,1.8089233839051353,1.5307891539092595,0.01429615186330965,32.716623541625246,1.5147684767564584,0.022008948759215,244
NQ/GLOBEX/B0/1day,2021,-0.782878487457888,-0.6885818583672129,-0.09429662909067515,0.7113057632565253,3.0996145548481215,4.357640152748596,0.015182875822356454,48.0505487375618,1.6816983516785355,0.0167988977486479,246
NQ/GLOBEX/B0/1day,2022,-1.1001375165136398,-0.6885818583672129,-0.4115556581464269,0.4110059987037662,4.210180727526182,10.243599219486532,0.003601638695202229,90.0679877968614,1.9545704603069722,0.0374333367548899,245
NQ/GLOBEX/B0/1day,2023,-0.8234715505429612,-0.6885818583672129,-0.1348896921757483,0.4437960718479861,3.4468078643966877,7.766647978753013,0.020178634178866908,53.1703359785276,1.725669404590266,0.0206229599625048,244
ES/RTH/B0/1day,2016,-0.4605800597127307,-0.6274444407456055,0.16686438103287476,0.6027233439321017,1.5404432015365093,2.5558047768430954,0.16392626187630788,24.910883803188295,1.396389135968413,0.0325748163361695,239
ES/RTH/B0/1day,2017,-0.6311589297185278,-0.6274444407456055,-0.0037144889729223696,0.2544014164052869,2.220706774330523,8.729144694669133,0.20244258492409997,36.00413223236425,1.556352348065215,0.0398607970931254,237
ES/RTH/B0/1day,2018,-0.5094605341026045,-0.6274444407456055,0.11798390664300096,1.0349596728306163,1.902962539142308,1.8386827903523066,0.08811091352851301,28.65671790228722,1.4572264484985533,0.0245465362306274,236
ES/RTH/B0/1day,2019,-0.955602069673436,-0.6274444407456055,-0.3281576289278305,0.6901288955002457,3.344186603935144,4.845742042884732,0.016233011335045698,66.97204414785224,1.8258935548505288,0.0254860479763333,237
ES/RTH/B0/1day,2020,-1.1730525781141343,-0.6274444407456055,-0.5456081373685289,1.5050587207599582,4.096176407720446,2.7216057096112096,0.002492746702045405,103.23099100187392,2.013810096521834,0.0365070532713849,239
ES/RTH/B0/1day,2021,-0.6517373114243409,-0.6274444407456055,-0.024292870678735423,0.7494709842165336,2.1042645433235005,2.807666457592368,0.05759419649359355,36.3618728938237,1.5606462443657951,0.0289842969545972,239
ES/RTH/B0/1day,2022,-1.4793008201988131,-0.6274444407456055,-0.8518563794532077,0.4376991877843362,6.327843785752146,14.45706083619696,0.0021318931739968965,201.13312319708703,2.303483597385168,0.0227544282310182,238
ES/RTH/B0/1day,2023,-1.2076717629611526,-0.6274444407456055,-0.5802273222155472,0.3891124503344818,4.759164937976817,12.230821537285252,0.009112690667970698,113.33873346087124,2.0543783551730606,0.0173951941917051,236
ES/RTH/B0/1h,2016,-0.4832086592357564,-0.4658063300928055,-0.017402329142950923,0.6047741241571651,2.1853389386324724,3.613479564255562,0.4996978965714252,35.2142727725341,1.5467187239895541,0.0181820921091672,1434
ES/RTH/B0/1h,2017,-0.5638411334843415,-0.4658063300928055,-0.09803480339153603,0.2767807282231566,2.550447608671612,9.214686387468761,0.9159794755842914,37.4066235734662,1.57294850933188,0.0179467430489223,1422
ES/RTH/B0/1h,2018,-0.6624663141919006,-0.4658063300928055,-0.19665998409909513,1.199296794352984,2.3607023643197858,1.96840546513207,0.13066198667977572,40.04045447832669,1.6024989982855342,0.0233508053668484,1416
