root,geom,n,noise_v,b_d,b_w,b_m,se_d,se_w,se_m,bc_d,bc_w,bc_m,persistence_naive,persistence_corr,daily_share_naive,daily_share_corr,rel_shift_daily,rel_shift_weekly,rel_shift_monthly,daily_share_shift,cond_Sxx,cond_Sxx_true,min_eig_Sxx_true,rmse,corr_dw,corr_dm,corr_wm,r2
ES,GLOBEX,1931,0.17100859473971228,0.49835818045930885,0.34735987336644786,0.0883565924982017,0.02629910961017884,0.0379432230439697,0.02890037890027721,1.0760319563182608,-0.16782559973776257,0.06278760757310986,0.9340746463239584,0.9709939641536081,0.5335314285861334,1.1081757416033082,1.1591537944185895,-1.4831461910418038,-0.2893840086195293,0.5746443130171748,34.74330579148445,58.2991405979952,0.04544496945049669,0.5807136055299486,-0.7301302840501438,0.0864197734351598,-0.6509925981837333,0.7275619949598935
NQ,GLOBEX,1926,0.05393494114035343,0.46274716560195567,0.3535745588474305,0.1175857483350753,0.0265590537864302,0.03910684075239002,0.030774005570961195,0.5571696280027624,0.2852022262203427,0.0993247769156991,0.9339074727844614,0.9416966311388042,0.4954957306661943,0.591665733505886,0.20404762993627212,-0.19337458229451077,-0.15529918955262567,0.09617000283969174,33.25955848840708,36.72918612674765,0.06773350757391776,0.5845783307347984,-0.7097711068223072,0.07204538163061878,-0.6590231462755867,0.7026151688238536
ES,RTH,1879,0.15127833063199528,0.4663451906310953,0.3700200364825379,0.09194066295554273,0.026853580046349558,0.03925471894581403,0.030456470284023335,0.8192013226053553,0.07758465605971039,0.05738653839213903,0.928305890069176,0.9541725170572047,0.5023615551942087,0.8585463403744654,0.7566415159053042,-0.7903230949403688,-0.3758307092054808,0.35618478518025676,32.998001455867055,46.71352345564053,0.058010122159083057,0.6136841685171788,-0.7193299437078591,0.08229847203001771,-0.654991995583222,0.705103805968907
NQ,RTH,1879,0.051452370299718074,0.422884531101322,0.3914538279470562,0.11742268255143298,0.027186498231255993,0.04050055370925813,0.03199015864255221,0.5045176322179864,0.33580497710865065,0.09849874406439577,0.9317610415998111,0.9388213533910328,0.45385513261558946,0.537394713483735,0.1930387496181678,-0.1421594243445028,-0.16116084282734922,0.08353958086814556,33.57464962277056,36.84257403684628,0.06638278927971386,0.5899731643608336,-0.7047509458143922,0.07360862617732443,-0.6659300579469004,0.6919446390108974
