root,geom,q,lam_variant,lam,var_log_rv,var_eps,nugget,H_naive,se_H_naive,H_corrected,delta_H,zeta_naive,zeta_corr,rmse_naive,rmse_corr,n_lags_used
ES,GLOBEX,0.5,point,0.8272250642225776,1.2498528736731134,0.21594324998009903,0.43188649996019807,0.18866597132866592,0.0037413534180719423,0.39681848559007266,0.20815251426140674,0.09433298566433296,0.19840924279503633,0.009944940723008475,0.0419499865247033,39
ES,GLOBEX,1.0,point,0.8272250642225776,1.2498528736731134,0.21594324998009903,0.43188649996019807,0.1856864084290129,0.0032031542705059745,0.36757531473299954,0.18188890630398663,0.1856864084290129,0.36757531473299954,0.01702869298204366,0.06969202599107624,39
ES,GLOBEX,2.0,point,0.8272250642225776,1.2498528736731134,0.21594324998009903,0.43188649996019807,0.18193424105973677,0.002598759823349916,0.3273279249018222,0.14539368384208545,0.36386848211947354,0.6546558498036444,0.027631190650649114,0.10468753611628226,39
ES,GLOBEX,0.5,lo,0.7449345124861856,1.2498528736731134,0.31879433254397455,0.6375886650879491,0.18866597132866592,0.0037413534180719423,0.5718557368902002,0.3831897655615343,0.09433298566433296,0.2859278684451001,0.009944940723008475,0.07529243943487893,36
ES,GLOBEX,1.0,lo,0.7449345124861856,1.2498528736731134,0.31879433254397455,0.6375886650879491,0.1856864084290129,0.0032031542705059745,0.5861421646211296,0.40045575619211665,0.1856864084290129,0.5861421646211296,0.01702869298204366,0.16075940951040874,37
ES,GLOBEX,2.0,lo,0.7449345124861856,1.2498528736731134,0.31879433254397455,0.6375886650879491,0.18193424105973677,0.002598759823349916,0.5501834422630553,0.3682492012033185,0.36386848211947354,1.1003668845261105,0.027631190650649114,0.3381603862729158,38
ES,GLOBEX,0.5,hi,0.8931359826820923,1.2498528736731134,0.13356429913704032,0.26712859827408064,0.18866597132866592,0.0037413534180719423,0.3054585885577589,0.11679261722909301,0.09433298566433296,0.15272929427887946,0.009944940723008475,0.032845732415164856,40
ES,GLOBEX,1.0,hi,0.8931359826820923,1.2498528736731134,0.13356429913704032,0.26712859827408064,0.1856864084290129,0.0032031542705059745,0.2905145910687509,0.10482818263973798,0.1856864084290129,0.2905145910687509,0.01702869298204366,0.05637799302693629,40
ES,GLOBEX,2.0,hi,0.8931359826820923,1.2498528736731134,0.13356429913704032,0.26712859827408064,0.18193424105973677,0.002598759823349916,0.26788343877040366,0.08594919771066689,0.36386848211947354,0.5357668775408073,0.027631190650649114,0.08497287062186272,40
NQ,GLOBEX,0.5,point,0.9399469453085768,1.1546778485307938,0.06934193198879463,0.13868386397758925,0.16701539815963606,0.0038237144697341454,0.20704515776007848,0.040029759600442416,0.08350769907981803,0.10352257888003924,0.010163865717559605,0.01642699464681241,40
NQ,GLOBEX,1.0,point,0.9399469453085768,1.1546778485307938,0.06934193198879463,0.13868386397758925,0.16494911630435594,0.003269234864116383,0.202026142655674,0.03707702635131807,0.16494911630435594,0.202026142655674,0.017379992371843293,0.028313626029719645,40
NQ,GLOBEX,2.0,point,0.9399469453085768,1.1546778485307938,0.06934193198879463,0.13868386397758925,0.1603348523834038,0.0026595215103916623,0.19197285432512418,0.03163800194172037,0.3206697047668076,0.38394570865024835,0.028277236408252592,0.04432169295953902,40
NQ,GLOBEX,0.5,lo,0.87911901067632,1.1546778485307938,0.13957860068054065,0.2791572013610813,0.16701539815963606,0.0038237144697341454,0.2885195490852972,0.12150415092566114,0.08350769907981803,0.1442597745426486,0.010163865717559605,0.03846788184454793,40
NQ,GLOBEX,1.0,lo,0.87911901067632,1.1546778485307938,0.13957860068054065,0.2791572013610813,0.16494911630435594,0.003269234864116383,0.2718636753149345,0.10691455901057856,0.16494911630435594,0.2718636753149345,0.017379992371843293,0.06223134342236136,40
NQ,GLOBEX,2.0,lo,0.87911901067632,1.1546778485307938,0.13957860068054065,0.2791572013610813,0.1603348523834038,0.0026595215103916623,0.24498212575915437,0.08464727337575056,0.3206697047668076,0.48996425151830875,0.028277236408252592,0.08551490560354469,40
NQ,GLOBEX,0.5,hi,1.0,1.1546778485307938,0.0,0.0,0.16701539815963606,0.0038237144697341454,0.1670153981596359,-1.6653345369377348e-16,0.08350769907981803,0.08350769907981795,0.010163865717559605,0.010163865717559615,40
NQ,GLOBEX,1.0,hi,1.0,1.1546778485307938,0.0,0.0,0.16494911630435594,0.003269234864116383,0.16494911630435594,0.0,0.16494911630435594,0.16494911630435594,0.017379992371843293,0.01737999237184329,40
NQ,GLOBEX,2.0,hi,1.0,1.1546778485307938,0.0,0.0,0.1603348523834038,0.0026595215103916623,0.1603348523834038,0.0,0.3206697047668076,0.3206697047668076,0.028277236408252592,0.028277236408252592,40
ES,RTH,0.5,point,0.8397800078923314,1.2871686279157712,0.20623014740590345,0.4124602948118069,0.16800371072823106,0.0023440341443705776,0.35213880859456176,0.1841350978663307,0.08400185536411553,0.17606940429728088,0.006230707985477204,0.04827892823509434,40
ES,RTH,1.0,point,0.8397800078923314,1.2871686279157712,0.20623014740590345,0.4124602948118069,0.168978439868281,0.002160585952349792,0.34708256944537597,0.17810412957709496,0.168978439868281,0.34708256944537597,0.011486163867489688,0.09608295536843117,40
ES,RTH,2.0,point,0.8397800078923314,1.2871686279157712,0.20623014740590345,0.4124602948118069,0.17382898191370688,0.0021425795770854835,0.33800290463498056,0.16417392272127368,0.34765796382741376,0.6760058092699611,0.02278087580341385,0.17067926371301279,40
ES,RTH,0.5,lo,0.7745820972055979,1.2871686279157712,0.2901508526475213,0.5803017052950425,0.16800371072823106,0.0023440341443705776,0.3906394239570098,0.22263571322877873,0.08400185536411553,0.1953197119785049,0.006230707985477204,0.032277018056019874,38
ES,RTH,1.0,lo,0.7745820972055979,1.2871686279157712,0.2901508526475213,0.5803017052950425,0.168978439868281,0.002160585952349792,0.49358541546198426,0.3246069755937032,0.168978439868281,0.49358541546198426,0.011486163867489688,0.17997188888202773,39
