root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
ES,GLOBEX,0.5,1,0.3431366613880009,0.43188649996019807,-0.08874983857219715,1.2586428340626754
ES,GLOBEX,0.5,2,0.4874856938564643,0.43188649996019807,0.05559919389626622,0.8859470245035809
ES,GLOBEX,0.5,3,0.5605327525200026,0.43188649996019807,0.1286462525598045,0.7704928891640213
ES,GLOBEX,0.5,4,0.6255429332968008,0.43188649996019807,0.1936564333366027,0.6904186379087129
ES,GLOBEX,0.5,5,0.6610659473904728,0.43188649996019807,0.22917944743027469,0.6533183287765011
ES,GLOBEX,0.5,6,0.7198883944858238,0.43188649996019807,0.2880018945256257,0.5999353556306052
ES,GLOBEX,0.5,7,0.8013326292764232,0.43188649996019807,0.36944612931622517,0.5389603320535908
ES,GLOBEX,0.5,8,0.8458367685763226,0.43188649996019807,0.41395026861612455,0.5106026552701551
ES,GLOBEX,0.5,9,0.878297955175555,0.43188649996019807,0.4464114552153569,0.49173119146551153
ES,GLOBEX,0.5,10,0.9135882301804359,0.43188649996019807,0.4817017302202378,0.4727364973549401
ES,GLOBEX,0.5,11,0.950426877077556,0.43188649996019807,0.518540377117358,0.4544131804102543
ES,GLOBEX,0.5,12,0.965908590373899,0.43188649996019807,0.534022090413701,0.4471297846031338
ES,GLOBEX,0.5,13,0.9978959909920524,0.43188649996019807,0.5660094910318543,0.43279710897609747
ES,GLOBEX,0.5,14,1.0098038957697586,0.43188649996019807,0.5779173958095605,0.42769343807193116
ES,GLOBEX,0.5,15,1.0048897036765805,0.43188649996019807,0.5730032037163824,0.4297849787693704
ES,GLOBEX,0.5,16,1.0330779891995787,0.43188649996019807,0.6011914892393806,0.4180579825292963
ES,GLOBEX,0.5,17,1.0749287957977731,0.43188649996019807,0.643042295837575,0.40178149627079957
ES,GLOBEX,0.5,18,1.1196446006376475,0.43188649996019807,0.6877581006774494,0.385735348265186
ES,GLOBEX,0.5,19,1.1291431530930065,0.43188649996019807,0.6972566531328084,0.38249047410609766
ES,GLOBEX,0.5,20,1.1607045343131348,0.43188649996019807,0.7288180343529367,0.37208995673974316
ES,GLOBEX,0.5,21,1.2551742857360435,0.43188649996019807,0.8232877857758454,0.34408488515755137
ES,GLOBEX,0.5,22,1.259272311767129,0.43188649996019807,0.8273858118069308,0.34296513623342867
ES,GLOBEX,0.5,23,1.2979303139285285,0.43188649996019807,0.8660438139683304,0.332750144846359
ES,GLOBEX,0.5,24,1.3532434685981742,0.43188649996019807,0.9213569686379761,0.31914914794127147
ES,GLOBEX,0.5,25,1.3204204825912758,0.43188649996019807,0.8885339826310776,0.32708255109208617
ES,GLOBEX,0.5,26,1.3443505982416746,0.43188649996019807,0.9124640982814765,0.3212603174537046
ES,GLOBEX,0.5,27,1.3100490861519016,0.43188649996019807,0.8781625861917035,0.3296719981911581
ES,GLOBEX,0.5,28,1.3281911937782964,0.43188649996019807,0.8963046938180983,0.3251689229557482
ES,GLOBEX,0.5,29,1.323518114027831,0.43188649996019807,0.8916316140676328,0.32631702987868316
ES,GLOBEX,0.5,30,1.3328352028291572,0.43188649996019807,0.9009487028689591,0.3240359341075697
ES,GLOBEX,0.5,31,1.3572190148484136,0.43188649996019807,0.9253325148882154,0.31821430088675484
ES,GLOBEX,0.5,32,1.3798651880307515,0.43188649996019807,0.9479786880705534,0.31299180797260107
ES,GLOBEX,0.5,33,1.3397114158828967,0.43188649996019807,0.9078249159226985,0.32237278479528086
ES,GLOBEX,0.5,34,1.352363919743728,0.43188649996019807,0.9204774197835299,0.31935671578848407
ES,GLOBEX,0.5,35,1.3744286968012895,0.43188649996019807,0.9425421968410914,0.31422983306833474
ES,GLOBEX,0.5,36,1.3633926189640397,0.43188649996019807,0.9315061190038416,0.3167733886430768
ES,GLOBEX,0.5,37,1.388297261898708,0.43188649996019807,0.9564107619385098,0.31109079576338533
ES,GLOBEX,0.5,38,1.4012017371424408,0.43188649996019807,0.9693152371822427,0.30822578113624916
ES,GLOBEX,0.5,39,1.409632732376951,0.43188649996019807,0.977746232416753,0.3063822867052345
ES,GLOBEX,0.5,40,1.3733356801723644,0.43188649996019807,0.9414491802121663,0.3144799237328436
ES,GLOBEX,1.0,1,0.36259637262715816,0.43188649996019807,-0.06929012733303991,1.1910943753546257
ES,GLOBEX,1.0,2,0.5077827389344424,0.43188649996019807,0.0758962389742443,0.8505340312797774
ES,GLOBEX,1.0,3,0.592606118609852,0.43188649996019807,0.16071961864965395,0.7287918338969003
ES,GLOBEX,1.0,4,0.6560459902684954,0.43188649996019807,0.22415949030829735,0.6583174142767687
ES,GLOBEX,1.0,5,0.6963845779276125,0.43188649996019807,0.2644980779674145,0.6201838950044807
ES,GLOBEX,1.0,6,0.7570219919872844,0.43188649996019807,0.3251354920270863,0.5705072039273761
ES,GLOBEX,1.0,7,0.82978852566732,0.43188649996019807,0.3979020257071219,0.5204777923542301
