root,geom,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab,first_share
ES,GLOBEX,1.0,0,2319245571,-1.1072528333144607,1.0585996572121765,2.846318624085888,0.003654718696259116,87.25680477003696,-0.6460852502337333,-0.9772637399483546,0.002985290511063249
ES,GLOBEX,1.0,1,780339301,-0.9833473630434247,1.0059541173642026,2.0679981905927756,0.0060819832012142215,65.8385130426407,-0.6855723059446474,-0.9724122430891247,0.002851873976269594
ES,GLOBEX,1.0,2,452878015,-1.0874501752802066,1.0509472327854785,2.6650360853031194,0.004407898780501901,83.3166928033278,-0.651799416439618,-0.9765715940065204,0.0029090332593044834
ES,GLOBEX,1.0,3,2481106107,-0.9449597110078674,1.0069401178143573,2.439057143245297,0.007702894823529301,61.134582658615905,-0.6996715690550681,-0.9706092133884138,0.002918020853582545
ES,GLOBEX,1.0,4,2952150893,-1.0683227904359685,1.0218077767366718,2.361577223097817,0.011498366710802451,79.58800325507634,-0.6575333857318731,-0.9758752140608593,0.0029942654240169976
ES,GLOBEX,3.0,0,1562179525,-1.1364150043628949,1.0398095419496625,3.014050229040335,0.008037313890599146,93.23415513878716,-0.6380603524946734,-0.9782344265900239,0.004347981587602818
ES,GLOBEX,3.0,1,3400174329,-0.9856132910456661,0.9686639619991142,2.3277070262493917,0.007745576685346016,66.41019116431072,-0.6847679678510668,-0.9725135571403742,0.004429125707909693
ES,GLOBEX,3.0,2,3879950852,-1.1533370693837899,1.0073584651925103,3.1443024738970515,0.012977184175707708,96.94562064134233,-0.6336099546887067,-0.9787728776437,0.004302591361046135
ES,GLOBEX,3.0,3,812654166,-1.096332035163446,1.014269694324197,2.9560336630413238,0.019379662291875998,85.42837303491231,-0.6492096979048373,-0.9768854492232294,0.00434761030533603
ES,GLOBEX,3.0,4,1336993393,-1.3031470645889416,1.0488244136089693,4.068678843787398,0.006998216151468593,136.14609497112136,-0.6001100765353297,-0.9828730742802122,0.004392646888922818
