root,geom,sample,split,n,empirical_rate,n_off_by_two,analytic_rate_median_split
ES,GLOBEX,insample,tercile,1953,0.06451612903225806,0,0.13645008632664657
ES,GLOBEX,holdout,tercile,641,0.06708268330733229,0,0.13645008632664657
NQ,GLOBEX,insample,tercile,1948,0.059548254620123205,0,0.07880676065922262
NQ,GLOBEX,holdout,tercile,641,0.08892355694227769,0,0.07880676065922262
ES,RTH,insample,tercile,1901,0.06628090478695424,0,0.13108535920670872
ES,RTH,holdout,tercile,621,0.08695652173913043,0,0.13108535920670872
NQ,RTH,insample,tercile,1901,0.0683850604944766,0,0.08442711854744307
NQ,RTH,holdout,tercile,621,0.11916264090177134,0,0.08442711854744307
